TMA.core,Kcross.Cancer2lympho,Kcross.lympho2Cancer,Kcross.Cancer2Stromal,Kcross.Stromal2Cancer,Kcross.Lympho2Stromal,Kcross.Stromal2Lympho,cancer ratio,stromal ratio,lymphocytes ratio,lymphocyte.dens,cancer.dens,stroma.dens,cancer.to.lympho.avgCount,lympho.to.cancer.avgCount,cancer.to.stroma.avgCount,stroma.to.cancer.avgCount,stroma.to.lympho.avgCount,lympho.to.stroma.avgCount,ShannonH,DoC_TL_max,DoC_SL_max,DoC_TL_min,DoC_SL_min,DoC_TL_mean,DoC_SL_mean,DoC_TL_Std,DoC_SL_Std,DoC_LT_max,DoC_ST_max,DoC_LT_min,DoC_ST_min,DoC_LT_mean,DoC_ST_mean,DoC_LT_Std,DoC_ST_Std,DoC_TS_max,DoC_LS_max,DoC_TS_min,DoC_LS_min,DoC_TS_mean,DoC_LS_mean,DoC_TS_Std,DoC_LS_Std,localized_TL,localized_SL,localized_LT,localized_ST,localized_TS,localized_LS
A-1,6938.437345,-1371.683767,8067.709802,-141.673103,10880.71865,2572.255938,0.663306452,0.102318548,0.234375,0.001070041,0.00302833,0.000467136,3.208602151,1.133738602,3.428571429,0.52887538,0.703225806,1.610837438,1.180138736,0.936859839,0.940930486,-0.876557891,-0.731707772,0.027586558,0.052226494,0.481375956,0.437475512,0.922792875,0.946553839,-0.887363504,-0.831080519,-0.005287925,0.011267148,0.410881063,0.394507341,0.943728305,0.954122896,-0.865797331,-0.74531202,0.078529207,0.103685825,0.5210487,0.473564747,0.023706897,0.045258621,0.00608365,0.015209125,0.079207921,0.064356436
A-2,7473.222459,-866.128208,7972.150123,-334.6504465,15888.27977,7116.852793,0.810781671,0.090566038,0.098652291,0.000401867,0.003302773,0.000368927,3.715846995,0.45212766,3.898809524,0.435505319,0.721311475,0.785714286,0.857311897,0.912787756,0.944283079,-0.821151207,-0.701730048,0.026439487,0.074052721,0.501735507,0.471962522,0.925795313,0.908208472,-0.820226173,-0.832510882,-0.023958458,0.00892376,0.379608908,0.369036127,0.878731822,0.947076816,-0.835147433,-0.635782929,0.082313087,0.178719916,0.47853692,0.471971276,0.027472527,0.065934066,0.005988024,0.009314704,0.053892216,0.053892216
A-3,8009.910309,-215.5987704,7393.246649,-607.0560994,23066.93486,13797.08646,0.891467066,0.038922156,0.069610778,0.000253085,0.003241122,0.00014151,3.698924731,0.288832914,3.134615385,0.136859782,0.333333333,0.596153846,0.579172372,0.92282405,0.894936598,-0.792624598,-0.54367457,0.210200602,0.080356556,0.52218416,0.457003981,0.91162114,0.918799297,-0.762571195,-0.85496454,0.023545451,-0.022642823,0.373431941,0.34518432,0.924334232,0.852193358,-0.783488405,-0.566398144,0.127136172,0.088610827,0.554435402,0.482456623,0.086956522,0.097826087,0.033613445,0.1,0.058823529,0.019607843
A-4,8531.085307,366.6413175,13812.93225,5932.751015,9899.492283,1285.899583,0.542982456,0.097368421,0.359649123,0.000979031,0.001478098,0.000265055,1.758536585,1.164781906,2.468468468,0.442649435,0.275609756,1.018018018,1.277088679,0.944365984,0.900239635,-0.769795784,-0.729532302,0.091534636,-0.081546282,0.438359829,0.35860974,0.938727979,0.95874697,-0.7529821,-0.695638907,0.075708061,0.040804701,0.410567959,0.388422066,0.943646053,0.884019101,-0.675182403,-0.713547326,0.182774341,0.060527257,0.497614054,0.454041926,0.026894866,0.161369193,0.014563107,0.100323625,0.090909091,0.009090909
A-5,8746.690371,410.7380398,7610.967,-639.8758282,21911.28633,13022.38164,0.740786241,0.100737101,0.158476658,0.000532141,0.00248745,0.00033826,3.310077519,0.708126036,2.865853659,0.389718076,1.050387597,1.652439024,1.020687387,0.945578533,0.943495899,-0.877771292,-0.76284952,0.210962162,0.28166711,0.515679898,0.461306277,0.948384404,0.951190275,-0.885923966,-0.780888204,0.007184727,0.011359478,0.384002261,0.358962647,0.950110821,0.943495899,-0.760178508,-0.549552779,0.107005563,0.225435031,0.501798854,0.464762325,0.06614786,0.077821012,0.125311203,0.034024896,0.049079755,0.110429448
A-6,6872.157251,-1420.402902,14954.63525,7786.344959,10983.16844,2270.022763,0.423580786,0.216157205,0.360262009,0.000757874,0.000891077,0.000454725,0.851515152,0.724226804,1.454545455,0.742268041,0.542424242,0.904040404,1.479147825,0.928153245,0.936511781,-0.816878062,-0.737917651,-0.021558057,-0.017423396,0.460703975,0.41477754,0.894476723,0.962763646,-0.757805693,-0.667093407,-0.035821753,0.069109322,0.415114031,0.421327706,0.960224113,0.915905678,-0.800675176,-0.808295488,0.186343223,0.068440074,0.522585304,0.466272462,0.018237082,0.027355623,0.046511628,0.054263566,0.157360406,0.065989848
B-1,9789.841599,1125.116436,9455.946843,775.7577982,11879.32724,3492.541222,0.575487013,0.224025974,0.200487013,0.000602048,0.001728146,0.000672734,2.327935223,0.81100141,2.079710145,0.809590973,1.032388664,0.923913043,1.390262274,0.930629142,0.925911395,-0.717605827,-0.807501504,0.250987738,0.138552605,0.434359065,0.453148603,0.922344609,0.90662916,-0.854073388,-0.742804846,0.059889129,0.054736912,0.42000247,0.395350233,0.92584656,0.925078099,-0.849165377,-0.79400459,0.168267787,0.085981454,0.440101829,0.420158085,0.024390244,0.032520325,0.016949153,0.016949153,0.032727273,0.025454545
B-2,10024.66225,1885.832419,10433.44313,2218.467514,12823.0444,5146.346554,0.808571429,0.126666667,0.064761905,0.000152533,0.001904425,0.000298338,2.808823529,0.224970554,2.857142857,0.447585395,0.617647059,0.315789474,0.851334603,0.93565711,0.902980725,-0.768762811,-0.559367511,0.126372682,0.035515281,0.477422815,0.414196093,0.911830036,0.911568597,-0.671507148,-0.786635058,-0.003904495,0.013320849,0.35273646,0.396650095,0.917142533,0.870145062,-0.835013375,-0.585033213,0.164036241,0.019860196,0.521735217,0.395121873,0.014925373,0.059701493,0.053066038,0.0625,0.083333333,0.060606061
B-3,9100.74158,974.9057081,10418.34486,1836.649699,11718.67093,2720.777664,0.539944904,0.166666667,0.29338843,0.000895313,0.001647712,0.000508605,2.159624413,1.173469388,2.342975207,0.723214286,0.73943662,1.301652893,1.391291544,0.9194065,0.923243358,-0.791942695,-0.697222528,0.080871864,0.067199545,0.464776821,0.411001525,0.932560251,0.919093695,-0.741215273,-0.78289347,0.013711659,0.059492278,0.430687068,0.423969056,0.926472172,0.92601586,-0.784644644,-0.769492879,0.156587916,0.057003318,0.502896124,0.427165086,0.042352941,0.018823529,0.011494253,0.024265645,0.058091286,0.037344398
B-6,7349.832453,-1088.821989,10268.32165,2558.40056,8502.157148,-961.499115,0.765005086,0.08138352,0.153611394,0.000371188,0.001848564,0.000196656,2.092715232,0.420212766,2.375,0.252659574,0.245033113,0.4625,0.957893589,0.936622081,0.852624249,-0.73928765,-0.532501605,0.07497629,-0.04631645,0.496283249,0.352326565,0.924850602,0.901793599,-0.777605768,-0.767057406,-0.099851568,-0.029057092,0.410742381,0.381765361,0.911219828,0.911522635,-0.847663438,-0.610472022,0.181135208,0.01613812,0.556396025,0.471464874,0.066666667,0.006666667,0.027962716,0.035952064,0.088607595,0.050632911
