TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
A-1,4772.707902,4772.707902,4772.707902,NA,2.30E-06,3933,52.15763756,364.8794818,13.76957099,0.47472042,113.2063997,1493.355,1.82,0.873757398,-0.024874131,0.000516172,4.508382577,5.058182107,0.08823226,2.483825192,35.92999693,0.00300964,-0.00516084,0.160724876,13.06161345,3.073471688,133.9489001,-0.024874131,0.000516172,4.508382577,5.058182107,0.08823226,2.483825192,35.92999693,0.00300964,-0.00516084,0.160724876,13.06161345,3.073471688,133.9489001,-0.024874131,0.000516172,4.508382577,5.058182107,0.08823226,2.483825192,35.92999693,0.00300964,-0.00516084,0.160724876,13.06161345,3.073471688,133.9489001
A-2,3979.10243,3979.10243,3979.10243,NA,2.20E-06,3673,55.52031209,333.4455575,14.92922677,0.434497418,128.0708454,1172.5,2.15,0.831055535,-0.026409286,0.000537734,4.289027231,4.929338542,0.093980245,2.437173743,32.62076589,0.003269835,-0.00561819,0.165498878,13.18377526,3.022651575,134.1905501,-0.026409286,0.000537734,4.289027231,4.929338542,0.093980245,2.437173743,32.62076589,0.003269835,-0.00561819,0.165498878,13.18377526,3.022651575,134.1905501,-0.026409286,0.000537734,4.289027231,4.929338542,0.093980245,2.437173743,32.62076589,0.003269835,-0.00561819,0.165498878,13.18377526,3.022651575,134.1905501
A-3,5047.11952,6376.835931,5047.11952,0.204172489,1.09E-05,2641,61.34669121,541.9235555,12.01805244,0.529587622,154.6092238,3282.58,3.59,1.042619718,-0.030476052,0.000266722,4.217827607,4.799564978,0.104922589,2.399403767,33.66984652,0.003682241,-0.007679995,0.188757849,11.66206573,2.96443933,107.5724097,-0.025614067,0.000664263,4.576099043,4.992222782,0.117759145,2.491210874,38.01587493,0.004351591,-0.0055116,0.212210135,12.33642521,3.067419945,121.8366847,-0.039079701,0,3.593824228,4.633793146,0.090876526,2.259719041,21.68408551,0.003003008,-0.009894846,0.164966697,11.02429396,2.836398585,94.7513077
A-4,7392.266066,13905.15381,7392.266066,0.448986091,1.43E-05,2241,66.28023807,443.9678309,12.73476913,0.565300582,192.1030745,3806.48,2.465,1.283357248,-0.036041854,0.00091297,4.379239324,4.655767348,0.118380492,2.414057605,37.80409557,0.003781118,-0.0096055,0.205869485,13.03863227,2.962741439,136.8230749,-0.021270433,0.002361275,5.765289256,4.914731778,0.151782904,2.684183721,59.18205431,0.00513967,-0.006535088,0.260770156,13.92672414,3.214217735,159.2226218,-0.053451563,0.000238949,3.650883916,4.10791883,0.09678031,2.257039724,26.95611324,0.001876131,-0.016997682,0.178072602,12.46298686,2.79045475,120.1624875
A-5,6289.312076,10507.44387,6289.312076,0.377838728,1.24E-05,3214,59.64959802,351.1732043,12.58187026,0.482736392,154.2140121,2059,2.374999999,0.947811299,-0.041612021,0.000844663,4.020738726,4.549920265,0.128301245,2.294550338,31.53231617,0.004835115,-0.010731823,0.201549198,11.7665973,2.845947301,110.1396947,-0.027468398,0.002684049,5.377985948,5.01050501,0.271744289,2.638809392,52.31906323,0.013447504,-0.005676254,0.293695944,14.03655419,3.179667178,162.3552405,-0.062972082,0,1.508158508,3.044010951,0.090430738,1.456715733,3.876456876,0.001991321,-0.029201338,0.166873384,9.009324009,1.939366683,53.40145908
A-6,8677.913431,17447.28104,8677.913431,0.482974585,1.61E-05,1795,76.28481676,537.8662063,13.54718469,0.557370496,249.3943538,2283.25,1.355,1.101682699,-0.055771488,0.000973008,5.402640565,4.700751958,0.109604281,2.563513305,49.12538668,0.002359113,-0.010573514,0.218969706,14.5654967,3.097324393,178.3976888,-0.041073789,0.002796073,6.598908595,5.054350877,0.13362403,2.715749953,68.66984993,0.003979466,-0.006236461,0.243119786,17.62346521,3.255064982,269.5463651,-0.071002151,0,3.627205882,4.409430774,0.087954616,2.183595435,18.77426471,0.001472319,-0.013461654,0.176423301,11.22647059,2.792672588,87.56515979
B-1,6974.725362,10163.60155,6974.725362,0.310547072,1.95E-05,2433,66.49545242,498.5270677,12.29616243,0.580541157,187.5051993,3199.75,2.445,1.234891012,-0.045911542,0.000603925,4.213853234,4.535034627,0.119898816,2.363910171,33.61796627,0.003877991,-0.011066549,0.216479889,13.10608489,2.899604545,137.9278716,-0.02593378,0.001666667,5.686666667,5.065446128,0.165401625,2.678392408,56.90222222,0.006465352,-0.005600147,0.25841383,16.19111111,3.14596825,221.7481177,-0.068735214,0,2.813087935,3.930505741,0.088823096,1.983633232,12.71738241,0.001959454,-0.017169,0.16741247,9.409836066,2.485866777,73.98940836
B-2,7521.189523,11749.06294,7521.189523,0.342731918,1.79E-05,2066,71.26471018,468.9008128,17.15753509,0.569008766,220.1739061,2421.105,3.6,1.200706467,-0.052667231,0.000606764,4.268866548,4.493982779,0.12467236,2.359294618,33.64781056,0.00362855,-0.011709166,0.222666058,11.71797481,2.894953958,109.2043501,-0.029641258,0.003841229,6.965428937,4.914540905,0.204381842,2.786197322,80.48399488,0.00525977,-0.006196727,0.269496328,13.92189501,3.261611346,183.428121,-0.07118845,0,3.012241055,3.720928516,0.094760647,2.025158484,13.18926554,0.001194981,-0.020060717,0.17345554,8.965160075,2.600738548,52.04419557
B-3,9594.335338,13681.30935,9594.335338,0.359742248,1.47E-05,2862,62.12318231,381.516445,12.91583052,0.560360686,169.2081027,2487.135,4.5,1.283038615,-0.05191817,0.00042448,4.010511908,4.592287909,0.112342015,2.317981456,28.0775954,0.003775578,-0.01043034,0.212572215,11.97839315,2.887114929,109.4986169,-0.028498503,0.000958459,4.643647276,5.058873406,0.142259064,2.513149468,37.84624795,0.004978844,-0.005255779,0.259883005,13.45013421,3.100697162,142.8597437,-0.100330912,0,3.144945189,4.089732528,0.087132094,2.017462232,13.89768575,0.002818417,-0.016953523,0.162191786,9.663824604,2.583864615,61.48906802
B-6,7414.346794,10784.53928,7414.346794,0.297869168,1.47E-05,1930,69.46584849,331.6612239,13.58640106,0.523156489,210.7792332,2405.62,2.07,1.152019064,-0.041656902,0.000244567,4.149837443,4.699465101,0.107792285,2.352265622,30.22959867,0.003679072,-0.009118807,0.204221657,12.90472576,2.928712892,128.008446,-0.023821925,0.000670991,5.297727943,4.890285084,0.120584865,2.595075195,44.72056654,0.005120666,-0.006353539,0.227084286,14.09572803,3.154602462,158.0539405,-0.057575067,0,3.141813755,4.529829724,0.098910856,2.050494701,14.1168594,0.002007849,-0.011620041,0.175026206,11.19172246,2.671176903,85.17949416
