TMA.core,Area.µm.2_Max,Area.µm.2_Min,Area.µm.2_Mean,Area.µm.2_CoV,Length.µm_Max,Length.µm_Min,Length.µm_Mean,Length.µm_CoV,Circularity_Max,Circularity_Min,Circularity_Mean,Circularity_CoV,Solidity_Max,Solidity_Min,Solidity_Mean,Solidity_CoV,Max.diameter.µm_Max,Max.diameter.µm_Min,Max.diameter.µm_Mean,Max.diameter.µm_CoV,Min.diameter.µm_Max,Min.diameter.µm_Min,Min.diameter.µm_Mean,Min.diameter.µm_CoV,chullLength_Max,chullLength_Min,chullLength_Mean,chullLength_CoV,chullArea_Max,chullArea_Min,chullArea_Mean,chullArea_CoV,elongation_Max,elongation_Min,elongation_Mean,elongation_CoV,FD_Max,FD_Min,FD_Mean,FD_CoV,convexity_Max,convexity_Min,convexity_Mean,convexity_CoV,curvMeanStat,curvMinStat,curvMaxStat,curvStdStat,n_protrusion_Max,n_protrusion_Min,n_protrusion_Mean,n_protrusion_CoV,n_indentation_Max,n_indentation_Min,n_indentation_Mean,n_indentation_CoV,MOI_Max,MOI_Min,MOI_Mean,MOI_CoV
D-9,81.8033,3.2478,15.94047168,0.518363304,36.6372,7.8428,14.85431575,0.231979924,0.9772,0.2981,0.866120311,0.099436893,1,0.5913,0.988773003,0.046173224,15.8096,2.8249,5.522881167,0.262447808,9.7828,1.9026,3.757863661,0.22344148,80.64842456,16.80872576,32.58587573,0.232062227,401.78805,18.14205,78.09224616,0.512526172,3.330333435,0.42740073,1.333863315,0.289571437,1.073420694,1.073420694,1.073420694,0,2.203144621,1.706362499,2.194090451,0.017472911,0.234743961,-0.172096274,1.6016779,0.265069134,4,0,0.151264713,3.094431033,0,0,0,0,-2698027125,-68447056018,-13085747523,-0.515814056
A-3,341.0914,5.3443,43.41384828,0.606204494,90.3688,9.8851,24.75417106,0.298248184,0.9827,0.1933,0.830143252,0.141646718,1,0.5547,0.980057953,0.062444517,23.9469,3.4884,9.555265994,0.319725785,20.7647,2.2144,5.645772264,0.302075044,152.8293184,21.21504811,54.09141439,0.295033939,1810.2715,29.34885,214.3511637,0.600993806,4.112364532,0.414634032,1.634595393,0.311730677,1.073420694,1.073420694,1.073420694,0,2.203249795,1.578123789,2.186898128,0.027134292,0.163394043,-0.339474896,1.766474922,0.267731198,4,0,0.205809423,2.749173996,0,0,0,0,-12083602189,-8.10278E+11,-99538448649,-0.608242514
G-4,254.7666,4.2251,29.23428616,0.773387293,62.9797,8.4739,20.12836645,0.338648005,0.9834,0.194,0.8269,0.140237638,1,0.5642,0.979880006,0.059571413,25.3643,2.9925,7.725515932,0.360869115,15.6208,1.9797,4.669976373,0.347703866,138.4390818,18.35110934,43.99212143,0.336613993,1254.6143,21.1884,144.7289391,0.767068827,4.028346087,0.32476805,1.577362926,0.340635013,1.073420694,1.073420694,1.073420694,0,2.203115541,1.603884497,2.18769342,0.024767251,0.197987562,-0.498845572,2.027213942,0.32069192,4,0,0.233695652,2.494864201,0,0,0,0,-4405275092,-2.72036E+11,-31540149168,-0.776515017
H-6,124.167,4.5475,25.38994984,0.436090845,40.8529,8.5304,18.71981317,0.2095632,0.985,0.2506,0.872708203,0.100185598,1,0.5697,0.988872121,0.045763549,16.4913,2.9902,6.985779044,0.226361891,10.7886,2.1019,4.69971079,0.22889519,89.98161351,18.78622197,41.07434831,0.209651525,602.3814,24.84045,124.3373735,0.430357817,3.581418691,0.449541284,1.386640669,0.277040066,1.073420694,1.073420694,1.073420694,0,2.203041664,1.624109774,2.194423552,0.017259159,0.192542794,-0.147920752,1.45082336,0.23266545,4,0,0.13819889,3.239090355,0,0,0,0,-3356557151,-92684324501,-18193276887,-0.43524577
E-11,310.6548,5.2322,30.25839331,0.617528727,65.5158,9.2668,20.69539806,0.285557842,0.9809,0.2242,0.837487028,0.137637311,1,0.5434,0.982516125,0.056514099,26.0978,3.1989,7.92963569,0.311076876,16.5251,2.0071,4.832723101,0.284824616,144.2714386,20.41124385,45.26391579,0.281134896,1512.1128,28.97645,149.439793,0.616988283,3.642962248,0.43120955,1.572955789,0.331215717,1.073420694,1.073420694,1.073420694,0,2.203056362,1.626915924,2.189494907,0.023742072,0.187493883,-0.289796068,1.810495772,0.276120812,4,0,0.198279981,2.779836292,1,0,0.000238892,64.69930448,-2223811283,-1.42233E+11,-14131173863,-0.607330785
C-13,318.2558,3.5605,19.40610327,0.651036518,74.5378,7.6871,16.78011277,0.273342298,0.9753,0.2564,0.821153686,0.137410049,1,0.5742,0.980606711,0.058510152,31.4096,2.9965,6.483084938,0.309893994,16.523,1.8072,3.860731989,0.258036898,163.8436897,16.92938912,36.68997333,0.272656013,1594.7017,17.265,95.86527395,0.645043357,4.1688183,0.371679226,1.58390726,0.337178823,1.073420694,1.073420694,1.073420694,0,2.203282761,1.631520087,2.187560401,0.023701688,0.228663943,-0.354995926,2.280711201,0.348070835,4,0,0.253535961,2.37521381,0,0,0,0,-1059212762,-1.08836E+11,-5984885623,-0.65748735
L-10,189.1162,3.3128,18.56989579,0.646039318,54.554,7.9225,16.26483917,0.290284061,0.9765,0.2212,0.831086324,0.128314298,1,0.5305,0.985591638,0.050891382,21.6944,2.8076,6.257651858,0.32054602,11.8247,1.9477,3.792233769,0.276308318,119.909244,17.41213696,35.61077584,0.286193651,937.8065,19.85225,91.4764571,0.648232454,3.929336009,0.427606022,1.550498419,0.339596417,1.073420694,1.073420694,1.073420694,0,2.202792902,1.503597245,2.191421674,0.022484169,0.229347194,-0.303184486,1.806420758,0.301586381,4,0,0.193960511,2.759638967,0,0,0,0,-256743853.1,-12912213690,-1373920824,-0.660498511
C-1,139.6577,4.5103,21.95015008,0.480525372,51.9014,8.1988,17.70628169,0.223165048,0.9743,0.2646,0.842205438,0.125601044,1,0.5892,0.980677198,0.058565077,18.0522,2.9528,6.72200843,0.252462858,13.7223,2.1383,4.253630729,0.223641486,106.5054812,18.06018005,38.74537648,0.224014558,815.8923,21.99825,108.1654972,0.472115488,3.588627345,0.478932542,1.481723053,0.29555503,1.073420694,1.073420694,1.073420694,0,2.203452111,1.660383195,2.188313425,0.022426988,0.212294907,-0.310562539,2.131582522,0.32111462,5,0,0.226873831,2.511945049,1,0,0.000287728,58.94913,-9760158728,-2.98856E+11,-47795471480,-0.481431074
L-9,3849.9443,3.8196,25.89848728,2.509753279,240.1052,8.6545,18.4106125,0.337065418,0.9825,0.2657,0.866339544,0.104473766,1,0.5769,0.991034075,0.040702694,86.8684,3.0733,6.935274801,0.348548061,70.3966,2.1606,4.534246221,0.371436015,527.6434483,19.06169145,40.42299204,0.336830282,19014.4996,22.32155,126.7284342,2.531533396,3.71229429,0.472868424,1.446625714,0.307606338,1.073420694,1.073420694,1.073420694,0,2.203006959,1.685918981,2.196129271,0.016104755,0.199105131,-0.122403984,1.360764376,0.223977639,4,0,0.120912339,3.503383089,0,0,0,0,-343904655.6,-2.41064E+11,-2131971904,-1.938846613
L-3,285.3032,3.3392,24.20982748,0.670421733,96.7105,7.5351,18.22393548,0.306299068,0.9838,0.2564,0.843073593,0.12054686,1,0.5357,0.988725684,0.042733755,27.7961,2.7329,6.986336044,0.32213374,18.5082,1.5184,4.305615481,0.323812497,159.4374514,16.59414074,39.98266947,0.303514002,1728.2228,16.1914,118.7516282,0.685702791,4.098758643,0.411819111,1.555751052,0.329171241,1.073420694,1.073420694,1.073420694,0,2.203441035,1.635298863,2.194619977,0.017599407,0.208254654,-0.265831521,1.601934932,0.266696314,4,0,0.153244722,3.147305362,0,0,0,0,-799317311.9,-63762241637,-5799247118,-0.685377295
J-4,216.9408,3.9472,37.93379683,0.586994735,52.936,8.0218,22.38365308,0.277628213,0.9855,0.2739,0.874123321,0.10478916,1,0.5777,0.992138099,0.034376955,19.2138,3.0347,8.3712835,0.274090365,15.9344,1.6625,5.584202308,0.336789429,116.5979749,17.67199624,49.18417174,0.277731026,1052.50555,19.15885,185.2337997,0.584148709,3.939278263,0.413896542,1.465165087,0.312396839,1.073420694,1.073420694,1.073420694,0,2.203075275,1.759421524,2.197411077,0.013886624,0.167188165,-0.152136576,1.150916917,0.192304517,3,0,0.104374785,3.668101957,0,0,0,0,-2128847680,-1.28477E+11,-21085107574,-0.580569662
I-12,317.0572,4.8828,27.74910392,0.578766822,65.5772,8.9411,19.46848857,0.252814152,0.985,0.2045,0.862951054,0.104743021,1,0.5374,0.991128592,0.037014966,24.3795,3.1967,7.360251839,0.264241251,16.9952,2.2062,4.753589725,0.287380355,144.439904,19.69324349,42.76744318,0.252728617,1538.1913,25.5617,135.5963897,0.576674435,3.297710108,0.433846621,1.488648833,0.303703095,1.073420694,1.073420694,1.073420694,0,2.20280555,1.542172665,2.196791922,0.014533212,0.189387966,-0.255094756,1.422966908,0.238888151,3,0,0.131191761,3.244816741,1,0,0.000245218,63.85922016,-829090340.1,-64209878611,-4982041197,-0.593643347
L-6,448.1159,3.8316,27.55945987,0.579414163,85.8858,8.325,19.1466307,0.259074235,0.9825,0.2683,0.891005201,0.108794614,1,0.5563,0.993578844,0.03289566,35.2558,2.921,6.988025075,0.28200401,16.6782,1.7028,4.985244673,0.282405897,186.9280528,18.20852148,42.07011847,0.256463026,2211.57465,20.5584,134.6059769,0.588352467,4.164930499,0.408545746,1.337908869,0.378311776,1.073420694,1.073420694,1.073420694,0,2.202929591,1.628123424,2.198109972,0.013380704,0.18336914,-0.161128617,1.089076817,0.18907522,4,0,0.082663317,4.355544549,0,0,0,0,-554081671.2,-60194863297,-3895733246,-0.59127549
K-13,6540.7314,5.3352,31.3894839,3.999355821,381.4592,8.6886,20.16508529,0.454018052,0.9847,0.2181,0.845511124,0.1305297,1,0.5672,0.985156302,0.051848538,171.4976,2.9672,7.679690925,0.508421774,51.2147,2.2503,4.794136017,0.369612299,834.5796635,19.13749381,44.14593138,0.450052742,33551.39695,25.88305,155.5456446,4.192355303,3.708398377,0.311297205,1.538816834,0.338300717,1.073420694,1.025313037,1.073117199,0.002650956,2.202716037,1.613832818,2.191482124,0.022158981,0.189840028,-0.251393501,1.697828547,0.262911928,4,0,0.173257468,2.939559177,0,0,0,0,-232648658.2,-4.47426E+11,-1741031812,-4.882708244
