"","TMA.core","Ki67_density","GATA3_density","CK20_density","CK56_density","CyclinD1_density","P16_density","P53_density","P63_density","Her2Neu_density","Ki67_P53.AUC","Ki67_Cyclin.AUC","P53_Cyclin.AUC","CK20_CK56.AUC","Her2Neu_GATA3.AUC","P63_GATA3.AUC","P63_Her2Neu.AUC","P53_Ki67.AUC","Cyclin.Ki67.AUC","Cyclin_P53.AUC","CK56_CK20.AUC","GATA3_Her2Neu.AUC","GATA3_P63.AUC","Her2Neu_P63.AUC"
"1","I-6","912.126510185518","634.603614954085","170.014540705772","160.059414538696","3186.97919968109","310.34568111134","115.076995931309","742.814416078682","1220.59948915443","24023.3867462322","18212.6949318154","33666.4468573774","504575.309232801","67035.2001267197","97172.7381192558","40544.3785372372","15645.701616904","9711.91689825349","25288.7617280495","419417.22056501","57134.3111248366","87154.7392696422","33458.3537437855"
"2","I-7","1013.14826890415","3636.18724989896","505.197935840325","397.590341075997","5848.39218297084","815.865536233588","401.362188309205","2980.16206627871","4419.761153432","15097.4566775155","9374.65178675577","17659.2933797007","16173.719436228","16227.0296837434","13734.8366588035","9461.23727815773","7683.56608657021","932.165220716095","9274.11263473902","11849.2633201971","7877.93127498764","5326.45588563336","890.352303987922"
"3","J-7","3622.22735895024","14222.6260945449","85.7387391301176","1376.54434381402","8970.37237852976","1367.31419660589","80.0231427381853","16161.4734263258","8538.29948601455","6933.73599706346","8160.27952478302","8045.42649186216","242.300183084499","8534.72019871871","9615.74530156271","8898.60208310152","-1443.94913226442","-233.521368247126","-332.258637465684","-8135.38494624337","156.763751891425","1221.45808393003","507.356400388519"
"4","K-10","2907.58620121696","19.2476888937021","0","563.725818027738","79.2996246220605","6.95296272879257","191.107891956258","2765.8272307099","55.6494526664551","7953.37172215036","3013.38385677894","91988.5203942666","0","0","15363.9197480734","7684.94944616361","-130.337724420227","-5471.98123043933","87306.1963664899","0","-8377.68512932793","13312.5988746341","-692.735683164254"
"5","J-9","50.8117788286844","39.5057004488292","0","7764.72549598638","95.2646540847464","0","0","7906.26185544801","66.935879596138","0","0","0","0","0","26119.9316930126","0","0","-8377.68512932793","0","0","-8377.68512932793","17742.2465636847","-8377.68512932793"
"6","F-9","289.427927965968","2729.81635278865","0","51.9944639884351","2897.7262660234","263.468966977771","88.1853033302986","1344.98534888595","401.675804321916","0","11524.8049136489","16247.4788543908","0","6959.65676582907","14106.5311753076","14468.9835943275","-8377.68512932793","1820.73611773297","8887.85563793755","0","-2556.20042678926","5952.69847406325","5215.44502227748"
"7","G-1","1081.82412952657","6.08424315456292","0","6.03510016976461","34.6169654539666","0","0","19.1189226961761","190.341954004521","0","0","0","0","0","0","0","0","-8377.68512932793","0","0","0","0","-8377.68512932793"
"8","F-2","28314.6764037838","1635.02507221273","10.9683229628452","11539.6469793805","1441.65794223814","32757.6949118188","630.342211306475","43718.2448399332","149.626725093762","10167.3370353038","3236.2154533393","3721.48965593643","11855.7174771558","0","1143.97700816499","5183.29880194482","1788.37341398056","-5096.92057509226","-4656.1954733915","3478.03234782798","-8377.68512932793","-7232.11490527797","-3170.8817282372"
"9","B-10","3204.1792891881","21925.1980610172","940.462464468947","43.8177748228628","7730.33820054576","305.947565182954","129.914008216224","13933.2931034708","710.843292968867","60007.0461837528","19309.5415207404","39475.7360924981","44146.7298829262","15936.4161541769","13909.2648013044","15264.4451104114","49162.8718980793","10689.9879088351","31325.2363461135","39732.2186282794","7549.12087061745","5509.61438644677","6850.20222681161"
"10","E-6","2418.30431402551","1126.87857547112","7.99582864425679","2082.26063281005","1636.80915189762","0","3278.24727092705","907.441175897223","555.442776003892","53995.5644695726","53410.949703814","46063.3461685199","0","40155.7577647013","90100.7974761799","62548.7216403522","45359.2581387735","45053.5201634769","37856.0686977822","0","32871.1893204739","81716.1780168368","56188.3133652383"
"11","H-7","6242.42615302599","21677.5085136333","30.260451098485","167.504379950944","10768.5077660491","11.8976707617736","2024.29343635049","11184.159800196","2839.90307074842","24614.1760228914","15187.7511901031","14862.1643167585","106198.035185959","14147.2323577376","13484.4915132521","13209.8825157527","16286.6516318547","6759.38979362103","6461.37239106884","142256.046483217","5771.97216198052","5069.92354992981","4789.88488178089"
"12","B-4","2673.47969309314","6284.32875902272","0","41.5309522495643","3101.28919371187","4563.06615533936","4985.72395132607","479.908694030796","0","17058.7039222564","17919.8803757811","13527.8372759669","0","0","12076.1944304063","0","8626.13266162621","9637.87102836894","5154.78184881998","0","0","3701.93949675158","0"
"13","F-1","0","875.168667566017","0","39.6064281365817","523.506269432292","77.2964649696993","0","309.954179414832","18.894983107078","0","0","0","0","0","24881.6699970488","0","0","0","0","0","-8377.68512932793","18045.7720548941","-8377.68512932793"
"14","B-2","206.567172791689","3152.89741554076","0","25.8480222468622","1261.71183920369","1502.3102477146","2127.21672787207","140.578196646053","6.88589094626962","15502.0177823298","26877.0019653849","12624.7158978895","0","0","8163.52861352026","0","7124.33265300194","18390.8249697147","4247.03076856147","0","-8377.68512932793","-2607.81111161973","-8377.68512932793"
"15","C-5","6208.33258154659","14.3751921743493","4.85007909689841","66.8463895123589","2458.52944646975","485.794844005395","146.539456395322","56.2815087143605","116.226482434649","62422.1886895197","22546.2760040092","52265.7072366332","0","0","0","109096.626359655","55639.0844836356","14126.241284178","43921.8998456029","-8377.68512932793","-8377.68512932793","-8377.68512932793","100718.941230327"
"16","A-9","424.574846853864","3586.8044590556","306.868283092348","1102.37655319798","1462.48135181691","830.054296055284","61.8539217292462","3163.63818476159","473.829263107577","53750.0794554166","43930.7155836886","79580.4718660172","95087.8944155574","59830.2581244316","92467.318232391","69193.3799025249","40259.8820164343","36658.3952643201","71488.2874171017","89682.4627089389","51463.0328441532","84193.1449516322","59998.0022176821"
"17","B-3","2952.35305373845","5314.08234077573","47.8115520139193","737.104809104733","2494.22153369382","4585.27370796375","5344.28471481191","2562.41229339599","249.828462340581","14864.3436387477","17087.2928359711","12247.1171929594","274856.283842999","29161.155311686","22234.4999695416","235016.167433593","6511.79751831974","8705.89045715646","3896.10030650138","285856.477528125","19250.0493936436","13721.6337349534","228202.048823513"
"18","C-8","12289.1569430337","7844.18210487499","4.14508449257946","5550.47599525574","9742.01608309044","0","0","5158.23390978052","536.039126138851","0","13730.351397232","0","0","2595.61432306931","11678.7890136468","660.014638693865","0","5285.97588196251","0","-8377.68512932793","-5782.07080625859","3291.95102357116","-7717.67049063405"
"19","I-8","454.432103547868","4831.53191033673","1221.06263570999","522.146238749344","5324.44634657765","672.508067813912","2364.2918580328","4189.2593578058","5963.81578169987","20858.5982393082","20328.3980302694","25855.0809862392","28130.2661541863","14509.6693105304","18223.5334208112","11941.5994235232","12232.790904479","11451.8641560483","17427.4253879529","18964.99975045","6127.76359919371","9801.91938092315","3548.77664140624"
"20","D-9","15702.7417501672","3020.8757822571","0","9174.52898100028","22724.0642803605","14465.7726432549","18864.5890211969","18093.2410431867","1735.66580640261","13521.0479933163","13527.3477954908","11675.33397168","0","20969.9757891807","6489.59635978198","9053.50345789443","5159.67513824638","5128.02120702859","3283.39875633776","0","12698.0235925975","-1881.5915896454","696.995480280842"
"21","A-5","397.983080319144","2071.74762364289","187.927127579159","705.581777743902","1205.94753897267","305.731107697377","15.5477596635051","2206.94931294876","43.7993234216815","91598.7818143833","57953.8413997693","64266.3157491619","119778.595206311","69491.5147896362","196774.769339183","61310.9848320726","102077.162172157","50211.0835072068","30948.4326770795","96673.9339538999","53351.6909963381","185021.818619266","63511.102879419"
"22","G-10","3100.43560748461","3532.30284441286","0","1341.60231118617","3488.76280612961","207.702756012168","490.536981825238","3164.7294662169","923.437550838435","35129.0153927272","27425.8984096318","57215.4485772923","0","38753.7503317446","65160.3278938765","35336.1868184269","28074.1605866794","19066.4889877546","47566.9003834142","0","29950.1879595318","56310.7505998835","27676.921496754"
"23","E-8","3185.17711835994","8883.13596315133","74.0849949927131","5331.48454333595","9068.06902419676","8.68743787409065","5670.99605235752","5435.5067920675","1608.5047029204","24834.1405067116","23642.9224055198","19874.8839577932","14992.8776202793","18782.4528174787","19630.0081104485","24245.8997984361","16436.9184440353","15246.8829864552","11491.722324018","7205.73775594984","10470.7047050392","11176.1887182645","15746.4572940243"
"24","L-10","35220.7004934478","30394.4062743076","0","2323.52394284968","798.402731436446","0","4.87268646054524","3559.38513873375","0","8131.05256449233","6857.18325274991","0","0","0","14222.0918343731","0","-510.31487381304","-1521.10152171621","-8377.68512932793","0","0","5833.04042005003","0"
