TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,P53_P16.AUC,Ki67_Cyclin.AUC,GATA3_CK56.AUC,Her2Neu_CK56.AUC,CK20_CK56.AUC,P63_CK56.AUC,Her2Neu_GATA3.AUC,CK20_GATA3.AUC,P63_GATA3.AUC,Her2Neu_CK20.AUC,P63_CK20.AUC,Her2Neu_P63.AUC,P16_P53.AUC,Cyclin_Ki67.AUC,CK56_GATA3.AUC,CK56_Her2Neu.AUC,CK56_CK20.AUC,CK56_P63.AUC,GATA3_Her2Neu.AUC,GATA3_CK20.AUC,GATA3_P63.AUC,CK20_Her2Neu.AUC,CK20_P63.AUC,P63_Her2Neu.AUC
D-9,1165.749108,1913.69247,11.07114428,233.8944722,2349.724958,750.3468121,122.7832121,557.1785045,428.3176386,42561.62215,22272.13864,28493.6232,22869.73498,97654.94376,124673.8692,14640.49972,24124.93816,24781.11407,82038.37064,25974.61902,26392.43087,34274.04519,13689.99045,20896.92857,15976.97669,92602.37095,115491.281,6350.304906,15662.71319,15586.07513,73124.04342,17809.91499,18543.08932
A-3,1451.90919,3799.201909,2.057066311,86.63857789,34.42310856,4593.268628,1.845177775,3280.384668,5396.39759,0,2480.619223,2266.47837,9002.607803,0,1803.474015,10762.52259,0,11294.11191,0,0,10854.89144,0,-5595.972442,-6538.205224,1004.516914,0,-6756.299353,2364.720457,0,2899.126258,0,0,2454.40509
G-4,2464.990067,967.1888808,0,3592.943267,743.017183,2753.092011,2415.975895,926.896338,111.9942366,14052.80311,9026.474202,9623.29334,6745.088725,0,11688.57306,2510.146974,0,14985.38908,0,0,2621.094873,5694.418167,659.25745,1297.974598,-984.8957517,0,3393.186439,-5738.509323,0,6592.342865,0,0,-5445.443303
H-6,5925.94684,28.16793299,0,4074.566207,833.5517675,7685.687102,8130.428548,709.680068,256.9635383,9684.690677,8668.365854,8353.161761,8043.458374,0,14098.14257,93711.62418,0,4581.484777,0,0,5987.054917,1312.957357,358.1556094,-239.1753233,-386.5980584,0,5683.647969,85330.70172,0,-3796.200352,0,0,-1926.538609
E-11,2543.304341,3527.516314,193.9736563,203.1459238,5259.8158,5.730043881,58.17726743,2313.039664,473.646149,190298.8765,11776.47049,11409.59335,28023.41667,17560.36654,14264.91255,5313.629459,8569.878293,18936.66892,36800.83417,2617.366305,1646.376159,190475.9053,3324.14468,3412.9906,20034.26489,12161.73255,6115.805253,-3108.275196,83.24490535,10464.32763,28356.31363,-5838.57854,-6711.544497
C-13,41.70097344,50.69938262,1.497521602,154.7089768,496.6105935,4.557237075,1.535374962,23.02606028,77.7090163,0,68482.52127,110612.541,120771.6048,0,94726.6318,335739.7195,541139.4008,406891.3442,485208.6644,0,423489.4552,0,59775.99559,98903.33958,105968.5023,-8377.685129,50786.68247,355913.2382,536718.6492,264417.947,241895.9275,-8377.685129,579489.6763
L-10,47.47580069,408.2300409,6.389895786,71.83235002,1232.917961,5.756324978,0,40.24115298,3.025591359,0,18326.05548,42100.24552,351755.2536,532024.1044,462404.1772,85721.02595,37184.71041,37890.23279,5052759.919,338890.9529,520411.4254,0,10010.02519,33574.13045,301017.1836,531845.9639,404121.2368,72922.13322,37689.15731,26358.19664,4531243.287,330513.2678,412485.2678
C-1,61.7004775,29.16981822,0,29.37812244,2117.071516,9.158646999,10.84497205,4.609678543,70.87636579,0,12473.52843,0,27116.39917,0,0,39603.50202,0,0,0,0,0,-8377.685129,1310.272047,-8377.685129,18738.71405,0,-8377.685129,30822.71103,0,-8377.685129,0,0,-8377.685129
L-9,893.0644369,1538.888166,1225.92222,723.6831445,3188.195516,2922.61816,11.45633504,345.2716826,831.9598101,10279.32936,17077.98672,32375.24433,43530.88612,40022.74545,49639.01571,38689.37009,35665.61991,32034.45961,45660.47243,36702.30164,40749.87082,2987.036972,8724.399799,24510.00324,34624.19231,32745.47269,40510.57942,29817.35556,27091.11283,22906.03659,36815.79735,27726.17261,32457.35265
L-3,2570.504931,2853.512393,509.0003616,177.1832587,1419.98774,4113.319461,114.1966721,1602.119847,72.23889543,13690.21711,8815.179655,9024.004896,11219.55777,13965.72257,3671.253145,13035.64965,9274.485256,15085.79809,2051.483425,10105.83714,11379.8212,5321.936775,428.1442708,994.187184,2937.17221,5652.359757,-4452.205045,4600.093285,933.3821306,6686.624509,-6326.201704,1779.307444,2959.106987
J-4,37.32613796,2815.458323,1989.035597,153.635791,523.1891709,1.379845344,157.0980296,2086.234909,135.0342118,75856.44784,6807.21613,9568.972042,53556.1128,14972.37487,14087.16253,11325.46948,9612.637339,11192.89257,8752.28373,10871.39252,10546.85316,67478.76271,-1601.654184,2052.376699,46450.83876,7133.662028,6150.927128,2841.693229,1215.889666,2709.224637,374.8528294,2460.614757,1954.148096
I-12,1424.975218,4952.593998,1563.063797,747.9436688,840.9239461,5380.873252,1333.37749,3634.332217,1027.246297,11820.13715,8694.071585,9078.713107,10070.7107,7387.265997,9108.236852,11612.81907,8499.599805,10685.20402,7866.556238,8907.695074,14315.43257,3448.776195,320.7357937,738.2143145,1706.060502,-967.2280279,752.2062463,3230.990984,116.0615057,2315.433916,-521.2164514,558.6092239,5934.635842
L-6,655.8880725,20.50725936,0,1143.854496,355.655785,4.053518332,35.04467758,236.1124092,3.701536249,0,9941.696948,11213.85408,6093.63061,0,17675.23435,0,0,0,0,0,0,-8377.685129,1850.87929,3549.311811,-3964.00761,0,8910.182999,-8377.685129,0,-8377.685129,0,0,-8377.685129
K-13,752.816082,1734.212096,0,959.3453195,5773.89707,409.1935079,204.8874377,873.782713,139.6043853,27203.67994,10942.65914,13167.2292,14260.89104,0,19277.52692,9742.466593,0,12067.82484,0,0,21197.06345,18848.6175,2620.2454,4930.270438,6129.060605,0,10988.18193,1288.345626,0,3840.474729,0,0,12530.85978
F-3,1446.852153,4638.849178,2.895899088,3381.053914,1213.997877,8202.996002,2789.68429,2861.244903,2071.130835,11560.08054,22274.61398,9638.233225,11293.73368,9906.70289,11808.64456,11420.44161,0,10742.09162,0,0,11599.18242,3173.561989,14059.71296,1385.53913,3003.761951,-871.5341258,3505.650908,3054.503955,-8377.685129,2332.370909,-8377.685129,-8377.685129,3256.905971
C-9,1692.491642,3928.2372,182.8280114,3386.191917,4183.906711,2062.644601,2527.658998,3270.174433,1187.645494,13436.31198,12168.12229,9516.955267,10257.99722,7955.634136,10533.39571,11900.82845,7760.615078,10929.68218,8244.142438,8965.593145,11225.03347,4931.848807,3764.03433,1316.123866,2113.67905,-354.0594692,2374.643722,3553.283301,-707.3742278,2530.618267,-198.1008841,664.3056681,2919.460882
K-4,707.1221275,22.96746167,0,4270.246929,2044.084703,398.1693226,1063.279724,2212.930471,31.15956909,43953.30381,18147.55601,11002.65754,4599.771886,0,15216.87206,0,0,2494.393296,0,0,2622.07825,35487.11252,9758.406754,2590.36213,-3603.226098,0,6924.950154,-8377.685129,0,-5883.291833,0,0,-5393.213981
F-13,96.36774503,618.6256079,0,109.0452608,431.0761578,125.7382434,3.566613219,154.80248,17.28610605,99010.42764,16819.4456,11958.40337,18312.70678,0,28541.06996,20542.10406,0,13865.72497,0,0,0,90632.74251,6516.373162,4826.373363,11656.34181,0,23112.79717,13264.37099,0,6271.656744,0,0,-8377.685129
E-12,1039.63843,5302.821356,264.5812201,477.7184596,5111.082011,6.194766686,18.99037663,3883.47927,127.1553123,51576.95211,11492.9423,12790.20631,7256.892675,5671.353832,9625.195564,6074.262815,10854.10056,13448.5268,13905.06081,4663.667006,3639.906671,39053.70435,3072.947704,4545.214911,-537.0353125,-2730.356875,1388.920673,-2128.948677,2551.621948,5063.659109,6709.771674,-3581.390671,-4712.325837
K-1,321.4568793,538.4839453,33.67003367,635.8291737,3579.595464,119.2970899,17.7757079,512.5722477,46.14784457,44435.90298,11296.16155,11606.61232,12261.16792,0,19100.05763,22815.15236,4795.107475,13078.07261,0,0,30822.7314,72243.97818,2992.080106,3578.961579,3959.796262,-8377.685129,10969.30234,14502.80585,-3018.920475,4511.258627,-8377.685129,-8377.685129,19801.53604
H-9,1079.873478,4548.364068,1621.640225,2742.799051,3363.498411,2376.16139,0,4422.191476,5562.992303,0,12563.01697,8967.183603,10458.5408,7001.427774,9314.231483,10323.14112,10895.77141,11173.18279,9219.643478,11822.63415,10317.35598,0,4106.500427,621.0819826,2122.665328,-1112.221219,1014.618636,1916.926794,2562.888367,2782.292925,791.7545273,3428.905746,1882.291305
K-7,1342.395891,1232.019062,0,1155.537328,3813.23678,29.74665665,71.74900762,595.730928,162.5151239,0,14395.26438,30872.24213,9058.504453,0,61127.92916,4192.834841,0,42292.82645,0,0,3756.29752,-8377.685129,6010.670065,22590.59629,843.5320098,0,53076.59031,-4268.425411,0,34048.76794,0,0,-5266.634457
D-2,2446.87398,3920.711846,231.4915932,567.9027444,163.6866536,6984.951603,12.4118156,3533.566984,676.9058737,3211.682503,6866.938143,9922.011111,13940.49146,43679.2397,10387.49336,8843.212798,12009.55478,11405.57236,10761.09325,14871.25712,6543.848526,-4920.701838,-1479.119388,1632.54734,6007.659148,36067.51821,2009.669325,387.6777919,3423.589541,2977.545835,2393.339796,6493.327547,-1866.521055
