Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-13	FALSE	1576.7	2508.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-10	FALSE	6067.8	2172.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-9	FALSE	7541.1	2047.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-8	FALSE	9146.6	1996.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-6	FALSE	12210.6	1847.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-4	FALSE	15331.9	1772.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-3	FALSE	16891	1785.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-2	FALSE	18394.8	1675.5
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	L-1	FALSE	20039.2	1724.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-13	FALSE	1546.3	3941.7
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-8	FALSE	9201.1	3624.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-7	FALSE	10862.2	3396
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-6	FALSE	12267.5	3488.1
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-5	FALSE	13786.3	3281.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-4	FALSE	15373.4	3411.7
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-3	FALSE	16930	3246.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-2	FALSE	18553.1	3371
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	K-1	FALSE	20051.3	3271.1
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-13	FALSE	1540.2	5517.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-12	FALSE	3021.4	5418.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-11	FALSE	4644.5	5268.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-10	FALSE	6217.7	5143.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-9	FALSE	7665.9	5168.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-8	FALSE	9239.1	5168.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-7	FALSE	10787.3	5143.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-4	FALSE	15406.8	4919.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-3	FALSE	17004.9	4894.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	J-1	FALSE	20151.2	4869.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-13	FALSE	1648.1	7066.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-12	FALSE	3246.2	7016.7
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-11	FALSE	4721.9	6807.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-10	FALSE	6292.6	6742
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-9	FALSE	7815.8	6742
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-8	FALSE	9368.5	6638.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-7	FALSE	10872.4	6620.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-6	FALSE	12410.3	6567.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-5	FALSE	13958.5	6417.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-4	FALSE	15556.6	6517.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-3	FALSE	17104.8	6417.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-2	FALSE	18702.9	6292.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	I-1	FALSE	20276	6417.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-12	FALSE	3171.3	8490
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-11	FALSE	4744.4	8390.1
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-10	FALSE	6317.5	8290.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-9	FALSE	7815.8	8290.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-7	FALSE	10987	8240.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-6	FALSE	12469.4	8103.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-5	FALSE	13972.1	8109.7
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-4	FALSE	15506.7	8115.4
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-3	FALSE	17129.8	8040.5
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-2	FALSE	18777.8	7990.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-13	FALSE	1797.9	10038.1
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-12	FALSE	3296.1	10113
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-11	FALSE	4719.4	9913.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-10	FALSE	6317.5	9938.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-9	FALSE	7840.7	9813.4
