Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-13	FALSE	1448.3	1922.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-10	FALSE	6142.7	1747.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-9	FALSE	7641	1648.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-8	FALSE	9257.9	1644.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-6	FALSE	12389.1	1587
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-4	FALSE	15525.5	1528.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-3	FALSE	17029.9	1598.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-2	FALSE	18578	1448.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	L-1	FALSE	20201.1	1498.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-13	FALSE	1423.3	3470.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-8	FALSE	9289	3296.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-7	FALSE	10987	3071.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-6	FALSE	12435.3	3196.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-5	FALSE	13958.5	3046.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-4	FALSE	15535.2	3218.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-3	FALSE	17079.8	3071.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-2	FALSE	18802.8	3171.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	K-1	FALSE	20226.1	3046.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-13	FALSE	1444.9	5047.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-12	FALSE	3014.7	4898.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-11	FALSE	4644.5	4844.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-10	FALSE	6242.6	4744.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-9	FALSE	7740.9	4769.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-8	FALSE	9339	4844.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-7	FALSE	10912.1	4819.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-4	FALSE	15581.6	4719.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-3	FALSE	17154.7	4744.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	J-1	FALSE	20251.1	4644.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-13	FALSE	1522	6611.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-12	FALSE	3196.2	6567.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-11	FALSE	4704.4	6415.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-10	FALSE	6292.6	6317.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-9	FALSE	7865.7	6367.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-8	FALSE	9463.8	6317.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-7	FALSE	10990.5	6306.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-6	FALSE	12560.2	6292.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-5	FALSE	14158.3	6167.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-4	FALSE	15704.2	6310.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-3	FALSE	17290	6231.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-2	FALSE	18877.7	6129.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	I-1	FALSE	20446.2	6190.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-12	FALSE	3130.1	8054
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-11	FALSE	4741.7	7976.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-10	FALSE	6337.1	7909
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-9	FALSE	7872.8	7892.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-7	FALSE	11086.9	7915.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-6	FALSE	12625.8	7839.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-5	FALSE	14151.7	7862.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-4	FALSE	15721.2	7898
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-3	FALSE	17331.9	7857.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	H-2	FALSE	18952.6	7815.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-13	FALSE	1758.2	9636.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-12	FALSE	3271.1	9713.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-11	FALSE	4719.4	9513.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-10	FALSE	6342.5	9563.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-9	FALSE	7915.6	9463.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-8	FALSE	9588.7	9638.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-7	FALSE	11037	9438.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-6	FALSE	12623	9498.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-5	FALSE	14208.2	9388.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-4	FALSE	15956.1	9563.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-3	FALSE	17362.7	9361.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-2	FALSE	18834.2	9496.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	G-1	FALSE	20400.9	9363.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-13	FALSE	1781.8	11326.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-10	FALSE	6267.6	11086.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-9	FALSE	8036	11148.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-8	FALSE	9438.8	11086.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-7	FALSE	11037	11161.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-6	FALSE	12610.1	10962
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-5	FALSE	14208.2	11111.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-4	FALSE	15756.4	10937.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-3	FALSE	17354.5	11111.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-2	FALSE	18931.3	10941.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	F-1	FALSE	20425.9	10987
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-13	FALSE	1698	12710
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-12	FALSE	3246.2	12710
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-11	FALSE	4869.2	12560.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-10	FALSE	6442.4	12685
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-9	FALSE	8001.1	12591.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-8	FALSE	9570.8	12692.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-7	FALSE	11136.8	12567.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-6	FALSE	12685	12685
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-5	FALSE	14258.1	12553.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-4	FALSE	15881.2	12635.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-3	FALSE	17404.4	12535.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-2	FALSE	18927.6	12635.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	E-1	FALSE	20475.8	12510.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-13	FALSE	1723	14333.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-12	FALSE	3296.1	14183.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-11	FALSE	4869.2	14208.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-10	FALSE	6367.5	14183.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-9	FALSE	8015.5	14243.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-8	FALSE	9488.8	14158.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-7	FALSE	11086.8	14251
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-6	FALSE	12666.3	14183.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-5	FALSE	14258.1	14258.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-4	FALSE	15806.3	14119.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-3	FALSE	17379.5	14233.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-2	FALSE	18919.2	14116.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	D-1	FALSE	20475.8	14158.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-13	FALSE	1922.7	15731.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-12	FALSE	3421	15806.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-11	FALSE	4944.2	15731.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-10	FALSE	6492.3	15806.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-9	FALSE	8015.6	15720.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-8	FALSE	9563.7	15856.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-7	FALSE	11111.9	15723.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-6	FALSE	12710	15824.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-5	FALSE	14308.1	15756.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-4	FALSE	15856.3	15831.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-3	FALSE	17387.6	15713.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-2	FALSE	18977.6	15781.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	C-1	FALSE	20500.8	15606.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-12	FALSE	3445.9	17329.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-11	FALSE	4994.1	17254.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-10	FALSE	6517.3	17379.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-9	FALSE	8065.5	17429.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-7	FALSE	11012	17379.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-6	FALSE	12510.2	17304.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-5	FALSE	14233.2	17429.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-4	FALSE	15756.4	17304.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-3	FALSE	17329.5	17454.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-2	FALSE	18902.7	17304.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi	B-1	FALSE	20375.9	17429.4
