Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-13	FALSE	1866.5	2856.7
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-12	FALSE	3346	2621.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-11	FALSE	4878.5	2422.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-10	FALSE	6292.6	2372.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-9	FALSE	7715.9	2222.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-8	FALSE	9317.6	2223.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-7	FALSE	10726.6	1866.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-6	FALSE	12160.6	1797.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-4	FALSE	15140.5	1733.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-3	FALSE	16705.3	1673
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-2	FALSE	18178.5	1673
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	L-1	FALSE	19729.4	1800.8
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-13	FALSE	1997.6	4419.8
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-12	FALSE	3495.9	4319.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-11	FALSE	4969.1	4020.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-10	FALSE	6517.3	3970.3
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-9	FALSE	7940.6	3795.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-8	FALSE	9378.9	3700.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-7	FALSE	10762.3	3470.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-6	FALSE	12247.4	3497.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-5	FALSE	13733.8	3196.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-4	FALSE	15221.3	3406.7
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-3	FALSE	16680.3	3221.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-2	FALSE	18253.4	3346
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-1	FALSE	19751.7	3271.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-13	FALSE	2138.1	5978.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-12	FALSE	3607.9	5864.7
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-11	FALSE	5078.6	5615.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-10	FALSE	6617.2	5468.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-9	FALSE	8066.7	5391.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-8	FALSE	9377.4	5198.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-6	FALSE	12385.4	4994.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-5	FALSE	13833.7	4994.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-4	FALSE	15331.9	4969.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-3	FALSE	16780.2	4894.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-2	FALSE	18278.4	4819.3
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-1	FALSE	19801.6	4894.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-13	FALSE	2243.9	7511.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-12	FALSE	3798.5	7311.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-11	FALSE	5268.8	7166.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-10	FALSE	6742	7066.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-9	FALSE	8175.8	7023.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-8	FALSE	9653.1	6764.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-7	FALSE	11124.9	6614.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-6	FALSE	12460.3	6617.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-5	FALSE	14008.4	6467.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-4	FALSE	15456.7	6492.3
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-3	FALSE	16955	6417.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-2	FALSE	18503.1	6317.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-1	FALSE	19948.9	6382.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-12	FALSE	3770.5	8914.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-11	FALSE	5322.2	8817.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-10	FALSE	6692.1	8689.7
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-9	FALSE	8315.2	8564.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-7	FALSE	11111.9	8315.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-6	FALSE	12560.2	8215.3
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-5	FALSE	14006.9	8081.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-4	FALSE	15481.7	8065.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-3	FALSE	17004.9	7990.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	H-2	FALSE	18603	7965.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-13	FALSE	2621.9	10587.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-12	FALSE	3970.3	10587.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-11	FALSE	5343.7	10312.8
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-10	FALSE	6916.8	10212.9
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-9	FALSE	8465	9963.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-8	FALSE	9788.4	10113
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-7	FALSE	11097.4	9792
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-6	FALSE	12620.9	9817
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-5	FALSE	14144.3	9603.1
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-4	FALSE	15656.5	9713.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-3	FALSE	17054.8	9488.8
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	G-2	FALSE	18528.1	9563.7
