Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-13	FALSE	2627.3	1711.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-10	FALSE	7116.6	1872.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-9	FALSE	8614.8	1897.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-8	FALSE	10212.9	2003.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-6	FALSE	13259.3	2122.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-4	FALSE	16325.1	2352.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-3	FALSE	17828.9	2522
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-2	FALSE	19352.1	2497
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-1	FALSE	20897.6	2741.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-13	FALSE	2447.1	3121.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-8	FALSE	10088.1	3620.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-7	FALSE	11658	3604.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-6	FALSE	13159.4	3770.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-5	FALSE	14668.8	3726.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-4	FALSE	16255.8	4020.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-3	FALSE	17754	3970.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-2	FALSE	19293.3	4267.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-1	FALSE	20800.4	4245
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-13	FALSE	2288.1	4746.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-12	FALSE	3820.5	4769.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-11	FALSE	5393.6	4819.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-10	FALSE	6948.5	4834.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-9	FALSE	8436.8	5010.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-8	FALSE	10013.2	5168.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-7	FALSE	11536.4	5268.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-4	FALSE	16106	5493.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-3	FALSE	17679.1	5618.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-1	FALSE	20775.4	5843.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-13	FALSE	2222.3	6307.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-12	FALSE	3845.5	6417.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-11	FALSE	5345.2	6382.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-10	FALSE	6891.9	6442.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-9	FALSE	8415.1	6567.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-8	FALSE	9967.2	6642.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-7	FALSE	11465	6742
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-6	FALSE	13009.6	6841.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-5	FALSE	14582.8	6841.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-4	FALSE	16106	7066.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-3	FALSE	17654.1	7116.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-2	FALSE	19227.3	7166.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-1	FALSE	20750.5	7416.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-12	FALSE	3620.7	7890.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-11	FALSE	5218.8	7940.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-10	FALSE	6792	7965.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-9	FALSE	8290.2	8140.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-8	FALSE	9813.4	8340.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-7	FALSE	11436.5	8365.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-6	FALSE	12950.3	8399.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-5	FALSE	14412.6	8526.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-4	FALSE	15931.2	8664.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-3	FALSE	17529.3	8739.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-2	FALSE	19150.1	8832.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-13	FALSE	2097.5	9314
