Image	Name	Missing	Centroid X um	Centroid Y um
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-13	False	2372	1722.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-12	False	3895.2	1572.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-11	False	5468.3	1523
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-10	False	6941.6	1523
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-9	False	8414.8	1498
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-8	False	9988	1597.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-7	False	11461.2	1498
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-6	False	12959.5	1572.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-4	False	16017.2	1743.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-3	False	17454.1	1872.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-2	False	18974.6	1940.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-1	False	20500.5	2172.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-13	False	2372	3196
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-12	False	3920.1	3245.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-11	False	5468.3	3021.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-10	False	7066.4	3171
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-9	False	8489.7	3146.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-8	False	9888.1	3171
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-7	False	11365	3085.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-6	False	12888.6	3213.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-5	False	14382.8	3071.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-4	False	15881	3420.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-3	False	17404.2	3345.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-2	False	18927.4	3620.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-1	False	20425.6	3625
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-13	False	2312.9	4792.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-12	False	3938.8	4752.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-11	False	5349.8	4679.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-10	False	6941.6	4644.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-9	False	8365.8	4726
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-8	False	10037.9	4819.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-6	False	12859.6	4744.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-5	False	14357.8	4869
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-4	False	15881	4993.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-3	False	17354.3	5043.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-2	False	18827.5	5043.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-1	False	20375.7	5243.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-13	False	2396.9	6292.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-12	False	3970.1	6392.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-11	False	5443.3	6242.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-10	False	6916.6	6242.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-9	False	8408.9	6223.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-8	False	9938	6217.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-7	False	11371.3	6256.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-6	False	12809.6	6367.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-5	False	14382.8	6342.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-4	False	15856	6492.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-3	False	17375.1	6537.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-2	False	18898.3	6551.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-1	False	20375.7	6716.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-12	False	3795.3	7790.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-11	False	5343.5	7815.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-10	False	6916.6	7815.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-9	False	8414.8	7865.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-7	False	11386.3	7965.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-6	False	12759.7	7890.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-5	False	14279.7	7970.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-4	False	15781.1	8065.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-3	False	17329.3	8090.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-2	False	18902.4	8190.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-13	False	2521.8	9288.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-12	False	3920.1	9438.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-11	False	5243.6	9338.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-10	False	6791.7	9413.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-9	False	8314.9	9313.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-8	False	9913.1	9563.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-7	False	11237.9	9386
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-6	False	12743.3	9557.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-5	False	14282.9	9463.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-4	False	15781.1	9688.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-3	False	17229.4	9588.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-2	False	18677.7	9788.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-1	False	20051.1	9763.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-13	False	2524.5	10975
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-12	False	3883.8	10796.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-10	False	6737.7	10879.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-9	False	8364.9	10886.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-8	False	9663.4	10961.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-7	False	11186.6	11111.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-6	False	12683.9	11055.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-5	False	14178.5	11178.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-4	False	15656.3	11061.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-3	False	17179.5	11236.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-2	False	18652.7	11186.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-1	False	20076	11286.4
