Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-13	FALSE	1733.8	2311.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-10	FALSE	6292.6	2172.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-9	FALSE	7790.8	2047.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-8	FALSE	9416.2	2076.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-6	FALSE	12527.2	2050.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-4	FALSE	15606.6	2072.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-3	FALSE	17104.8	2172.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-2	FALSE	18636.8	2115.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-1	FALSE	20256.1	2279.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-13	FALSE	1723	3745.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-8	FALSE	9413.9	3720.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-7	FALSE	10960.4	3550.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-6	FALSE	12485.2	3670.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-5	FALSE	13983.5	3520.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-4	FALSE	15537.1	3710
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-3	FALSE	17102.5	3623.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-2	FALSE	18659.4	3836.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-1	FALSE	20226.1	3770.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-13	FALSE	1623.1	5193.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-12	FALSE	3171.3	5193.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-11	FALSE	4769.4	5119
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-10	FALSE	6339.6	5051.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-9	FALSE	7815.8	5143.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-8	FALSE	9413.9	5218.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-7	FALSE	10962	5218.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-4	FALSE	15556.6	5193.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-3	FALSE	17104.8	5193.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-1	FALSE	20276	5368.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-13	FALSE	1747.9	6792
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-12	FALSE	3321.1	6816.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-11	FALSE	4944.2	6692.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-10	FALSE	6342.5	6642.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-9	FALSE	7890.7	6717.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-8	FALSE	9488.8	6692.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-7	FALSE	10962	6692.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-6	FALSE	12510.2	6717.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-5	FALSE	14108.3	6617.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-4	FALSE	15631.5	6767
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-3	FALSE	17229.6	6742
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-2	FALSE	18802.8	6692.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-1	FALSE	20301	6767
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	H-12	FALSE	3121.3	8290.2
