Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-13	FALSE	1227.7	1927.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-12	FALSE	2767	1805.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-11	FALSE	4286.8	1806.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-10	FALSE	5668.3	1772.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-9	FALSE	7041.7	1747.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-8	FALSE	8577.1	1719.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-7	FALSE	10038.1	1648.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-6	FALSE	11486.4	1648.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-4	FALSE	14449.7	1702.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-3	FALSE	15906.2	1723
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-2	FALSE	17411.3	1761.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-1	FALSE	18965.4	1929.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-13	FALSE	1274.3	3399.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-12	FALSE	2713.6	3453.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-11	FALSE	4206.8	3316.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-10	FALSE	5592.1	3454.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-9	FALSE	7107.4	3312.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-8	FALSE	8514.9	3346
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-7	FALSE	9988.2	3221.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-6	FALSE	11461.5	3321.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-5	FALSE	12934.7	3096.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-4	FALSE	14432.9	3371
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-3	FALSE	15908.7	3241.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-2	FALSE	17454.4	3445.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-1	FALSE	18952.6	3371
