Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-13	FALSE	2416	1766.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-12	FALSE	3926.1	1684.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-11	FALSE	5367.3	1625.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-10	FALSE	6912.6	1621.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-9	FALSE	8328.8	1604.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-8	FALSE	9813.4	1822.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-7	FALSE	11261.7	1723
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-6	FALSE	12710	1797.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-4	FALSE	15672.6	1976.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-3	FALSE	17154.7	2122.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-2	FALSE	18628	2172.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	L-1	FALSE	20151.2	2397.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-13	FALSE	2460.5	3273.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-12	FALSE	3874.6	3351.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-11	FALSE	5329.5	3187.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-10	FALSE	6853.8	3316
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-9	FALSE	8224.2	3267
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-8	FALSE	9758.6	3357.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-7	FALSE	11162.3	3312.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-6	FALSE	12610.1	3445.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-5	FALSE	14083.4	3271.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-4	FALSE	15531.6	3645.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-3	FALSE	17004.9	3570.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-2	FALSE	18578	3870.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	K-1	FALSE	20051.3	3870.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-13	FALSE	2373	4839.3
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-12	FALSE	3865.8	4819.3
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-11	FALSE	5351.2	4822
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-10	FALSE	6816.9	4769.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-9	FALSE	8215.3	4895.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-8	FALSE	9691.6	4823.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-6	FALSE	12585.1	4944.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-5	FALSE	14033.4	5094
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-4	FALSE	15531.6	5193.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-3	FALSE	16997	5249.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-2	FALSE	18478.2	5293.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-1	FALSE	20001.4	5493.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-13	FALSE	2414.6	6362.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-12	FALSE	3971	6413.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-11	FALSE	5321.1	6378.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-10	FALSE	6767	6342.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-9	FALSE	8240.3	6342.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-8	FALSE	9738.5	6417.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-7	FALSE	11086.9	6442.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-6	FALSE	12560.2	6567.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-5	FALSE	14108.3	6567.2
