"","x"
"1","D-9"
"2","A-3"
"3","G-4"
"4","H-6"
"5","E-11"
"6","C-13"
"7","L-10"
"8","C-1"
"9","L-9"
"10","L-3"
"11","J-4"
"12","I-12"
"13","L-6"
"14","K-13"
"15","F-3"
"16","C-9"
"17","K-4"
"18","F-13"
"19","E-12"
"20","K-1"
"21","H-9"
"22","K-7"
"23","D-2"
"24","A-1"
"25","C-12"
"26","F-9"
"27","H-10"
"28","D-1"
"29","F-8"
"30","G-11"
"31","F-2"
"32","J-8"
"33","J-12"
"34","F-10"
"35","J-3"
"36","I-11"
"37","D-7"
"38","K-8"
"39","J-10"
"40","E-9"
"41","C-11"
"42","J-9"
"43","C-3"
"44","K-2"
"45","D-6"
"46","G-12"
"47","D-3"
"48","J-13"
"49","H-12"
"50","F-7"
"51","D-8"
"52","D-10"
"53","C-2"
"54","C-10"
"55","C-4"
"56","L-1"
"57","I-8"
"58","F-4"
"59","J-11"
"60","D-11"
"61","H-7"
"62","E-13"
"63","G-1"
"64","D-4"
"65","A-12"
"66","E-3"
"67","G-13"
"68","D-13"
"69","L-13"
"70","C-8"
"71","J-1"
"72","K-3"
"73","F-5"
"74","G-3"
"75","E-8"
"76","E-6"
"77","E-2"
"78","I-10"
"79","A-4"
"80","E-5"
"81","I-1"
"82","G-2"
"83","F-6"
"84","A-6"
"85","A-7"
"86","C-6"
"87","A-11"
"88","G-9"
"89","I-6"
"90","G-10"
"91","H-5"
"92","I-13"
"93","H-11"
"94","E-4"
"95","D-12"
"96","G-8"
"97","H-4"
"98","I-5"
"99","E-1"
"100","D-5"
"101","I-9"
"102","C-5"
"103","E-10"
"104","A-2"
"105","A-5"
"106","L-8"
"107","K-5"
"108","C-7"
"109","G-5"
"110","G-6"
"111","L-4"
"112","I-7"
"113","K-6"
"114","G-7"
"115","H-3"
"116","I-3"
"117","L-2"
"118","H-2"
"119","I-2"
"120","E-7"
"121","I-4"
