"","TMA.core","P63","uv-GATA3","CK20","CK5-6","Her2Neu","CV","Mean","QCoD"
"35","D-9",0.091692145412,0.0992317037992,0.095241875164,0.0940607480376,0.0933784216312,0.0298746924558078,0.0947209788088,0.00987939031197315
"5","A-3",0.1126374059928,0.1226129051028,0.1031800412836,0.1021788946484,0.1277488829792,0.100433608869376,0.11367162600136,0.0860649729329653
"66","G-4",0.107785373518,0.105482645566,0.1108246157728,0.110650385918,0.1023238560312,0.0335296336161396,0.1074133753612,0.0239099980068644
"79","H-6",0.0724039338016,0.0612061874232,0.0752341538208,0.0714210078208,0.0656035486136,0.0819182487520389,0.069173766296,0.0492754817998985
"38","E-11",0.1384017411,0.1513892751528,0.1586463103388,0.1366518574832,0.1407965204576,0.06514530420525,0.14517714090648,0.0448168967442051
"14","C-13",0.1387525299204,0.1356214835992,0.138219637614,0.1389701884164,0.1436879363172,0.0209823201735932,0.13905035517344,0.00270771410750726
"114","L-10",0.1295675681168,0.1396621198284,0.1326077378936,0.1360784221596,0.1241294241844,0.0451149648648894,0.13240905443656,0.0245095137179581
"10","C-1",0.1404084452528,0.1431114092536,0.1432491565764,0.145089586952,0.1470200900196,0.0171463083115303,0.14377573761088,0.00686388223650965
"121","L-9",0.1307690388924,0.1376705239784,0.1374172692492,0.1350027645904,0.12734774002,0.0335065237279544,0.13364146734608,0.0247895964669822
"117","L-3",0.0906102219164,0.0848116223232,0.096648204632,0.0930999383036,0.0853450299196,0.0562404627347413,0.09010300341896,0.0434582631341004
"101","J-4",0.1583015401056,0.1586254513996,0.1599469641336,0.1576066406232,0.1582036556172,0.00548800105200747,0.15853685037584,0.00133130376300185
"85","I-12",0.1802136290076,0.1815961108544,0.18006705992,0.1799603330552,0.1822293610412,0.00570885617928411,0.18081329877568,0.00422783146850693
"119","L-6",0.1567841141136,0.1589647801704,0.1540365878336,0.15360073494,0.1546249871788,0.0144119575711151,0.15560224084728,0.00883958585379788
"105","K-13",0.1477725783124,0.1695677582192,0.1532792764264,0.1467847673824,0.1505360373592,0.0604557199392925,0.15358808353992,0.018291526948996
"52","F-3",0.1578156216356,0.157068533582,0.1451530500684,0.1457410990164,0.15650233293,0.0421016870252874,0.15245612744648,0.0374077748729445
"22","C-9",0.1869199222416,0.188602220422,0.1806502033072,0.1759671859524,0.1795202135604,0.0289707039195033,0.18233194909672,0.0201934994511582
"108","K-4",0.0790601614592,0.0701878157928,0.0791196465368,0.0836487158512,0.0699387039952,0.0794532488193364,0.07639100872704,0.0598217303049646
"50","F-13",0.1547928274376,0.1613820467836,0.1479274538748,0.1493381323904,0.1555135326432,0.0349865708783259,0.15379079862592,0.0202570658491216
"39","E-12",0.1633141781676,0.068844702102,0.1657260033184,0.1587451429608,0.180643360256,0.303172376533209,0.14745467736096,0.0215145797635674
"104","K-1",0.196653935846,0.1966587383488,0.1870338631664,0.1865813561,0.192566346392,0.0257483148320387,0.19189884797064,0.0250726572603084
"81","H-9",0.1436323880552,0.1411924280704,0.1374338615872,0.1373474371484,0.1804399649872,0.123794549200824,0.14800921596968,0.0220536136084869
"111","K-7",0.1211194916248,0.117995844868,0.124612271526,0.122626756098,0.1240233775024,0.0217082003678994,0.12207554832384,0.0118456877327859
"28","D-2",0.1574378728424,0.1578051715544,0.1576959094628,0.154194142904,0.1574091196604,0.00972955026390937,0.1569084432848,0.000910140352878532
"1","A-1",0.1545735200136,0.1495048390112,0.1545739528572,0.1501651316172,0.1551905900944,0.0178651677790473,0.15280160671872,0.014467528008769
"13","C-12",0.177924381042,0.1875961476144,0.1571715091356,0.1685183598284,0.148994660688,0.092250029711269,0.16804101166168,0.0619311442327778
"58","F-9",0.1867329750296,0.1841614924252,0.1754795154964,0.171806033698,0.1842282740092,0.0357951225659498,0.18048165813168,0.0243218489230514
"72","H-10",0.1694840545116,0.1740528217676,0.1645327771828,0.1634631382008,0.2119142285844,0.113981682789671,0.17668940404944,0.0281170983476903
"23","D-1",0.1818723475176,0.1788492647572,0.175802210706,0.180169293456,0.1785950206712,0.0124922273547912,0.1790576274216,0.00438804173884984
"57","F-8",0.1537289184804,0.1613336507468,0.1316926653,0.1473864612096,0.1479926483656,0.073495636257801,0.14842686882048,0.0210632126373936
"61","G-11",0.1797779203952,0.1813423408352,0.1797552476352,0.1790417564896,0.1789517868556,0.005329803142914,0.17977381044216,0.00205162635447204
"51","F-2",0.1464803340504,0.151668088266,0.15220275317,0.146307629454,0.1459058887584,0.021122256701404,0.14851293873976,0.0179895826848451
"102","J-8",0.1797398301584,0.1869220452364,0.1868035903712,0.1812053767532,0.18903362121,0.021812080809295,0.18474089274584,0.0155290482091864
"98","J-12",0.1152485865388,0.108863360198,0.1200186466804,0.1158122107408,0.1195948309612,0.0387187233410435,0.11590752702384,0.0185069884805266
"49","F-10",0.1843755232796,0.1859515068272,0.1869202314156,0.185172656298,0.1856239060568,0.00507466608933672,0.18560876477544,0.00209862522192401
"100","J-3",0.1907322437776,0.1952091039092,0.191285232394,0.1900920887048,0.1924370910484,0.0104957784679002,0.1919511519668,0.00444933118558192
"84","I-11",0.1793719130984,0.1776479382628,0.1796032164736,0.1801489704184,0.1764822286132,0.00857171002921755,0.17865085337328,0.00547311935840405
"33","D-7",0.1863256485904,0.1830639453368,0.1885045832728,0.1845221748136,0.1875713930828,0.0119171650485181,0.18599754901928,0.00819476210362487
"112","K-8",0.2049416334784,0.203858617568,0.2139445536308,0.2084927854308,0.2001564444224,0.0252823801015067,0.20627880690608,0.0112383947989465
"96","J-10",0.17896588519,0.187184451516,0.1812256791792,0.1740106298224,0.1977933657056,0.0496386720160194,0.18383600228264,0.0224458794710848
"48","E-9",0.22190809263,0.241125524006,0.2137471975608,0.201140462818,0.244769757944,0.0819771992105849,0.22453820699176,0.0601889828673303
"12","C-11",0.2080913745208,0.2121618563468,0.2117098027356,0.2125562180896,0.15275720521,0.131185356163107,0.19945529138056,0.00968578353959728
"103","J-9",0.13996358509,0.1506600985796,0.1322838884344,0.138577558048,0.1456754098472,0.0496394981485805,0.14143210799984,0.0249701941610575
"16","C-3",0.1577266413584,0.155976943246,0.1646910536592,0.1592899693836,0.1617095238844,0.0213744435090614,0.15987882630632,0.0124684771462012
"106","K-2",0.1463310854548,0.1486836728672,0.1498052943044,0.1501201158828,0.1454315127844,0.014156380052794,0.14807433625872,0.0117317867275376
"32","D-6",0.2037325982456,0.2049788786396,0.2052062658108,0.2007410512332,0.2195173325344,0.0353385234880595,0.20683522529272,0.00360363784107535
"62","G-12",0.2030691726764,0.205137052058,0.2046403537212,0.2059644635168,0.1986507052076,0.0142754684884997,0.203492349436,0.00506577130945386
"29","D-3",0.2111490229344,0.2159124461408,0.196034145034,0.1899808478996,0.221697235962,0.0649422616430345,0.20695473959416,0.0482545590439541
"99","J-13",0.196842119754,0.2037759856636,0.1988246465,0.1950975333184,0.2097099210224,0.0294883925179947,0.20085004125168,0.0173079194770097
"74","H-12",0.2479082038296,0.250785150346,0.2434125253072,0.249801152562,0.2439351530368,0.0135881966885933,0.24716843701632,0.0118808348883434
"56","F-7",0.2155046662464,0.2137907498716,0.1746640587656,0.2272514025908,0.2155951099472,0.0961290975576398,0.20936119748432,0.00420218792570729
"34","D-8",0.2286062855052,0.2256725334192,0.2155034707736,0.2254241636392,0.221404035952,0.0226867488940843,0.22332209785784,0.00954757587319662
"24","D-10",0.2215972903136,0.2195885456124,0.2168586834736,0.2173683465068,0.2236777221596,0.0130417240807818,0.2198181176132,0.00963388350266298
"15","C-2",0.22659053286,0.2279611424252,0.2268467556596,0.2260393580644,0.2297862377704,0.00652562742734919,0.22744480535592,0.00301529977717061
"11","C-10",0.2154466445924,0.2353361790212,0.2164641156148,0.2127236461164,0.2138518014308,0.0428533620332505,0.21876447735512,0.0060706891855994
