"","TMA.core","H&E","P16","P53","CV","Mean","QCoD"
"35","D-9",0.0767475399392,0.0789311122316,0.0720853196888,0.0460593048146051,0.0759213239532,0.0224812274004381
"5","A-3",0.1162533195924,0.1119373329988,0.1103944310692,0.0269077399171302,0.112861694553467,0.0130046548330402
"66","G-4",0.148163600976,0.1448029620424,0.1331872330276,0.0553196746205884,0.142051265348667,0.026230301570546
"79","H-6",0.2018396701248,0.2039067044308,0.1928424181624,0.0294831740367486,0.199529597572667,0.0138229545574931
"38","E-11",0.1416828604808,0.1281394521876,0.124564246498,0.0686894833421289,0.1314621863888,0.0327612666371216
"14","C-13",0.1337392528988,0.1330054387156,0.133153615508,0.00291097647632801,0.133299435707467,0.00137662796445604
"114","L-10",0.1469635730124,0.1410992636384,0.1397313129696,0.0269430497281649,0.142598049873467,0.012712856001217
"10","C-1",0.1337288234292,0.1329577228616,0.1316058492408,0.00809439636068576,0.132764131843867,0.00399618581699537
"121","L-9",0.1454360885596,0.1455176692724,0.1503447617112,0.0191079460605881,0.1470995065144,0.00836492456267677
"117","L-3",0.2018897150896,0.2071093554504,0.2062334655084,0.0136301338158304,0.205077512016133,0.00635405525110957
"101","J-4",0.152944461596,0.1472396447828,0.1466406922984,0.0233614516193748,0.148941599559067,0.010611255002715
"85","I-12",0.142171911914,0.1280114129284,0.1200603439472,0.086101233691469,0.130081222929867,0.0426654146709007
"119","L-6",0.1531897808592,0.1584830252436,0.1548527453588,0.0174065603969006,0.155508517153867,0.00851855369182612
"105","K-13",0.168173548372,0.1506959009288,0.1485970835356,0.0689757695407323,0.155822177612133,0.0316688038080227
"52","F-3",0.1625006383156,0.1670046439244,0.157716253112,0.0286003407756543,0.162407178450667,0.0142959424640969
"22","C-9",0.1311608447968,0.1304051823176,0.1365668140216,0.0253225991660552,0.132710947045333,0.0116412340969854
"108","K-4",0.2414238975276,0.2412461843124,0.2397696723464,0.0037710697641153,0.240813251395467,0.00171656046343989
"50","F-13",0.1908321482028,0.1695551851432,0.1657355258776,0.0771062114358097,0.175374286407867,0.0360750530053637
"39","E-12",0.1874993761524,0.1763979683924,0.1759590443704,0.0363418349565179,0.1799521296384,0.0161120580478982
"104","K-1",0.145485844962,0.1321296724432,0.1280778647268,0.0673586832051805,0.135231127377333,0.0323674860850837
"81","H-9",0.1819924100876,0.1837630083624,0.1829156448748,0.00484208162087587,0.1828903544416,0.00242021657167253
"111","K-7",0.2073854066092,0.2021426812564,0.2039279549904,0.0130348582615047,0.204485347618667,0.00641402983984665
