"","TMA.core","Ki67","Cyclin","Range"
"35","D-9",0.0750857503008,0.074356450058,0.000729300242800004
"5","A-3",0.1147898341576,0.1171811507664,0.0023913166088
"66","G-4",0.144506484788,0.1397329618976,0.00477352289039998
"79","H-6",0.184127339004,0.183911535552,0.000215803452000007
"38","E-11",0.12024549795,0.1160535931884,0.0041919047616
"14","C-13",0.1321594768168,0.1325906508772,0.000431174060400025
"114","L-10",0.13703776847,0.1333516517608,0.00368611670919999
"10","C-1",0.1322924010252,0.130997436032,0.0012949649932
"121","L-9",0.1480796705408,0.148913347926,0.000833677385199988
"117","L-3",0.2110502521472,0.2157087829212,0.004658530774
"101","J-4",0.1468789005596,0.1448869955356,0.00199190502400001
"85","I-12",0.1277341250736,0.1225436707384,0.00519045433519999
"119","L-6",0.1581116454348,0.1573098129716,0.000801832463200008
"105","K-13",0.1656460096988,0.1606623103232,0.0049836993756
"52","F-3",0.1577480568108,0.1566817981312,0.0010662586796
"22","C-9",0.137991982492,0.142920628284,0.004928645792
"108","K-4",0.2483993164228,0.2503511524964,0.0019518360736
"50","F-13",0.1591304562112,0.1585909888044,0.000539467406799998
"39","E-12",0.1719577762972,0.1657234062568,0.00623437004040001
"104","K-1",0.140316764856,0.1389513700256,0.00136539483039999
"81","H-9",0.1797703353264,0.1785536119668,0.00121672335959999
"111","K-7",0.2123706106316,0.2138721038568,0.00150149322519999
"28","D-2",0.1760115627272,0.173854929796,0.0021566329312
"1","A-1",0.1857128244992,0.1787492160508,0.00696360844840002
"13","C-12",0.1807464388676,0.1706896888304,0.0100567500372
"58","F-9",0.1565972699596,0.1477677964212,0.0088294735384
"72","H-10",0.1766819756288,0.1779802590896,0.00129828346079999
"23","D-1",0.1768911421456,0.1759378144224,0.000953327723200004
"57","F-8",0.2131661153336,0.197766446956,0.0153996683776
"61","G-11",0.1799343006044,0.176071810434,0.0038624901704
"51","F-2",0.2143482524284,0.21385771696,0.0004905354684
"102","J-8",0.1581951018032,0.15334102878,0.00485407302320001
"98","J-12",0.2507893345008,0.2487125096848,0.00207682481599999
"49","F-10",0.178780483848,0.1762257996976,0.0025546841504
"100","J-3",0.1711801212408,0.1680011735612,0.0031789476796
"84","I-11",0.1914749209488,0.188019221316,0.00345569963280001
"33","D-7",0.1905836959764,0.1878739713708,0.00270972460560001
"112","K-8",0.1685300466056,0.1605030032668,0.0080270433388
"96","J-10",0.1848327916256,0.1909696894096,0.00613689778399998
"48","E-9",0.1244396905992,0.147079430816,0.0226397402168
"12","C-11",0.1794404466684,0.1711854802568,0.00825496641160001
"103","J-9",0.2465656054288,0.24879437896,0.00222877353120002
"16","C-3",0.2262061471316,0.2258697658196,0.000336381312000006
"106","K-2",0.2405726590592,0.2399510132032,0.000621645855999997
"32","D-6",0.2056926789592,0.2063730884868,0.000680409527600012
"62","G-12",0.2132097707024,0.2138646424576,0.000654871755200015
"29","D-3",0.2134414863096,0.215274867518,0.00183338120840001
"99","J-13",0.2137452188472,0.2084322491616,0.00531296968559999
"74","H-12",0.1616482868208,0.1581043283168,0.00354395850400002
"56","F-7",0.2164527586232,0.2160109283656,0.000441830257599973
"34","D-8",0.2059761090708,0.2071448898488,0.00116878077800001
"24","D-10",0.2153727520064,0.2149999293856,0.00037282262079999
"15","C-2",0.2120639718584,0.2132438829004,0.00117991104199999
"11","C-10",0.221596033006,0.2224833005512,0.000887267545199993
