Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-13 - PathAnnotationObject		G-13	G-13	Geometry	20224.8	11107.8	651511.7	23231.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-11 - PathAnnotationObject		G-11	G-11	Geometry	17196.9	11308.5	690631.8	17511.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	F-10 - PathAnnotationObject		F-10	F-10	Geometry	15801.4	9784	520423.6	10568.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	E-5 - PathAnnotationObject		E-5	E-5	Geometry	7821	8369.9	665375.7	18781.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-12 - PathAnnotationObject		H-12	H-12	Polygon	18748.2	12746.9	1242767.8	7882.8
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-7 - PathAnnotationObject		G-7	G-7	Polygon	10983.6	11485.1	839446.8	6062.6
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	D-11 - PathAnnotationObject		D-11	D-11	Polygon	17122	6425	1372936.7	5730.7
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	A-4 - PathAnnotationObject		A-4	A-4	Geometry	6186.2	2165.7	625988.3	9418.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	A-10 - PathAnnotationObject		A-10	A-10	Polygon	15347.9	1774.6	1367052.6	5095.3
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	12472.9	9765.3	1362304.5	6383.5
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	H-6 - PathAnnotationObject		H-6	H-6	Polygon	9514.2	12999.1	1228533.9	6063.9
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	G-6 - PathAnnotationObject		G-6	G-6	Geometry	9385.9	11482.6	626247	15454.2
TMA_1042_117_CK20_-_2016-10-25_11.57.44.ndpi	F-2 - PathAnnotationObject		F-2	F-2	Polygon	3228.2	10081.9	982285.1	7480.6
