Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-11 - PathAnnotationObject		K-11	K-11	Polygon	17485.9	17407.8	1115041.1	5705.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-2 - PathAnnotationObject		I-2	I-2	Polygon	4394.8	15037	1140079.8	8323.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	K-5 - PathAnnotationObject		K-5	K-5	Geometry	8981.8	17955.3	1202245.2	6664.2
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	B-5 - PathAnnotationObject		B-5	B-5	Geometry	7937.9	3803.1	462128.3	3762.5
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	I-7 - PathAnnotationObject		I-7	I-7	Geometry	11541.4	14675.4	902538.4	9308.3
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	C-6 - PathAnnotationObject		C-6	C-6	Geometry	9507.4	5342.4	725875.4	9486.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	18511	9592.2	1101061.5	6820
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-10 - PathAnnotationObject		J-10	J-10	Polygon	16022.5	15956.8	972047.9	6469.6
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	D-6 - PathAnnotationObject		D-6	D-6	Polygon	9665.2	6764.2	1052208.9	5363.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-9 - PathAnnotationObject		J-9	J-9	Geometry	14582.7	15982.4	1215817.6	9428.4
TMA_1042_32_Cyclin_D1_-_2016-10-25_11.47.22.ndpi	J-6 - PathAnnotationObject		J-6	J-6	Polygon	10244.7	16322.2	1073568.4	6212.2
