Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-1 - PathAnnotationObject		J-1	J-1	Polygon	1846.7	15480.7	650895.5	5417.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-2 - PathAnnotationObject		F-2	F-2	Polygon	3538.1	9482.1	982107.1	6362.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-2 - PathAnnotationObject		I-2	I-2	Polygon	3256.2	13933	1296941.4	4937.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-10 - PathAnnotationObject		K-10	K-10	Polygon	15312	17922.4	821429.2	16771.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	A-5 - PathAnnotationObject		A-5	A-5	Geometry	8655.5	1978.1	649819.8	9608.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-6 - PathAnnotationObject		H-6	H-6	Polygon	9542.2	12975.9	1220464.3	5524
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Polygon	3286.4	12807.4	313983.8	6970.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-12 - PathAnnotationObject		H-12	H-12	Polygon	18697.2	13505.1	1206455.2	6905.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-4 - PathAnnotationObject		K-4	K-4	Geometry	6183.6	17430.4	916883.5	7826.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-10 - PathAnnotationObject		I-10	I-10	Polygon	15564.1	14732.9	1186603.2	6907.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-3 - PathAnnotationObject		F-3	F-3	Polygon	4977.7	9511.4	868406.7	5757.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-11 - PathAnnotationObject		E-11	E-11	Polygon	17535.5	8738.4	1402150	4417.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-13 - PathAnnotationObject		J-13	J-13	Polygon	19939.4	16360.4	685640.2	4774.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-5 - PathAnnotationObject		D-5	D-5	Polygon	8413.2	6571.1	1301929.8	5246.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	A-12 - PathAnnotationObject		A-12	A-12	Polygon	19348.6	2501.1	1419590.4	5320.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-9 - PathAnnotationObject		K-9	K-9	Polygon	13840.9	17926.4	1031672.2	8875.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-4 - PathAnnotationObject		C-4	C-4	Geometry	6964.6	4846.9	888447.5	16170.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	A-1 - PathAnnotationObject		A-1	A-1	Polygon	2637.9	1704.9	1195540.2	5891.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-13 - PathAnnotationObject		G-13	G-13	Geometry	20299.5	12039.2	693770.3	22069
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-11 - PathAnnotationObject		L-11	L-11	Geometry	16698.1	19691.3	579332.2	13752.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-9 - PathAnnotationObject		E-9	E-9	Polygon	14417.1	8482.8	1214845.8	8537.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-12 - PathAnnotationObject		L-12	L-12	Polygon	18370.3	19695	1345228.1	5225.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-2 - PathAnnotationObject		E-2	E-2	Polygon	3601.4	7872	1207954.6	6914.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-1 - PathAnnotationObject		C-1	C-1	Geometry	2283.8	4660.4	975676.4	8602.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-5 - PathAnnotationObject		G-5	G-5	Geometry	8199.9	11431.2	879908.4	12129.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-11 - PathAnnotationObject		K-11	K-11	Polygon	16837.6	18100.8	1230030.2	5098.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-10 - PathAnnotationObject		F-10	F-10	Polygon	16081	10351.4	491114	8196.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-3 - PathAnnotationObject		I-3	I-3	Geometry	4812	14115.6	1146060.7	8970.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-9 - PathAnnotationObject		D-9	D-9	Polygon	14580.7	6842.1	1266256.4	4220.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-8 - PathAnnotationObject		E-8	E-8	Geometry	12796.5	8362.3	284010.9	7002.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-9 - PathAnnotationObject		H-9	H-9	Geometry	14121.5	13142.3	1194273.8	11716
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-5 - PathAnnotationObject		H-5	H-5	Geometry	7991.1	12711.4	1130668.1	14424.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-12 - PathAnnotationObject		J-12	J-12	Polygon	18523.6	16575	1102203.4	6029.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-4 - PathAnnotationObject		G-4	G-4	Polygon	6416.7	11168.8	896851.2	5518.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Geometry	12589.1	13171.4	1191398.9	5532.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-10 - PathAnnotationObject		H-10	H-10	Polygon	15732.1	13321.7	1242667.9	6502.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-3 - PathAnnotationObject		K-3	K-3	Geometry	4717.7	17021.3	624510.4	16050.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-5 - PathAnnotationObject		C-5	C-5	Polygon	8395.4	4971.2	717258.9	9293.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-9 - PathAnnotationObject		F-9	F-9	Polygon	14351.8	10013.7	1373328	4813.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-8 - PathAnnotationObject		G-8	G-8	Polygon	12638.9	11476.8	1183046.7	5575.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-1 - PathAnnotationObject		D-1	D-1	Polygon	2223.7	6290.6	1250599.8	5671.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-12 - PathAnnotationObject		D-12	D-12	Polygon	19233.1	7172.7	1415606.7	5454.2
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-6 - PathAnnotationObject		G-6	G-6	Geometry	9550.2	11396.3	739259.3	14692.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	H-3 - PathAnnotationObject		H-3	H-3	Geometry	4941.6	12465.3	711548.8	18759.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-7 - PathAnnotationObject		C-7	C-7	Polygon	11538.3	5271.2	1131698.6	5634.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-9 - PathAnnotationObject		I-9	I-9	Polygon	14000.8	14810.2	1288074.5	4786.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-13 - PathAnnotationObject		C-13	C-13	Geometry	20790.5	5864.3	1170057.6	12447.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-6 - PathAnnotationObject		F-6	F-6	Polygon	9831.3	9957.5	1315664.5	12585.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-12 - PathAnnotationObject		K-12	K-12	Polygon	18381.9	18029.6	1321539.4	4580.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-2 - PathAnnotationObject		K-2	K-2	Polygon	3165.8	17068.5	1083730.5	5394.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-6 - PathAnnotationObject		E-6	E-6	Geometry	10007.4	8380.9	258120.3	9891
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-6 - PathAnnotationObject		J-6	J-6	Polygon	9280.6	16098.5	1180779.5	5355.6
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-10 - PathAnnotationObject		D-10	D-10	Polygon	16096	7073.3	1429360.8	4963
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-7 - PathAnnotationObject		K-7	K-7	Geometry	10619.4	17685.6	884372.7	18455.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	E-7 - PathAnnotationObject		E-7	E-7	Polygon	11438.6	8367.4	1102711.5	4065.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	K-13 - PathAnnotationObject		K-13	K-13	Geometry	19835.2	18364.6	380576	17203.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-8 - PathAnnotationObject		I-8	I-8	Geometry	12446.6	14497.8	976486	7355.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-4 - PathAnnotationObject		D-4	D-4	Polygon	6887	6437.6	1226457.6	5276.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-4 - PathAnnotationObject		I-4	I-4	Polygon	6290	14201.3	1060354.7	5669.5
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	G-9 - PathAnnotationObject		G-9	G-9	Polygon	14212.8	11694.5	1196702.7	5000.4
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	J-10 - PathAnnotationObject		J-10	J-10	Polygon	15472.4	16465.4	1134837.2	4681.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	C-6 - PathAnnotationObject		C-6	C-6	Geometry	10048.4	5219.9	893729.2	8713.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	B-11 - PathAnnotationObject		B-11	B-11	Geometry	17748.2	3965.6	1108173	9739.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	B-1 - PathAnnotationObject		B-1	B-1	Geometry	2487.3	3184.1	422093.7	41282.7
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	L-2 - PathAnnotationObject		L-2	L-2	Polygon	3133.2	18561.7	1103995.5	10136
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-11 - PathAnnotationObject		D-11	D-11	Polygon	17660.5	7130.6	1369763	5076.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	A-8 - PathAnnotationObject		A-8	A-8	Geometry	13254.9	2115.4	731448.3	19499.1
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	D-13 - PathAnnotationObject		D-13	D-13	Polygon	20777.2	7397.7	1342147.8	4619.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	A-4 - PathAnnotationObject		A-4	A-4	Geometry	7248.8	1882.6	649143.8	8215
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-12 - PathAnnotationObject		I-12	I-12	Geometry	18520.7	14807.5	755220	9003.3
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	B-10 - PathAnnotationObject		B-10	B-10	Geometry	16512.5	4076.4	304779	10678.8
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	I-11 - PathAnnotationObject		I-11	I-11	Geometry	17099.9	14974.2	1023939.5	7624.9
TMA_1042_U4114_uv-GATA3_-_2016-10-25_12.01.30.ndpi	F-4 - PathAnnotationObject		F-4	F-4	Polygon	6636.6	9637.7	1274150.9	5177.8
