Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num overstaining	Area µm^2	Perimeter µm
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-8 - PathAnnotationObject		E-8	E-8	Geometry	12791.3	7970.3	10489	0	952065.8	14890.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-9 - PathAnnotationObject		D-9	D-9	Polygon	14392.9	6350.1	6641	7	1224603.7	5763.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-8 - PathAnnotationObject		D-8	D-8	Polygon	12861.3	6353.4	7233	0	1211042.9	5954.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-9 - PathAnnotationObject		C-9	C-9	Polygon	14373.1	4879.1	6858	0	1246421.8	5627.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-2 - PathAnnotationObject		A-2	A-2	Polygon	3920.9	1577.7	1303	0	1155816.2	6724.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-3 - PathAnnotationObject		I-3	I-3	Polygon	5280.9	14071.9	7102	0	1045338.9	8236.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-3 - PathAnnotationObject		D-3	D-3	Geometry	5487.4	6245.5	6484	0	936650.3	7982.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-12 - PathAnnotationObject		K-12	K-12	Polygon	18551.9	17339.4	8625	0	1177591.4	4668.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-10 - PathAnnotationObject		I-10	I-10	Geometry	15666	14224.6	6952	0	1004725.8	17007.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-11 - PathAnnotationObject		K-11	K-11	Polygon	17080.5	17476.7	5316	0	1108697.7	6883
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-9 - PathAnnotationObject		L-9	L-9	Polygon	14198.5	18921.4	6492	0	1193532.8	5793.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-2 - PathAnnotationObject		F-2	F-2	Polygon	3873.7	9386.9	2224	0	1023466.7	5222.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-12 - PathAnnotationObject		E-12	E-12	Polygon	18905	8192.2	9279	0	1343744.1	4180.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-12 - PathAnnotationObject		B-12	B-12	Polygon	18940.1	3620.9	3535	0	1160510.8	4258.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-9 - PathAnnotationObject		J-9	J-9	Polygon	14209.9	15849.5	11423	0	1226794.3	10482.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-11 - PathAnnotationObject		J-11	J-11	Polygon	17122.3	15813.8	6189	0	1108943.2	4507.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-11 - PathAnnotationObject		E-11	E-11	Polygon	17323.3	8115.4	11661	0	1321293.3	4235.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-6 - PathAnnotationObject		B-6	B-6	Geometry	9917.8	3220.3	3815	0	663711.8	29010.3
