Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	H-9 - PathAnnotationObject		H-9	H-9	Geometry	14031.9	13011.5	1171271	15755.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	C-7 - PathAnnotationObject		C-7	C-7	Polygon	10947.4	5239	1139359.2	6881
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-11 - PathAnnotationObject		J-11	J-11	Geometry	17012	16147.8	743173.1	9114.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	H-4 - PathAnnotationObject		H-4	H-4	Polygon	6300.9	12993.8	1369837	5368.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-3 - PathAnnotationObject		F-3	F-3	Geometry	4625.5	9855.1	820995.1	12185.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-2 - PathAnnotationObject		J-2	J-2	Geometry	3251.9	16018.7	771748.4	17290.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-4 - PathAnnotationObject		K-4	K-4	Geometry	6265.2	17720.7	961423.1	6808.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-7 - PathAnnotationObject		I-7	I-7	Polygon	10915.1	14712.8	889698.1	8441.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Geometry	12492.5	13119.3	1199211.2	7201.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	D-6 - PathAnnotationObject		D-6	D-6	Polygon	9462.4	6674.1	1069048.3	6796.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	D-1 - PathAnnotationObject		D-1	D-1	Polygon	1707.7	6777.3	1256876.9	7618.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-7 - PathAnnotationObject		E-7	E-7	Polygon	11041.8	8342.4	1127568.4	4034.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-10 - PathAnnotationObject		J-10	J-10	Polygon	15608.3	16290.1	1124872.4	7163.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	B-6 - PathAnnotationObject		B-6	B-6	Geometry	9395.3	3714.7	994112.6	14689.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-4 - PathAnnotationObject		E-4	E-4	Geometry	6400.6	8221.3	869402.1	10216.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-7 - PathAnnotationObject		K-7	K-7	Geometry	10752	17788.6	919079.9	15906.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-3 - PathAnnotationObject		J-3	J-3	Geometry	4720.3	16015.4	894480.8	19677.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-11 - PathAnnotationObject		I-11	I-11	Geometry	17165.6	14694.6	1070778.4	8428.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Geometry	3173.1	12968.4	841490.6	14604.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-6 - PathAnnotationObject		F-6	F-6	Geometry	9574.7	10053.6	1265127.8	16877.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	B-10 - PathAnnotationObject		B-10	B-10	Geometry	15861.4	3726.2	320928.7	9952.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	L-13 - PathAnnotationObject		L-13	L-13	Geometry	20321.3	19418.5	764894.9	6248.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	C-2 - PathAnnotationObject		C-2	C-2	Geometry	3028.8	5341.8	491146.1	9662.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-6 - PathAnnotationObject		G-6	G-6	Geometry	9337.7	11513.1	711752.9	16430.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	B-11 - PathAnnotationObject		B-11	B-11	Polygon	17106.8	3593.6	1126509.9	8062.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-7 - PathAnnotationObject		G-7	G-7	Polygon	10894.4	11573	1027136	6314.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-3 - PathAnnotationObject		K-3	K-3	Geometry	4749.6	17376.7	590010.1	19174.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	A-11 - PathAnnotationObject		A-11	A-11	Geometry	17036.1	2438.4	429131.7	6020.8
