Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-1 - PathAnnotationObject		C-1	C-1	Geometry	1213.3	5018.3	1060932.9	10341.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-13 - PathAnnotationObject		F-13	F-13	Geometry	18957.1	9642.7	1083340.1	11270.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-11 - PathAnnotationObject		A-11	A-11	Geometry	15902.1	1766.7	1035487.4	6986.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-5 - PathAnnotationObject		D-5	D-5	Geometry	7232.1	6536.3	1251347.7	6449.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-8 - PathAnnotationObject		K-8	K-8	Geometry	11604.3	17471.9	990100.4	23258.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-2 - PathAnnotationObject		C-2	C-2	Geometry	2705.4	5029	1230578.4	6030.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-11 - PathAnnotationObject		J-11	J-11	Polygon	16072.8	15828.6	1102475.1	4489.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-10 - PathAnnotationObject		G-10	G-10	Geometry	14535.8	11067.5	1133848.8	10116.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-7 - PathAnnotationObject		E-7	E-7	Polygon	10138	8033	1086268.7	5522.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-4 - PathAnnotationObject		D-4	D-4	Polygon	5713	6522.6	1160795.8	6499.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-6 - PathAnnotationObject		G-6	G-6	Geometry	8604	11229	1061348.1	17133.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-5 - PathAnnotationObject		G-5	G-5	Geometry	7371.1	11303.2	786490	10891
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-10 - PathAnnotationObject		A-10	A-10	Polygon	14453.2	1691.1	1345668.5	5185.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-9 - PathAnnotationObject		H-9	H-9	Polygon	13105.6	12662.8	1190812.3	9301.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-5 - PathAnnotationObject		K-5	K-5	Polygon	7508	17587.3	1237786.2	5824.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-3 - PathAnnotationObject		D-3	D-3	Polygon	4258.5	6549.9	940335.6	5732.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-7 - PathAnnotationObject		H-7	H-7	Polygon	10268	12718.3	1381524.7	5350.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-10 - PathAnnotationObject		B-10	B-10	Polygon	14422.5	3353.1	1221854	6838.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-11 - PathAnnotationObject		B-11	B-11	Polygon	15911	3243	1212762.6	4981
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-11 - PathAnnotationObject		H-11	H-11	Geometry	16043.5	12660.5	1102062.6	7862.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-12 - PathAnnotationObject		K-12	K-12	Polygon	17486.7	17357.6	1166532	5379.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-6 - PathAnnotationObject		I-6	I-6	Geometry	8767.7	14303.6	1014087.9	6232.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	K-11 - PathAnnotationObject		K-11	K-11	Polygon	16048.9	17494.8	1112540.6	6091.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-9 - PathAnnotationObject		C-9	C-9	Polygon	13000	4911.2	1227164.2	5389.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-12 - PathAnnotationObject		D-12	D-12	Polygon	17607.2	6421.5	1391688.5	5037.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-9 - PathAnnotationObject		L-9	L-9	Polygon	13283.4	18963.2	1104471	5510.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	L-10 - PathAnnotationObject		L-10	L-10	Geometry	14747.4	18987.2	1024755.2	5962.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	D-1 - PathAnnotationObject		D-1	D-1	Polygon	1209.9	6581	1229460.7	5515.8
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-10 - PathAnnotationObject		I-10	I-10	Geometry	14604.5	14278.9	1149707.7	11328.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	17465	9694	1149551.9	4809.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-3 - PathAnnotationObject		E-3	E-3	Geometry	4080.8	8157.8	1184800.8	7660.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	B-6 - PathAnnotationObject		B-6	B-6	Geometry	8562.3	3410.2	279067.8	41971.3
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-9 - PathAnnotationObject		E-9	E-9	Geometry	13031.2	8024.8	1182390	10398.2
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	J-7 - PathAnnotationObject		J-7	J-7	Polygon	10282.7	15911.9	1301674.1	5360.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-1 - PathAnnotationObject		A-1	A-1	Polygon	1260.1	1906.2	1107276.9	6106.2
