Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-8 - PathAnnotationObject		B-8	B-8	Polygon	12129.5	3202.5	1352606	5317
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-11 - PathAnnotationObject		D-11	D-11	Polygon	16855.8	6197.2	1365989.7	6226.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-13 - PathAnnotationObject		C-13	C-13	Geometry	19893.1	4707.2	1140590.8	13396
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-9 - PathAnnotationObject		D-9	D-9	Polygon	13766.3	6134.8	1262453.5	4228.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-8 - PathAnnotationObject		A-8	A-8	Geometry	12111.4	1564.2	711525.5	18959.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-12 - PathAnnotationObject		H-12	H-12	Polygon	18405.8	12532.6	944278.6	17833.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-8 - PathAnnotationObject		I-8	I-8	Geometry	12242.4	13931.2	957423.1	8997.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-3 - PathAnnotationObject		C-3	C-3	Geometry	4468.7	4844.4	680502.9	19351.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-9 - PathAnnotationObject		F-9	F-9	Polygon	13782.9	9309.5	1363332.5	6759.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-13 - PathAnnotationObject		L-13	L-13	Geometry	20195.9	18715.3	737435.9	8630
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-7 - PathAnnotationObject		I-7	I-7	Polygon	10740.9	14187.2	852228.1	8668.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-7 - PathAnnotationObject		J-7	J-7	Polygon	10713.1	15598.5	1364701.8	6694.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-4 - PathAnnotationObject		D-4	D-4	Polygon	6096.2	6322.4	1215862.7	6325.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-12 - PathAnnotationObject		A-12	A-12	Polygon	18170.5	1523.6	1395344.4	6237
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-4 - PathAnnotationObject		A-4	A-4	Polygon	6143.8	1804.3	571554.2	10106.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-11 - PathAnnotationObject		I-11	I-11	Polygon	16918.1	14061.3	963815.2	10704.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-3 - PathAnnotationObject		J-3	J-3	Polygon	4674.7	15590	1032344.2	4180.7
