Image,TMA core,Area µm^2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-13,1100170.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-12,1155816.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-11,822452.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-10,681835.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-9,697233.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-8,1252579.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-7,493252.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-6,704576.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-4,1300794
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-3,975209.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-2,1317537.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,L-1,957209.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-13,490276.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-12,352047.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-11,604283.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-10,319167.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-9,448715.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-8,663711.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-7,1001302.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-6,1352292.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-5,1292245.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-4,1168812.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-3,1187479.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-2,1160510.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,K-1,460831.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-13,1068601.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-12,1197290.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-11,1144028.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-10,960773.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-9,1153696
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-8,897611.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-6,1128482.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-5,1246421.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-4,729752.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,J-3,902714
