Image,TMA core,Area µm^2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-13,1189434.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-13,2491.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-10,7733
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-10,3992.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-10,4705.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-10,643772.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-9,54249.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-9,7584.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-9,9870.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-9,583280.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-8,1363078.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,33326.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,16898.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,2093.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,47760.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,15937.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,27855.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,261429.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,27053
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,63230.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,54080.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,73913.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,73112.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,46451.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-6,2071.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-4,1351205.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-3,4379.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-3,447307.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-2,1408194.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,L-1,1116754.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-13,2086.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-13,7665.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-13,678438.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-13,23956.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-8,1009507.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-8,2024.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-7,10945.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-7,583994.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-6,1367255.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-5,1347759.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-4,5070.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-4,400762.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-3,7494.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-3,1145227.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-3,2241.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-2,728328.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-1,3328.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-1,2262.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,K-1,899633.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,2479.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,3407.2
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,903680.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,34262.8
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-13,2712.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,9101
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,17572.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,143039.4
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,17512.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-12,374653.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,9553
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,1024538.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,2270.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,16739.5
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-11,14973.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,2439.1
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,28394.6
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,26329.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,695708.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-10,91364.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,4994
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,8192
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,649648.7
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,4335
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-9,5158.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-8,2609.9
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-8,10712.3
TMA_1042_U53_CK5-6_-_2016-10-25_11.37.43.ndpi,J-8,4374.2
