"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,18181,18551.6,18180.744041465,18556.593444225
"2",2,19025.6,18536.7,19028.0818822467,18541.0405368923
"3",3,18127.1,18623.7,18126.4569374037,18628.658474614
"4",4,18407.6,18506.9,18406.1268934349,18511.6780704314
"5",5,18105.6,18654.2,18104.9494691584,18659.1575003403
"6",6,18389.8,18775.5,18393.5680897565,18778.7865634921
"7",7,18746,18949.4,18742.7797701938,18953.2249339858
"8",8,18999.7,18502.4,19001.8045986077,18506.9354894665
"9",9,18489.7,18935.9,18493.8576847979,18938.6773471373
"10",10,18401.4,18419.2,18401.0367845659,18424.1867900044
"11",11,18969.1,18457.5,18968.6472583058,18462.4794603079
"12",12,18582.9,18366.2,18581.6151790764,18371.032104634
"13",13,18766.5,18768.9,18770.0808185556,18772.3896616558
"14",14,18726.9,19017.9,18728.7126872931,19022.5598460036
"15",15,18649.5,18604.6,18650.4398705994,18609.5108699083
"16",16,18051.5,18864.8,18052.4194994599,18869.7147248899
"17",17,18917.7,18776.7,18921.5790952811,18779.854777298
"18",18,18758,18762.3,18755.3178504105,18766.5197243487
"19",19,18740,18668.9,18737.9004664025,18673.4378363427
"20",20,18724.5,19030.9,18726.0586875826,19035.650841296
"21",21,18114.9,18746,18110.3963292731,18748.1718540429
"22",22,18813.6,18736.1,18812.5560161712,18740.9897952682
"23",23,18684.7,19511.2,18685.2693421599,19516.1674791902
"24",24,18982.7,18759.9,18982.277148904,18764.8820876097
"25",25,18780,19257.4,18778.5220953235,19262.1765885072
"26",26,18819.2,18885.3,18814.2634870023,18884.5057459958
"27",27,18444.6,19382,18444.075068422,19386.9723683329
"28",28,18758.4,19045.5,18759.6830837443,19050.3325662029
"29",29,18753.6,19498.8,18753.3084694111,19503.791493756
"30",30,18629.3,18941.9,18627.4773027258,18946.5559397168
"31",31,18315.8,18877.4,18316.2186379462,18882.3824434036
"32",32,19126.6,18871.7,19125.3089983157,18876.5304569816
"33",33,18556.4,18741.2,18559.6632910975,18744.9882622946
"34",34,18156.8,19006.2,18153.8187140245,19010.2139673557
"35",35,18245,18621.1,18243.0941933641,18625.7225427058
"36",36,18450.6,19391,18447.1116308609,19394.582077714
"37",37,19186.3,18794.7,19187.6567764252,18799.5123962568
"38",38,19198.6,19150.4,19199.6069792732,19155.2975496673
"39",39,18284.1,18819.4,18281.8124608522,18823.8460279629
"40",40,18663.7,18891.8,18665.1437848984,18896.5870121336
"41",41,18720.5,18516.3,18716.954133422,18519.8251709477
"42",42,18638.9,18781.5,18642.566552718,18784.8994692477
"43",43,19168.7,18898.2,19170.1637580247,18902.9809426314
"44",44,18828.8,18521.1,18831.8974347885,18525.0250347427
"45",45,18120.7,18768.3,18123.733488955,18772.2746628486
"46",46,18075.7,18729.7,18076.5288879336,18734.6308158345
"47",47,18051.9,18763.5,18051.6798319813,18768.4951502524
"48",48,18608.6,18664.1,18608.5748784127,18669.0999368902
"49",49,18414.8,18668.3,18414.9655430219,18673.2972587994
"50",50,18433.4,19231.3,18431.9378028402,19236.0814202352
"51",51,19035.5,19312.4,19036.3657228662,19317.3244820965
"52",52,18887.7,18708.4,18886.1335701789,18713.1482941796
"53",53,18426.5,18454.1,18427.3469754662,18459.0277411214
"54",54,18859,18772.9,18863.8368392782,18774.1668803406
"55",55,18155.1,18969.1,18155.4344778805,18974.0887999105
"56",56,18451.9,18926,18454.9218498811,18929.983518959
"57",57,18516.1,19334.1,18516.2278021234,19339.0983663949
"58",58,19165.8,18880.6,19167.4983536794,18885.3027220606
"59",59,18955,19194.1,18956.0674739413,19198.984721014
"60",60,18585.4,18389.3,18586.6231809714,18394.1480747015
"61",61,19139.7,18778,19134.9310262928,18779.5022948378
"62",62,18281.9,18847.5,18277.050070148,18848.7158044376
"63",63,18162.3,18860.9,18158.4095912109,18864.0408150939
"64",64,18290.7,18674.4,18289.6667991293,18679.2920850321
"65",65,18939.7,18924.1,18942.3052888094,18928.3676070836
"66",66,18481.6,18953.2,18477.7749978047,18956.4201487864
"67",67,18709,18616.2,18712.1113310902,18620.1140284679
"68",68,18527.2,18803,18529.4905233057,18807.4444913079
"69",69,18174.2,18745.7,18170.4827616189,18742.3560294831
"70",70,19030.3,18867.3,19032.2639390293,18871.8981456577
"71",71,18186.7,18818,18190.0398160707,18821.720971461
"72",72,18815.7,18912.3,18817.4058128845,18917.0000215322
"73",73,18164.9,18909.1,18166.1672136787,18913.9367519569
"74",74,18011.8,18991.9,18011.0218443209,18996.839076203
"75",75,18510.8,18417.8,18511.8477594264,18422.6889876441
"76",76,18742.1,18905.7,18744.4053632448,18910.1368119533
"77",77,18251.7,18943.3,18253.1043284476,18948.0987354179
"78",78,18316.8,18789.2,18311.9286418634,18788.073114955
"79",79,18848.3,18781.1,18849.8726157355,18785.8462490188
"80",80,18615,18986,18614.9956080581,18990.9999980711
"81",81,18467.8,18525,18463.2056497959,18526.9728016125
"82",82,18954.8,18441.5,18957.5648040994,18445.6660362807
"83",83,19214.6,18861.7,19212.2111838225,18866.0924432006
"84",84,18753.7,18627.7,18758.2215181042,18629.8344493513
"85",85,18594.3,18845.1,18593.370105309,18850.0127686556
"86",86,18455.4,18469.9,18458.3540659479,18473.9340419402
"87",87,18700.5,19451.2,18702.0480307308,19455.9543244375
"88",88,18909.6,18945.7,18908.2342746306,18940.8901357384
"89",89,18087.2,18937.1,18086.6672492845,18942.0715366513
"90",90,18320.5,18762.5,18322.5534656009,18767.0588681738
"91",91,18638.6,18492.6,18634.9646843576,18496.0328530671
"92",92,18287.2,18898.8,18288.8803285839,18903.5091926962
"93",93,19107.2,19314.2,19107.7518888657,19319.1694485288
"94",94,18834.1,18804.8,18838.6541316294,18806.8639489099
"95",95,18957.2,18979,18956.7070535967,18983.9756410485
"96",96,18666.6,18380,18668.2843958971,18384.7077394216
"97",97,18013.4,18929.5,18011.4345678011,18934.0975076151
"98",98,18173.6,18561.8,18175.2961736667,18566.5035087852
"99",99,18802,18993.1,18797.0419705708,18993.7464860243
"100",100,19201.8,18773.4,19203.5791447469,18778.0727555007
"101",101,18037.3,18903.9,18036.2429853508,18908.7869949899
"102",102,19096.7,19152.9,19100.5534526769,19156.0860480955
"103",103,18658.1,18404.1,18658.9580798775,18409.0258196195
"104",104,18017.4,19113.1,18016.1047500045,19117.9293195638
"105",105,18778.9,19234.1,18776.4427250824,19238.454514896
"106",106,18058.7,18788.1,18061.8184691861,18792.0083436306
"107",107,19076.8,19163.6,19081.4197400009,19165.5125904748
"108",108,18081.6,19124.2,18085.6157678079,19127.1788603379
"109",109,19143.1,19247,19141.8166106192,19251.8324850437
"110",110,18406.4,18963.5,18408.9778048273,18967.7842644961
"111",111,18771.9,18944.2,18775.2161575079,18947.9420715363
"112",112,18795.7,18656.1,18798.5774207779,18660.1890646445
"113",113,18328.9,18701.6,18331.2166180837,18706.0309457968
"114",114,19057.9,19198.4,19058.1774323209,19203.3922971974
"115",115,18398.5,18856.5,18398.9604207432,18861.4787561438
