"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"938497",1,"A-7",10857.6,18790.7,55.122,26.8256,0.9626,1,9.3632,7.5466,75.6257902237004
"938498",2,"A-7",11520.9,18751.7,43.8362,24.3929,0.9258,1,8.9121,6.289,88.42721824494
"938499",3,"A-7",10929.1,19136.9,51.128,25.8652,0.9604,1,9.0558,7.223,88.6149523484379
"938500",4,"A-7",11577.3,18913.2,43.9227,23.9656,0.961,1,8.0176,7.1893,87.6701339527987
"938501",5,"A-7",11391.9,19506.7,58.1387,27.4744,0.9679,1,9.4389,7.8184,107.031832328812
"938502",6,"A-7",11545.3,18806.6,53.3094,26.4023,0.961,1,9.2343,7.6691,58.432558598919
"938503",7,"A-7",10769.9,18763.8,60.2568,27.798,0.9799,1,9.246,8.3672,89.5118979754637
"938504",8,"A-7",11221.6,19274.5,65.0202,28.865,0.9807,1,9.793,8.5637,88.8969245171808
"938505",9,"A-7",10981.7,18892,50.3489,25.4693,0.9754,1,8.5258,7.5353,84.6051896839155
"938506",10,"A-7",10830.7,19095.4,65.074,29.6698,0.9289,1,10.9583,7.3109,103.663439341973
"938507",11,"A-7",11779.9,18942.3,51.6367,25.8863,0.9683,1,8.6777,7.7517,355.699767481407
"938508",12,"A-7",11320.4,19246.5,42.4955,23.9618,0.9301,1,8.7492,6.3083,80.8939492097871
"938509",13,"A-7",10731.2,18905.5,61.2053,28.5419,0.9441,1,10.4844,7.8791,85.8099854329867
"938510",14,"A-7",11665.2,18995.6,32.9842,20.9187,0.9472,1,7.3824,5.8853,104.248803298541
"938511",15,"A-7",11180.1,19185,32.7231,20.8087,0.9497,1,7.0785,6.2373,92.0415456453121
"938512",16,"A-7",11358,18881.2,85.6321,33.5803,0.9543,1,11.8923,9.0783,120.32776204148
"938513",17,"A-7",11034.6,19257.7,40.1868,23.0438,0.951,1,8.1406,6.5742,82.6017265399919
"938514",18,"A-7",11200.2,18364.5,88.2835,34.1914,0.949,1,12.5002,9.2139,168.474259321665
"938515",19,"A-7",11596,19409.2,59.4728,27.9745,0.955,1,9.8809,7.8958,119.007160301346
"938516",20,"A-7",11135.2,19144.4,76.9113,31.5926,0.9683,1,11.0221,9.0947,72.1677262628441
"938517",21,"A-7",11263.1,18619.2,60.0779,28.8912,0.9045,1,10.4903,7.8727,43.1209390982124
"938518",22,"A-7",11130.2,19220.6,57.6145,27.6234,0.9488,1,9.974,7.477,75.0403526938574
"938519",23,"A-7",11175.2,19066.5,43.156,23.9489,0.9455,1,8.5177,6.4417,100.257503294959
"938520",24,"A-7",11092.8,18918.5,95.1049,35.5691,0.9446,1,13.0276,9.4995,62.7013191802819
"938521",25,"A-7",11368.2,18759.5,48.2495,25.2071,0.9542,1,8.9239,7.0591,70.6307538021216
"938522",26,"A-7",11545.5,18826.2,54.2775,26.8854,0.9436,1,9.8612,7.1443,56.7575011962221
"938523",27,"A-7",11099.9,18547.4,101.8445,37.1397,0.9278,1,14.0242,9.5812,52.7301056552027
"938524",28,"A-7",11684,18628.1,68.8669,29.9784,0.963,1,10.5411,8.5472,84.0117737883895
"938525",29,"A-7",11320.4,19329.4,56.3427,26.874,0.9804,1,8.8984,8.0709,160.933626118023
"938526",30,"A-7",11180,19353.9,42.4633,23.8298,0.9397,1,8.6072,6.2857,106.430992337831
"938527",31,"A-7",11800.1,18691,52.1907,26.5609,0.9296,1,9.7392,6.9894,71.3449172139326
"938528",32,"A-7",11125.1,18598.5,40.3962,23.0259,0.9575,1,8.0762,6.3432,91.5090489537006
"938529",33,"A-7",11468.8,18922.7,51.2361,26.6165,0.9088,1,9.8975,6.6788,61.1208432822529
"938530",34,"A-7",11513.4,19388.3,47.5107,25.192,0.9408,1,8.7221,7.2607,108.025655521372
"938531",35,"A-7",10847.5,18686.7,61.6208,28.7293,0.9382,1,10.5669,7.7347,128.395128151681
"938532",36,"A-7",11437.5,19430.6,35.5326,21.4239,0.9728,1,7.1104,6.3988,86.0348382716774
"938533",37,"A-7",10920.5,19091.5,36.0999,22.0175,0.9358,1,8.0711,5.7574,100.507806895183
"938534",38,"A-7",11182.5,18799.8,42.9188,23.6767,0.9621,1,8.0796,6.7581,22.3347877932216
"938535",39,"A-7",11112,18884.4,57.6013,27.3869,0.9651,1,9.5981,7.6741,58.4454238513484
"938536",40,"A-7",11202.4,18828.9,69.8259,30.2139,0.9612,1,10.7925,8.4613,58.6930704441873
"938537",41,"A-7",11477,19306,45.3927,24.369,0.9606,1,8.1958,7.2836,34.653821065765
"938538",42,"A-7",11157.7,19258.4,41.0981,23.1537,0.9634,1,7.9456,6.6814,84.1227163099249
"938539",43,"A-7",11142.8,18476.6,46.1018,24.6316,0.9549,1,8.5447,7.0216,104.801163501553
"938540",44,"A-7",11362.1,18604.6,118.5305,38.9144,0.9836,1,12.755,12.0987,87.4205657570186
"938541",45,"A-7",11345,18604.6,88.6721,34.1681,0.9545,1,12.0681,9.0143,90.1841012962068
"938542",46,"A-7",11278.4,18955.2,88.2469,33.8956,0.9652,1,11.9931,9.8203,68.1683464352703
"938543",47,"A-7",11062.9,18875.5,39.2971,23.22,0.9159,1,8.5517,5.9142,91.9652445020758
"938544",48,"A-7",10959.6,18866.2,50.6959,25.7721,0.9591,1,8.7776,7.3729,25.7419714683697
"938545",49,"A-7",11061.6,19182.9,40.535,22.9665,0.9657,1,7.5289,7.116,90.7146434732426
"938546",50,"A-7",11016.1,19071.6,56.1766,26.9807,0.9697,1,8.977,8.2355,113.921706251858
"938547",51,"A-7",11233.7,19461.6,51.4583,26.3208,0.9334,1,9.2023,7.2869,103.305965417681
"938548",52,"A-7",10913.4,18842.1,45.6876,24.5453,0.953,1,8.5829,6.854,104.595496791143
"938549",53,"A-7",11112.3,19240.2,44.682,24.1007,0.9667,1,8.0872,7.0442,54.7983117021035
