"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,17114.4,16415.1,17109.414432032,16415.4796209116
"2",2,17078.2,16416.2,17083.1228671549,16417.074859403
"3",3,17090.3,16414.7,17095.2762874938,16414.2136228018
"4",4,16711.6,15605.9,16711.3524769978,15610.893869478
"5",5,16786.4,15823,16790.3866890734,15819.9823336446
"6",6,16634.8,15917.7,16634.3091541384,15922.6758487055
"7",7,17209.1,15628.9,17212.3798811443,15632.6739077465
"8",8,16746.1,15662.6,16745.6759794602,15667.5819882158
"9",9,16759,15862.8,16761.5257442036,15867.1151612042
"10",10,17413.3,15908.8,17413.8853067948,15913.7656234207
"11",11,17298,16089.7,17298.7537014362,16094.6428669965
"12",12,16939.4,15793.1,16938.8055548203,15798.0645377356
"13",13,16992.8,15808.3,16993.8248827048,15813.1938344314
"14",14,16949.5,15891.9,16951.5417666892,15896.4641197165
"15",15,16571.5,15808.9,16567.0854195956,15811.247654117
"16",16,16733.3,16246.4,16734.79963296,16251.1698114203
"17",17,16720.9,15623,16719.5970485588,15627.8272474084
"18",18,16887.3,15819.5,16890.8201993139,15823.0508022742
"19",19,16824.8,15475.9,16824.9824573829,15480.8966698213
"20",20,16797.2,15525.6,16799.8381087956,15529.8473970832
"21",21,17436,15913,17438.1882048206,15917.4957490658
"22",22,16718.4,16247.9,16720.6026201336,16252.3887041055
"23",23,16743.6,15705.5,16742.723760392,15710.4226216744
"24",24,16730,15953.7,16730.5328975008,15958.6715209196
"25",25,16829.9,16182.9,16832.3607014511,16187.2525795074
"26",26,17386.4,16220.8,17388.8618795291,16225.1519132786
"27",27,16879.8,15821.3,16880.6680751656,15826.2240679836
"28",28,16938.7,16306.6,16938.0251946275,16311.5542545059
"29",29,17283.2,15756.1,17287.4269571873,15753.4292635966
"30",30,17435.3,15897.3,17431.8916344547,15900.9582843397
"31",31,17167.3,15914,17165.2002804741,15918.5377503141
"32",32,16857.8,15880.9,16859.743929049,15885.5066408426
"33",33,17121.2,15521.9,17120.4266527658,15526.8398313792
"34",34,16783.8,16298.6,16782.620880553,16303.4589790419
"35",35,16551.6,15858.3,16556.2662383924,15856.5038320608
