"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"819106",1,"C-5",14380.1,15803.5,36.919,22.0084,0.9578,1,7.5123,6.3613,44.176899305038
"819107",2,"C-5",14509.2,16274,33.7672,21.1651,0.9472,1,7.2737,6.122,45.4465073443973
"819108",3,"C-5",14559.3,15287.5,41.6637,23.3967,0.9564,1,7.9258,7.0151,116.133912269672
"819109",4,"C-5",13724.1,15798.3,27.9711,19.2413,0.9494,1,6.4572,5.7494,242.292017391255
"819110",5,"C-5",14502.6,15307.2,42.0209,23.3251,0.9706,1,7.805,6.8504,64.7075980685947
"819111",6,"C-5",14615.8,15676,37.6924,22.1398,0.9663,1,7.3597,6.7005,46.1387102719899
"819112",7,"C-5",14419.7,16194.2,42.6746,23.6079,0.9622,1,8.0383,6.9808,44.4864069862201
"819113",8,"C-5",14579,15385,38.1033,22.4242,0.9522,1,7.5806,6.7811,60.0573841080773
"819114",9,"C-5",14217.4,15179.4,34.7201,21.3607,0.9562,1,7.1656,6.4074,110.460927386454
"819115",10,"C-5",13956,16065.8,36.7337,22.061,0.9485,1,7.7384,6.1359,122.133309683193
"819116",11,"C-5",14219.7,15565.5,44.7827,24.3279,0.9508,1,8.7421,6.8608,69.5183843060488
"819117",12,"C-5",14162.9,16329.6,33.2087,20.8576,0.9593,1,7.0666,6.2921,85.1751009298516
"819118",13,"C-5",14156.7,15190.8,41.1874,23.1975,0.9618,1,7.8422,6.6603,18.2302599982866
"819119",14,"C-5",14257.9,16379.6,37.5819,22.2667,0.9525,1,7.7779,6.1977,98.9345303906448
"819120",15,"C-5",14161.1,15574.7,34.4304,21.2193,0.9609,1,7.2024,6.2266,123.921461335132
"819121",16,"C-5",14156.9,16138.1,43.8659,23.8953,0.9654,1,8.1229,6.8144,104.711576065165
