"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"677110",1,"D-13",2495.2,13710.7,40.5378,22.9824,0.9644,1,7.7823,6.6635,56.3063934631195
"677111",2,"D-13",2323.6,13408.2,36.8263,21.9886,0.9571,1,7.5361,6.381,86.2875030531666
"677112",3,"D-13",2151.7,13543.5,33.3592,21.0228,0.9485,1,7.0701,6.2314,239.108060542774
"677113",4,"D-13",2640.4,13781.9,32.6459,20.7229,0.9553,1,6.9106,6.1619,37.1884138129408
"677114",5,"D-13",2765.8,14071.9,35.9354,21.753,0.9543,1,7.3861,6.4629,98.9988030362172
"677115",6,"D-13",2319.1,13764.5,35.9435,21.7343,0.9562,1,7.711,6.1334,74.745480166934
"677116",7,"D-13",2460.5,14121.8,35.8305,21.6782,0.9581,1,7.4043,6.3903,86.4503928678029
"677117",8,"D-13",1956.5,13773.5,41.6737,23.2946,0.9651,1,7.7554,6.7662,132.00647940617
"677118",9,"D-13",2443.4,13590.4,30.9153,20.1689,0.955,1,6.7925,6.0147,8.78629424898054
"677119",10,"D-13",2393,13376.3,37.2388,22.2346,0.9466,1,8.1276,6.1628,25.2293642631068
"677120",11,"D-13",2598.3,13935,39.5111,22.7533,0.959,1,7.6716,6.869,63.9499970930918
"677121",12,"D-13",2449.8,14139.3,28.6695,19.4696,0.9504,1,6.5805,5.9294,110.156675856228
"677122",13,"D-13",2605.5,13466.4,98.8356,37.0365,0.9054,0.9939,13.6072,10.0772,56.3004994950382
"677123",14,"D-13",2416.1,13549.7,38.9101,22.5102,0.965,1,7.5066,6.7718,117.241713675538
"677124",15,"D-13",2502.7,13634.5,32.9826,20.8162,0.9565,1,7.1428,6.0658,106.849704587669
"677125",16,"D-13",2653.2,13621,31.0417,20.2556,0.9508,1,6.8038,6.0347,231.160479333067
"677126",17,"D-13",2155.3,14358.3,28.8314,19.4731,0.9554,1,6.7717,5.4815,95.05747166275
"677127",18,"D-13",2630.3,13610.2,37.5591,22.1701,0.9603,1,7.4012,6.5047,58.3169607349569
"677128",19,"D-13",2307.8,13644.5,29.2747,19.6134,0.9563,1,6.5022,5.9539,71.7243703771907
"677129",20,"D-13",2577.2,14149.3,39.2325,22.6397,0.9619,1,7.7371,6.5117,98.2488725911107
"677130",21,"D-13",2795.2,13719.2,30.5811,20.0829,0.9528,1,7.052,5.6704,62.9586004162392
"677131",22,"D-13",2432.2,13869.1,37.5543,22.1032,0.966,1,7.4552,6.5463,113.508204851619
"677132",23,"D-13",2677,14052.1,31.1305,20.4543,0.935,1,7.2913,5.4704,92.3595558333458
"677133",24,"D-13",2255.3,13432.1,38.54,22.4622,0.9599,1,7.7138,6.5983,111.225833762379
"677134",25,"D-13",1870.3,13767.6,30.6528,20.0447,0.9587,1,6.6517,5.998,78.6030956631183
"677135",26,"D-13",2297.1,14075.5,38.8045,22.5341,0.9603,1,7.5496,6.7302,126.165107545173
"677136",27,"D-13",2522,13949.4,24.2886,17.8751,0.9552,1,6.0286,5.3031,237.485754334097
"677137",28,"D-13",2353.3,13468.5,27.7875,19.1993,0.9473,1,6.5363,5.6819,243.036797864342
"677138",29,"D-13",2372.5,13599.6,37.3683,22.1311,0.9588,1,7.8044,6.2246,70.722827577069
"677139",30,"D-13",2305,13381,37.2189,22.0479,0.9621,1,7.5672,6.3917,22.6102089964378
"677140",31,"D-13",2038.5,13994.5,26.1495,18.5702,0.9529,1,6.3516,5.452,81.53522580021
"677141",32,"D-13",1757.3,13963.3,30.6106,20.1448,0.9479,1,7.1128,5.7386,257.52737133613
"677142",33,"D-13",2598.7,13473,30.0028,19.9552,0.9468,1,6.7871,5.9369,91.6418946677552
"677143",34,"D-13",2050.8,13622.3,28.6372,19.4329,0.9529,1,6.4251,5.8749,34.3713859097738
"677144",35,"D-13",1914.5,13688.6,27.0652,18.8552,0.9567,1,6.2196,5.7868,80.7413961953097
"677145",36,"D-13",2080.2,13480.9,43.6628,24.003,0.9523,1,8.3684,6.7373,16.6344987315019
"677146",37,"D-13",2451.4,14387.1,41.3979,23.2455,0.9627,1,7.8807,6.7373,117.967183302973
"677147",38,"D-13",2122.7,13441.3,33.3878,20.9091,0.9597,1,7.1117,6.1911,63.4978729303866
"677148",39,"D-13",1840.8,13815.1,33.62,20.9652,0.9612,1,6.9497,6.2007,55.6192907598167
"677149",40,"D-13",2484,13415.4,37.6159,22.2215,0.9573,1,7.7307,6.3278,79.4096729576268
"677150",41,"D-13",2273.3,13580.7,49.4807,25.3141,0.9703,1,8.7282,7.3459,77.1845078052865
"677151",42,"D-13",2812.8,13788.9,31.874,20.4772,0.9552,1,6.9779,6.0391,228.716365767774
"677152",43,"D-13",2052.5,14042,26.5348,18.7206,0.9515,1,6.1947,5.6924,111.91165938214
"677153",44,"D-13",2229.5,14421.4,40.1892,22.94,0.9597,1,7.8537,6.69,114.846437183221
"677154",45,"D-13",1785.6,14163.7,34.0665,21.2627,0.9469,1,7.2481,6.3106,121.741029606958
"677155",46,"D-13",2600.2,14388.7,31.7813,20.3695,0.9625,1,6.8784,6.0706,85.8442860170501
"677156",47,"D-13",1964.2,14300.1,27.4279,19.0156,0.9532,1,6.56,5.6743,244.355856846719
"677157",48,"D-13",2419.2,14506.9,25.9997,18.4887,0.9558,1,6.1953,5.5527,100.515215069309
"677158",49,"D-13",2488.9,14385.1,39.6113,22.7097,0.9652,1,7.5043,6.8537,103.550196893333
"677159",50,"D-13",2763.6,13875.7,28.4863,19.4696,0.9443,1,6.9636,5.4729,256.958379022852
