"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,15342.5,13748.1,15340.4244928816,13752.6488757074
"2",2,15025.5,14331.4,15024.8191974902,14336.3534339546
"3",3,15385.7,13768.1,15383.9622970375,13772.7883246916
"4",4,15098.1,14591.8,15098.3444112532,14596.7940227412
"5",5,15359,14693.1,15360.9076056175,14697.7218006024
"6",6,16036.7,14086,16036.7809251298,14090.9993450694
"7",7,15176.4,14272.9,15175.3206406343,14277.7821084953
"8",8,15237.4,14390.9,15237.9242293076,14395.8724424213
"9",9,15195.2,14325.3,15195.2631088677,14330.2996017112
"10",10,15358.9,14704.6,15361.2347708832,14709.0214075726
"11",11,15406.1,13892.1,15407.6262015645,13896.8613767741
"12",12,15091.6,14489.6,15093.9443335247,14494.0163446792
"13",13,15495.4,13959.2,15494.8051885523,13964.1644938656
"14",14,15235.4,13996.1,15240.0055463347,13994.1534792682
"15",15,15338,14235,15341.2817335303,14238.7722970503
"16",16,15027.2,14137.7,15027.508846186,14142.6904522875
"17",17,15412.4,14800.7,15412.5421547351,14805.6979787946
"18",18,15555.7,14736.5,15556.5760015569,14741.4226640422
"19",19,15064.7,14351.4,15068.9238112303,14354.0757090071
"20",20,16098.6,14027,16099.6686843259,14031.8844563476
"21",21,15296.4,14395.8,15299.0011633887,14400.0701228349
"22",22,15214.4,13895.2,15217.1581520672,13899.3704432827
"23",23,14993.4,14220.8,14991.3805763761,14225.3740494343
"24",24,15067.8,14572.6,15066.0017082528,14577.2654203232
"25",25,15466.5,14800.2,15467.9277225647,14804.9918272379
"26",26,15338.2,13757.9,15338.7647999206,13762.8679976902
"27",27,15777.7,13814.4,15776.5456850098,13819.2649313359
"28",28,15494.3,13747.8,15491.5649330814,13751.9856193031
"29",29,15005.4,14259.2,15006.5948783001,14264.055127789
"30",30,15333,14451.5,15335.6384281629,14455.7471987038
"31",31,15433,13760,15428.5418437433,13762.2638115625
"32",32,15392.9,13791.1,15393.6923153888,13796.0368245183
"33",33,15392.5,13805.6,15391.6560419223,13810.5282587963
"34",34,15233.7,13884,15233.893669563,13888.9962478021
