"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,10864.1,13067.2,10865.1762257069,13072.0828002445
"2",2,11645,12579.7,11640.0000748949,12579.6726331737
"3",3,11412.2,12371,11410.0702108901,12375.5237151046
"4",4,11210.9,12759,11212.0830580476,12763.8580215784
"5",5,11535.1,12173.9,11539.6925012048,12175.8771020923
"6",6,10662,12753.1,10662.5667093833,12758.0677802362
"7",7,10906.9,13104.6,10905.1614847613,13109.2880235457
"8",8,11520.9,12257.4,11523.7203429875,12261.5286396589
"9",9,11805.1,12494.8,11807.3879057694,12499.2458393123
"10",10,11393.7,13081.6,11391.3586339043,13086.0179186056
"11",11,11250.4,12718.3,11254.8446827213,12720.5901518523
"12",12,11203.6,12880.1,11204.1084598092,12885.0740796759
"13",13,11207.2,12313.5,11210.5958722045,12317.1698844628
"14",14,11867.8,12548.5,11865.2733394166,12552.8146246993
"15",15,11687.4,12636.6,11691.5904386021,12639.3276774594
"16",16,10822.9,12163.3,10821.5899085255,12168.1253145316
"17",17,11467.9,12364.9,11464.4704236212,12361.26159295
"18",18,10770,12247.5,10769.0222429936,12252.4034672668
"19",19,11746.6,12582.8,11742.2397104852,12585.2470135568
"20",20,10820.3,12546.2,10816.8261419917,12549.7961521851
"21",21,11127.1,12439.9,11129.7809846918,12444.1204645577
"22",22,11093.8,12526.4,11090.1430169325,12522.990238301
"23",23,11576.1,12936,11573.228824293,12940.0934520956
"24",24,10761,12716.5,10764.6118713968,12719.9575113901
"25",25,11168.1,12743.7,11170.7531375817,12747.9380255984
"26",26,10782.8,12455.3,10786.623534118,12452.078108188
"27",27,11210,12021.8,11210.9027151822,12026.7178354283
"28",28,11200,12928.4,11203.2965310366,12932.1593727037
"29",29,11067.5,12211.5,11067.4913848892,12216.499992578
"30",30,11447.8,12321.8,11447.5294779796,12326.7926764202
"31",31,11548.7,11971,11546.4525399785,11975.4664217727
"32",32,11185.2,12419.5,11183.9907189269,12424.3515605001
"33",33,10986.3,13080.8,10985.8208396772,13085.7769875814
"34",34,11730.1,12530.7,11728.5578196332,12535.4562253643
"35",35,11339.1,13039.1,11339.0751962861,13044.0999384772
"36",36,11826.8,12699.2,11823.4428312328,12702.9053229102
"37",37,10866.4,12999,10870.6576496754,13001.621529943
"38",38,11552.5,12548.7,11551.0262674754,12553.4778773996
"39",39,11871.3,12607,11873.7152727137,12611.3779513152
"40",40,11382.6,12708.8,11383.8958824634,12713.629149888
"41",41,10665.3,12256.4,10663.8004430134,12261.1698353057
"42",42,10865.7,12984.2,10866.05382504,12989.1874650717
"43",43,11608.2,12525.9,11603.2309752078,12526.4556911143
"44",44,10958.3,12767.9,10956.3791787657,12772.5163238389
"45",45,11420.5,13114,11418.9162312295,13118.7425390332
"46",46,11127.4,13059.6,11124.5446526923,13063.7045087102
"47",47,10837.2,13050.8,10832.3500403707,13052.0156856477
"48",48,11445.2,12607.2,11445.7984616265,12612.164055165
"49",49,10904.8,12728.4,10905.3279555083,12733.3720481676
"50",50,11081.6,13012.5,11079.7402066384,13017.1412464546
"51",51,11156.3,12213.3,11156.0731846249,12218.2948528292
"52",52,11494,12239.4,11497.8272815893,12242.617439298
"53",53,10867.6,12557.1,10871.6952819219,12559.9685651431
"54",54,11324.6,12702.1,11322.1211463831,12706.4422672357
"55",55,11400.1,13063.2,11397.9205290338,13067.6999895897
"56",56,10647.5,12531.2,10645.5697737218,12526.5876007854
"57",57,11062.1,12119.9,11057.8063530994,12122.4621468132
"58",58,11257.3,12705.9,11257.1856427055,12710.8986920699
"59",59,11286.2,12975.6,11290.1053459715,12978.7222224205
"60",60,11733.6,12142.5,11737.6944241678,12145.3697893188
"61",61,11308.7,12711.6,11308.6667666589,12716.5998895533
"62",62,11209.7,12343,11210.8523645631,12347.8653937059
"63",63,10976.2,12217.8,10981.0384992969,12219.0605255069
"64",64,11814.5,12371.2,11813.6505089668,12376.127308087
"65",65,11351.7,13181.5,11346.7510168794,13182.2124367146
"66",66,11713.3,12186.7,11711.4191549717,12191.3327553334
"67",67,10940.5,12131.7,10939.0788129179,12136.4937696313
"68",68,11536.3,12591.8,11535.566925082,12596.7459681726
"69",69,10897.2,12535.1,10895.6503027745,12539.8537814957
"70",70,11389.2,12190.6,11387.0454836282,12195.1119906032
"71",71,10956.5,12199.7,10952.0113430471,12201.902716223
"72",72,11037.7,12513.3,11039.5519981426,12517.9443624837
"73",73,11202.7,12431,11206.5473122264,12434.1934602914
"74",74,11537.5,12773.8,11534.1210493121,12770.1145295756
"75",75,10802.9,12114.7,10803.1512818022,12119.6936817536
"76",76,11858.6,12360.2,11858.826482506,12365.1948679336
"77",77,11542.1,12497.7,11540.5297523733,12502.4470330092
"78",78,10953.2,12137.6,10952.4139286545,12142.5378225808
"79",79,11132.1,12255.3,11131.4847592411,12260.2620035075
"80",80,11728.8,12553.7,11724.394106449,12556.0639166688
"81",81,11459.8,11933,11459.7429011813,11937.9996739619
"82",82,11292.7,11895.3,11289.0511391395,11891.8815479496
"83",83,11012.2,12986.1,11008.6349240042,12982.5942571195
"84",84,10901.5,12160.8,10902.6284302881,12165.6710004193
"85",85,11393.6,12214.3,11391.7367461699,12218.939858313
"86",86,10640.2,12753.6,10641.4369641547,12758.4445763158
"87",87,11594.4,12692.2,11591.5207808168,12696.287798539
"88",88,11333,12654.5,11328.1725127972,12653.1979372877
"89",89,11220.2,12911.1,11218.4447585453,12915.7817867781
"90",90,11281.2,13179.1,11282.8502216283,13183.8198271766
"91",91,10716,12458.9,10720.9959470004,12459.1012798289
"92",92,11341.8,11913.3,11345.6700527632,11916.4658634857
"93",93,11373.7,12276.8,11373.9175101982,12281.7952666909
"94",94,11069,12704.1,11072.6911630939,12707.4727310913
"95",95,11749.1,12694.7,11751.359554271,12699.1603155153
"96",96,11456.4,12143,11451.5551282471,12144.2358064971
"97",97,11447.2,12435.7,11447.934095635,12440.6458167777
"98",98,11121,13062.9,11120.3399206007,13067.8562380075
"99",99,11204.3,12203.8,11204.8959599841,12208.7643561211
"100",100,11521.6,12113.5,11520.1699285616,12118.2911267653
"101",101,11121.2,13050.8,11121.0278726153,13055.797036338
"102",102,10987,12327.3,10985.0869175054,12331.919536272
"103",103,10783.2,12207.4,10785.9358457997,12211.5851102447
"104",104,10770.2,12209.6,10767.8078066771,12213.9906048679
"105",105,11079.9,12081.7,11081.3037508482,12086.4989044121
"106",106,11348.5,11928.8,11352.5847431771,11931.6835521804
"107",107,11343.9,13070,11343.2698571675,13074.9601330638
"108",108,11003.4,12449,10999.842235092,12452.5131622307
"109",109,11572.3,12223.3,11572.8705365613,12228.2673421497
"110",110,10783.1,12321.1,10781.3750937766,12325.7930478924
"111",111,11115.3,12199.9,11114.5404220063,12204.8419673483
"112",112,11206.4,12939.9,11202.1041633018,12942.4584735805
"113",113,11733.3,12221.5,11737.1529055458,12224.6867097224
"114",114,11692.5,12549.7,11695.7216740745,12553.5237175834
"115",115,11791.3,12853.7,11787.9030959034,12857.3689293478
"116",116,11257.3,12673.6,11258.8704338111,12678.3469714182
"117",117,11494.4,13147.4,11498.4293819193,13150.3604191171
"118",118,11391.2,11972.6,11393.5869752516,11976.9934438824
"119",119,11532.6,12058.4,11527.6629592495,12059.1909668944
"120",120,11045.4,12767.9,11045.0689531165,12772.8890287593
"121",121,11147.4,12851.3,11151.124186707,12854.6362304135
"122",122,11190.1,12941,11189.674606308,12945.9818711552
"123",123,11354.6,12755.9,11355.0338559484,12760.8811413367
"124",124,10683.2,12318.3,10683.3582289408,12323.2974957331
"125",125,11217.8,12043.3,11215.972645827,12047.9541139572
