"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"609361",1,"E-7",10864.1,13067.2,37.4576,22.3226,0.9446,1,8.057,6.0301,77.5700903969448
"609362",2,"E-7",11645,12579.7,191.1232,53.119,0.8512,0.9976,21.2881,11.3635,180.313602294803
"609363",3,"E-7",11412.2,12371,96.378,35.9092,0.9392,1,12.9055,9.4654,115.211305491174
"609364",4,"E-7",11210.9,12759,37.7379,22.3556,0.9489,1,7.9693,6.2362,76.3133593037253
"609365",5,"E-7",11535.1,12173.9,51.4442,26.0725,0.951,1,9.2849,7.1703,23.2921970613603
"609366",6,"E-7",10662,12753.1,34.0984,21.4146,0.9344,1,7.4939,5.9643,83.4920037370773
"609367",7,"E-7",10906.9,13104.6,45.8386,24.4986,0.9598,1,8.1918,7.2932,110.346887451682
"609368",8,"E-7",11520.9,12257.4,31.6268,20.3612,0.9586,1,6.8692,5.9336,55.6623619710063
"609369",9,"E-7",11805.1,12494.8,43.0559,23.7696,0.9576,1,8.2867,6.6861,62.768866409532
"609370",10,"E-7",11393.7,13081.6,69.7497,29.9663,0.9761,1,10.1728,8.8523,117.922265716738
"609371",11,"E-7",11250.4,12718.3,39.8655,22.8911,0.956,1,8.0399,6.4189,27.2600837618382
"609372",12,"E-7",11203.6,12880.1,49.6119,25.4102,0.9656,1,8.6035,7.5933,84.1633904988485
"609373",13,"E-7",11207.2,12313.5,65.1795,28.8883,0.9815,1,9.5337,8.7928,47.2208354207036
"609374",14,"E-7",11867.8,12548.5,46.3204,24.8281,0.9443,1,8.8584,6.7912,120.353401489556
"609375",15,"E-7",11687.4,12636.6,56.6327,27.2488,0.9585,1,9.5622,7.6257,33.0612648704795
"609376",16,"E-7",10822.9,12163.3,47.5806,25.2249,0.9397,1,8.9122,6.8364,105.189854389107
"609377",17,"E-7",11467.9,12364.9,67.773,29.8552,0.9555,1,10.4883,8.3983,226.692369021825
"609378",18,"E-7",10770,12247.5,67.1587,29.7198,0.9555,1,10.6402,8.0403,101.276936712979
"609379",19,"E-7",11746.6,12582.8,39.2034,22.7463,0.9522,1,8.0203,6.3558,150.69866891619
"609380",20,"E-7",10820.3,12546.2,40.7137,23.1313,0.9562,1,7.6872,6.862,134.009019607826
"609381",21,"E-7",11127.1,12439.9,52.6185,26.2152,0.9621,1,9.1856,7.3234,57.5748787124531
"609382",22,"E-7",11093.8,12526.4,59.3075,27.8343,0.962,1,9.5805,8.1282,222.996394781679
