"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,12595,10565.7,12594.4416936501,10570.6687316309
"2",2,12548.6,10620.2,12549.1643372456,10625.1680502688
"3",3,12531,10648.3,12530.8215361053,10653.2968140488
"4",4,12426.2,10605.4,12424.1175433606,10600.8543015559
"5",5,12617.8,10972.7,12617.5700605511,10977.6947099866
"6",6,12492.2,11105.3,12491.2876600178,11110.216058966
"7",7,12442.3,11359.2,12440.442786995,11363.8422795967
"8",8,12423.2,10873.1,12421.2552164783,10877.7062801753
"9",9,12460,10641.6,12462.0916529537,10646.1414742013
"10",10,12779.4,11069,12776.5775864008,11073.1272244275
"11",11,12564.4,10570.9,12567.4308806262,10574.8766521887
"12",12,12733.3,10729.5,12733.1658560668,10734.4982002166
"13",13,12605.1,10535.4,12606.6192589453,10540.1635965674
"14",14,12694.5,10572.6,12692.3744854564,10568.074274873
"15",15,12457.4,10914.8,12456.3316872254,10919.6845376256
"16",16,12421.2,10597.8,12422.1315146504,10602.7124617511
"17",17,12552.7,10955.9,12550.2463958328,10960.2565842802
"18",18,12555.5,10972.7,12557.7301723147,10977.1750789319
"19",19,12577.2,10568.1,12577.8369315005,10573.0592658997
"20",20,12520.6,10649.5,12519.8795686638,10654.4478256527
"21",21,12558.4,10563.7,12557.8595238973,10568.6707027252
"22",22,12149.3,10715.8,12150.0618816827,10720.7416127227
"23",23,12425,10737.6,12423.9438099588,10742.4871732726
"24",24,12471.2,10623.3,12468.9562412608,10627.7682823009
"25",25,12694.3,11027.8,12694.9665049724,11032.7553779999
"26",26,12959.8,10818.2,12959.1696712373,10823.1601094394
"27",27,12473.9,10636.4,12476.850165808,10640.4368950575
"28",28,12576.4,10552.2,12576.3323265869,10557.1995420099
"29",29,12442.9,10633.8,12445.067992969,10638.3055306554
"30",30,12895.6,11132.7,12898.2880082043,11136.9159947691
"31",31,12581.4,10620.1,12585.8986570622,10622.2822201164
"32",32,12378.2,11245.1,12379.2316431119,11249.9924137693
"33",33,12588.1,10628,12592.5475927426,10630.2844953045
"34",34,12633,11059.6,12631.8024467855,11064.4544686937
"35",35,12636.1,10859.2,12635.4805543698,10864.1614803347
"36",36,12478.8,10644.6,12474.7126493516,10647.479854975
"37",37,12389.2,10468,12390.3531662654,10472.8652037536
"38",38,12713.4,11547.2,12714.6125242182,11552.0507509749
"39",39,12493.5,10619.1,12490.480895411,10623.0856000151
"40",40,12642.9,11402.9,12645.8303789735,11406.9512811643
"41",41,12916.6,10670.4,12918.6499646298,10674.960443511
"42",42,12444,11374.4,12447.6446016436,11377.8229926759
"43",43,12319.6,11280.3,12316.9627381594,11284.54792302
"44",44,12367.8,10597.1,12371.2028160674,10600.7634468485
"45",45,12691.3,10565.6,12690.1692008551,10570.470451036
"46",46,12879.5,11391.6,12881.2773257821,11396.2734476636
"47",47,12870.9,10770.3,12874.7173080425,10773.5292660635
"48",48,12263.7,11027.2,12262.4550257391,11032.0425240412
"49",49,12566.6,10523.4,12565.6384934439,10528.3066796454
"50",50,12452,11373.5,12452.1914910295,11378.496331773
"51",51,12640,11602,12640.2780035846,11606.9922654183
"52",52,12241.2,11264.9,12241.0082213446,11269.896320741
"53",53,12448.4,10648.6,12448.4819631527,10653.599328159
"54",54,12224.5,10611.7,12223.7426728343,10616.6423127748
"55",55,13033.4,10826.6,13034.3288202383,10831.5129719076
"56",56,12433.5,10762.8,12434.5913707426,10767.6794374575
"57",57,12490.7,11096.4,12491.0336832239,11101.3888531253
"58",58,12350.6,10584.3,12349.3850331639,10589.1501397493
"59",59,12683.8,11030.8,12682.2799083784,11035.5633309209
"60",60,12550.2,10870.7,12549.4008040077,10875.6357153246
"61",61,12519.4,10735.9,12515.7800031823,10739.3490031951
"62",62,12750,11179.2,12754.4727469435,11181.4348455829
"63",63,12421.6,11421.3,12423.0131120804,11426.0961561952
"64",64,12299.7,10595.3,12298.3045431976,10600.101322767
"65",65,12602.1,11396.4,12599.2925578448,11400.5374229353
"66",66,12271.6,10936.9,12269.4864372195,10941.4313190544
"67",67,12535.7,10913.6,12535.7659110861,10918.599565554
"68",68,12953.6,10657.7,12958.4501019318,10658.9151177932
"69",69,12495,10630.8,12498.9278980333,10633.893803006
"70",70,12443.2,10886.4,12440.5360137134,10890.6312146087
"71",71,12557.8,10623.5,12558.9563383403,10628.3644508059
"72",72,12455,10442.4,12456.7499466557,10447.0837684296
"73",73,12411.9,10754.6,12413.1125619955,10759.4507415317
"74",74,12644.2,10857.2,12646.9345829304,10861.3859355223
"75",75,12578.3,10642.3,12583.1237073693,10643.6159966624
"76",76,12859.3,11393.3,12854.4275844284,11392.1776958978
"77",77,12457.2,10675.5,12461.7819148957,10677.5015133995
"78",78,12373.7,10732.2,12376.8471803333,10736.0852613747
"79",79,13006.5,10705.9,13004.7814478605,10701.2046215761
"80",80,13132.6,10858.8,13137.2198474245,10860.7123309792
"81",81,12311.5,10973.3,12309.2303111254,10968.8448330657
"82",82,12485.6,11100.9,12486.1434256361,11105.8703811301
"83",83,12315.8,11373.4,12310.8327509951,11373.9713469376
"84",84,12354.4,11108.3,12359.2635282345,11109.4602125289
"85",85,12200.8,10698.6,12205.5853951287,10697.1508645813
"86",86,13047.8,10536.4,13050.0107928902,10540.8846844701
"87",87,12467.1,11481,12465.5776183639,11485.7625995165
"88",88,12804,11435.2,12800.5429027149,11438.8122677588
"89",89,12387.9,10516.7,12388.1023516582,10521.6959037027
"90",90,12554.9,11367.3,12555.2850291415,11372.2851532133
"91",91,12418.5,10853.3,12418.2773184573,10858.2950388317
"92",92,12316.2,11492,12311.2056129361,11491.7631501405
"93",93,12692.3,10953.7,12693.3549055458,10958.5874506943
"94",94,12331.3,11459,12329.4295025524,11463.6369428828
"95",95,12355,11342.6,12353.940598519,11347.4864781287
"96",96,12843,10526.9,12847.1495762675,10529.6894474004
"97",97,12456.4,11576.2,12458.1101695356,11580.8984380553
"98",98,12915.6,10823.3,12916.2919776223,10828.2518851936
"99",99,12206.6,10706.1,12210.5540076571,10709.1603632868
"100",100,12408.7,10874.3,12406.5254167714,10878.8023535825
"101",101,12707.7,10416.6,12708.2997169196,10421.5639036671
"102",102,12565.9,11312.4,12564.4021564287,11317.1703736369
"103",103,12411,11498.3,12414.6582138379,11501.708441215
"104",104,12531.3,10929,12529.075486691,10933.4778946547
"105",105,12289.9,10963.2,12287.817606952,10958.6542724242
"106",106,12715.8,10935.3,12714.8013232052,10940.1992493976
"107",107,12390.4,10597.9,12392.0109165473,10602.6333865126
"108",108,12635.9,11526.6,12634.5855276891,11521.7758770182
"109",109,12781.2,11484.6,12776.8036738519,11486.9816625285
"110",110,12409.1,10531.6,12414.088129095,10531.9443372351
"111",111,12787.3,11344.5,12791.1739756977,11347.6610618933
"112",112,12392.5,10591.1,12392.72829325,10596.0947855001
"113",113,12233.6,10789.4,12232.5641012775,10784.5084855273
"114",114,12390.1,10890.7,12388.1685422722,10895.3118836765
"115",115,12744.8,10623.6,12743.5125995863,10628.4314180294
"116",116,12449.5,10636.8,12446.7680539837,10640.9876569778
"117",117,13233.9,10865.1,13232.6012016255,10869.9283664714
"118",118,13057.7,10820.9,13057.6084564056,10825.8991619068
"119",119,12910.9,11380.1,12911.0681877175,11385.0971704886
"120",120,12685.9,10950.4,12683.1350327097,10954.5659279739
"121",121,12188.5,10658.3,12192.3365169848,10661.5064212801
"122",122,12638.9,11071.9,12640.6096082039,11076.5986423347
"123",123,12744.7,10410.9,12748.5047739439,10414.144024543
"124",124,12227.6,11418.1,12227.0395582416,11423.0684912232
"125",125,12841.3,11367.9,12845.5286148345,11370.5681110512
"126",126,12288.8,11149.3,12287.8744912767,11154.2135968092
"127",127,12426.2,10855.7,12428.5901593453,10860.0917124569
"128",128,13241.2,10855,13238.7594686193,10859.3639210098
"129",129,12511.5,10526.4,12515.9823349571,10528.6155526019
"130",130,12480,11014.4,12479.2480591829,11019.3431351395
"131",131,12210.7,11012.2,12209.9449264719,11017.1426575814
"132",132,12724.1,10776.7,12726.8212142721,10780.8946385881
"133",133,12248.1,11203.4,12246.9815410545,11208.2732996611
"134",134,12604.1,10492.5,12601.9129438277,10496.9963079631
"135",135,12427.9,11105.1,12431.9187319834,11108.0748602061
"136",136,12486.7,10624.7,12486.0058151127,10629.6515762483
"137",137,12834.4,10520.4,12832.7977082653,10525.1363130383
"138",138,12526.6,10961.4,12526.5100234197,10966.3991903559
"139",139,12816.2,10461.8,12820.7760563273,10459.7851281706
"140",140,12349.2,11520.8,12352.7974914187,11524.2724710931
"141",141,12323.7,11292.4,12325.5248813792,11297.0550840972
"142",142,12571.1,10637.5,12569.6269999527,10642.2781032702
"143",143,12371.1,11138.1,12372.9227365226,11142.7559243518
"144",144,12507.3,11188.1,12506.8483985734,11193.0795638515
"145",145,12382.9,10888.4,12380.7170590576,10892.8983073308
"146",146,12432.9,10740.3,12433.8286389159,10735.386993816
"147",147,12853.8,11399.1,12858.4905499341,11400.8316874185
"148",148,13145.8,10997,13149.5645478208,11000.2906199575
"149",149,12454.5,10567.5,12455.736687209,10572.3446470199
"150",150,12315.4,10980.8,12316.0590904481,10985.7563696171
"151",151,12499.6,11177.7,12499.7612283292,11182.6973998665
"152",152,13090.1,10588.4,13090.7190866011,10593.3615251466
"153",153,12564.4,11373.9,12564.119425738,11378.8921216014
"154",154,12679,11528.1,12675.5172423099,11531.6875338147
"155",155,12925.7,11454.6,12922.9235224312,11458.7582655411
"156",156,12476.3,11339.5,12472.6765219373,11342.9453456618
"157",157,12632.5,10840.7,12634.1322110273,10845.4260858183
"158",158,12754.5,10414.5,12752.9666629167,10419.2590836711
"159",159,12380.3,10882.6,12375.3485470299,10883.2950636554
"160",160,12499.9,10583.5,12499.7077292664,10588.4963018289
"161",161,12632.3,10803.9,12630.2304012929,10808.4515668941
"162",162,12493.6,10593.3,12492.4604760055,10598.1684171007
"163",163,12586.5,11288.8,12584.0705768629,11293.1701147835
"164",164,12619.4,10951.4,12618.8140286369,10956.3655450417
"165",165,12724.2,11457.1,12724.6993735411,11462.0750001072
"166",166,12524.5,11412.6,12526.7084148845,11417.0858559605
"167",167,12324.9,10854,12329.2678932088,10856.4334150728
"168",168,12844.6,10514.9,12847.4945074818,10518.9769874219
"169",169,12242.8,10776.5,12237.8376443624,10777.1123940936
"170",170,12914.4,10768,12914.2998947627,10772.9989977937
"171",171,12477.3,10820.8,12480.7253737678,10824.4423638685
"172",172,12443.5,10644,12442.3117771468,10648.8567609012
"173",173,12313.4,11153.2,12315.3686405924,11157.7961347041
"174",174,12503.2,10692.4,12503.6294040322,10697.3815270929
"175",175,13029.2,11485.1,13030.5653037358,11489.9099839614
"176",176,12439.2,10768.2,12439.8573022965,10773.1566070745
"177",177,12610.8,10531.9,12613.195426256,10536.2888418805
"178",178,12925.9,10468.2,12921.9915637552,10471.3183531102
"179",179,12473,10839.6,12472.0748333277,10844.5136612244
"180",180,12235.2,11253.7,12233.6449817723,11258.4520435932
"181",181,12461.6,10566.2,12459.1347612734,10570.5500112668
"182",182,12481.6,11093.9,12478.4914308957,11097.8162224303
"183",183,12886.9,11125.2,12890.4929716078,11128.6771475415
"184",184,12398.2,10601.3,12393.4974879696,10602.9989351383
"185",185,12895.9,11567.2,12894.3718168556,11571.9607411479
"186",186,12625.8,11392.6,12622.1182293381,11395.9829816424
