"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"485403",1,"F-9",7985.6,11117.8,49.5722,25.2704,0.9755,1,8.422,7.6998,71.0571601168582
"485404",2,"F-9",8304.9,11391.7,30.392,20.0242,0.9525,1,6.8131,5.8885,81.1078058833766
"485405",3,"F-9",7980.4,11047.9,40.8192,23.1414,0.9578,1,7.9041,6.8824,149.228176752958
"485406",4,"F-9",8118.5,11237,35.1032,21.6299,0.9429,1,7.8096,5.7573,97.3513569004767
"485407",5,"F-9",8195.2,11234.1,37.3859,22.9125,0.8949,1,8.5203,5.7855,78.9289584000142
"485408",6,"F-9",8578.3,11209.1,60.2727,28.184,0.9535,1,10.0302,7.6562,80.4214721346465
"485409",7,"F-9",8241,11351.4,38.8885,22.5401,0.9619,1,7.5733,6.7933,40.7228333148004
"485410",8,"F-9",8299.5,11378.3,41.7053,23.3229,0.9635,1,7.946,6.6202,170.600392085216
"485411",9,"F-9",8532.1,11146.2,46.0666,24.5558,0.96,1,8.5623,6.9411,89.722734405411
"485412",10,"F-9",8615.8,11458.6,44.3001,24.1297,0.9561,1,8.2417,7.0695,114.582617479218
"485413",11,"F-9",8675.3,11115.4,37.6226,22.1316,0.9652,1,7.4923,6.4366,92.9922834922077
"485414",12,"F-9",8161.1,10685.8,45.157,24.3839,0.9544,1,8.6419,6.9213,69.8938221455599
"485415",13,"F-9",8134.8,11236.5,47.2498,25.039,0.9471,1,9.0558,6.7145,74.2718403207765
"485416",14,"F-9",8307.2,11230.6,30.6392,20.1517,0.9481,1,7.1275,5.5685,57.5560544560075
"485417",15,"F-9",8384.4,10848.3,28.4139,19.4632,0.9426,1,6.8496,5.5669,47.6306289902656
"485418",16,"F-9",8119.8,11321.7,62.2687,29.0093,0.9298,1,10.7819,7.5385,115.435809994015
"485419",17,"F-9",8592.1,11277.2,46.1997,24.9524,0.9325,1,8.8995,6.6091,85.3562415230629
"485420",18,"F-9",8184.2,11361.4,43.2942,23.9107,0.9516,1,8.4684,6.6453,43.0447896154441
"485421",19,"F-9",8243.8,11332.6,66.4173,29.4935,0.9595,1,10.4932,8.434,110.87486052538
"485422",20,"F-9",8060.2,10898.3,37.2644,22.3348,0.9387,1,7.7222,6.3227,118.361044911559
"485423",21,"F-9",8307.2,11384.3,26.7162,18.8867,0.9412,1,6.6783,5.4292,239.218345586883
