"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"450670",1,"G-3",17110.6,9774.8,101.9748,36.4831,0.9628,1,12.4329,10.6834,120.704082317961
"450671",2,"G-3",17580.1,9171.7,60.0085,27.8129,0.9748,1,9.2522,8.5103,66.2951275375435
"450672",3,"G-3",17582.5,9107,34.5715,21.9627,0.9007,1,8.3721,5.4958,86.407387667276
"450673",4,"G-3",16981.8,10146.1,43.8654,24.2061,0.9408,0.9997,8.747,6.6365,67.3668324346417
"450674",5,"G-3",17145.6,9464,116.9534,39.245,0.9542,1,14.21,10.7542,86.1243783055367
"450675",6,"G-3",16732,9408.8,24.4441,18.0059,0.9474,1,6.0191,5.4588,39.8005871649607
"450676",7,"G-3",17316,9095,98.3589,36.018,0.9528,1,13.0011,9.8626,135.087456383835
"450677",8,"G-3",17109.5,9428.9,85.3321,33.5071,0.9551,1,11.9272,9.3182,105.70460789862
"450678",9,"G-3",16912.7,9281.7,91.5062,34.3434,0.9749,1,11.6155,10.2592,54.9280232328689
"450679",10,"G-3",17223.3,9405.2,91.768,34.5405,0.9666,1,11.7778,10.2569,71.1437255917662
"450680",11,"G-3",17036.3,9195.7,102.0943,36.193,0.9794,1,12.0995,10.8401,111.914029021683
"450681",12,"G-3",17394.9,9670.5,36.9144,22.0273,0.9561,1,7.4655,6.5076,105.161107708629
"450682",13,"G-3",17733.8,9873,23.4952,17.6246,0.9505,1,6.1005,5.2811,44.7621348373049
"450683",14,"G-3",17068.7,9094.5,77.9924,31.7163,0.9743,1,10.7393,9.5367,50.1581473102418
"450684",15,"G-3",17559.2,9186.9,34.7641,22.2349,0.8836,1,8.7441,5.2337,88.991236967079
"450685",16,"G-3",17051.8,9365.5,111.5233,37.7263,0.9847,1,12.3851,11.7408,83.0945229899465
"450686",17,"G-3",17648.3,9516.9,29.6278,19.7145,0.9579,1,6.5551,5.9793,36.2903302654883
"450687",18,"G-3",16917,9425.6,25.7775,18.4589,0.9507,1,6.1746,5.4839,33.2459806109791
"450688",19,"G-3",17490.7,9516.1,37.2618,22.2513,0.9457,1,7.8924,5.8758,113.627502015628
"450689",20,"G-3",16990.8,9585.8,68.0986,29.6572,0.9729,1,9.8984,8.9816,53.4779517262636
"450690",21,"G-3",17260.4,9385.8,34.6656,21.4024,0.951,1,7.294,6.1553,82.5525134051319
"450691",22,"G-3",16971.3,10132.9,100.3646,36.0685,0.9695,1,12.5392,10.2754,99.7605775309628
"450692",23,"G-3",16645.3,9867.1,40.8518,23.2341,0.951,1,8.1271,6.6535,42.7844309178153
"450693",24,"G-3",17227.3,9695.5,96.0094,35.5292,0.9558,1,12.2187,10.752,105.999703414947
"450694",25,"G-3",17005.1,9083.7,35.9201,21.8505,0.9454,1,7.7901,6.174,95.464880041158
"450695",26,"G-3",17326.4,9222.9,61.5379,29.4405,0.8922,1,11.4144,7.1291,43.7341222747805
"450696",27,"G-3",17648.4,9343.8,42.6638,23.6385,0.9595,1,7.948,6.9348,118.609028202088
"450697",28,"G-3",17377.6,9233.6,93.1612,34.746,0.9697,1,12.2208,10.0348,80.8662854291503
"450698",29,"G-3",17195.8,9015.2,169.6351,47.7853,0.9335,1,17.6414,12.0243,23.6037297867826
"450699",30,"G-3",17500.9,9368.9,69.0238,30.008,0.9632,1,10.6278,8.5061,64.4326885415981
"450700",31,"G-3",17314.3,9153.9,53.3425,26.2183,0.9752,1,8.7709,7.7449,103.638671166117
"450701",32,"G-3",16961.4,9907,38.8758,22.7157,0.9468,1,7.8593,6.8069,76.5088724651916
"450702",33,"G-3",17368.8,9094.3,109.8399,38.8756,0.9133,1,14.5016,9.68,159.821331956894
"450703",34,"G-3",16969.2,9100.6,58.5637,28.4514,0.9091,1,10.9046,7.4729,108.427252490667
"450704",35,"G-3",16899.7,9630.3,55.3447,26.8571,0.9642,1,9.16,8.0348,190.060657655144
"450705",36,"G-3",17230.2,10046.7,41.8978,23.4046,0.9612,1,8.1035,6.6721,87.9028342347913
"450706",37,"G-3",16709.6,9644.6,59.9024,27.8972,0.9672,1,9.3582,8.6038,103.845780677864
"450707",38,"G-3",17617.4,9982.9,32.9532,21.1386,0.9267,1,7.7734,5.7149,123.167201209961
"450708",39,"G-3",17554.8,9120,28.1168,19.4531,0.9337,1,6.8169,5.6606,104.744476355346
"450709",40,"G-3",17391.5,9614.3,45.6154,25.0554,0.9131,1,9.2505,6.4628,114.525974007182
"450710",41,"G-3",17119.6,9495.2,51.0317,25.6598,0.974,1,8.5283,7.7478,122.735505550388
"450711",42,"G-3",17359.9,9265,53.6258,26.6312,0.9502,1,9.5121,7.3084,52.3881216457478
"450712",43,"G-3",17197.2,9240.4,65.6182,29.6034,0.9409,1,10.7383,7.8032,187.468742403252
"450713",44,"G-3",17170.5,9139.6,85.4903,34.35,0.9105,1,13.2278,8.6047,27.9411382835913
"450714",45,"G-3",17351.1,9047.8,155.3733,45.7569,0.9326,1,16.8003,11.7277,163.453220829458
"450715",46,"G-3",16980.6,9258.6,62.3363,28.2698,0.9802,1,9.4921,8.5096,70.3408274182196
"450716",47,"G-3",17402.5,9738.3,23.2073,17.5396,0.948,1,5.9225,5.2428,97.6419179207451
"450717",48,"G-3",17309.2,9864.9,57.5991,27.4828,0.9583,1,9.6397,7.6153,160.285834992546
"450718",49,"G-3",17006.4,9120,76.9046,31.3874,0.981,1,10.5555,9.3427,88.3351798806406
"450719",50,"G-3",17264.3,9595.1,67.1917,29.3423,0.9807,1,9.925,8.9304,108.596777240442
"450720",51,"G-3",17200.9,9726.9,27.8221,19.2417,0.9443,1,6.713,5.5716,42.9382587529004
"450721",52,"G-3",17566.6,9674.3,55.6801,27.5507,0.9218,1,9.989,7.0484,98.2111823209675
"450722",53,"G-3",17162,9109.8,65.9839,29.1861,0.9734,1,10.1153,8.4311,54.387384914994
"450723",54,"G-3",16871.5,9133.4,84.869,34.4166,0.9004,1,13.264,8.3255,163.989202689894
"450724",55,"G-3",17448.3,9527.2,43.1322,23.7422,0.9615,1,8.1927,6.6931,92.1150199099341
"450725",56,"G-3",17469.4,9727.5,47.9988,25.4616,0.9304,1,9.177,6.3205,99.7154926420899
"450726",57,"G-3",17133.1,9556.6,59.0048,27.5513,0.9768,1,9.3554,8.13,125.266938997016
"450727",58,"G-3",17266,10062.5,35.1967,21.5526,0.9522,1,7.2175,6.5181,149.196285113655
"450728",59,"G-3",16719.3,9581.8,42.8168,23.741,0.9546,1,8.3293,6.5929,98.2421568322375
"450729",60,"G-3",17568.1,9646.6,26.6007,18.8953,0.9363,1,6.5448,5.3681,135.198910957108
"450730",61,"G-3",17539.8,9200.4,38.7314,22.47,0.964,1,7.6208,6.5066,46.3748321712137
"450731",62,"G-3",17638,9703.7,49.7461,25.6065,0.9534,1,9.1654,7.2705,150.197312479248
"450732",63,"G-3",17483.2,9406.6,24.6513,18.1367,0.9417,1,6.207,5.3061,246.906228578656
"450733",64,"G-3",17145.4,9100,138.761,42.933,0.946,1,15.7676,11.132,4.17149119636432
"450734",65,"G-3",17110.9,9070,79.9755,32.2453,0.9666,1,11.1969,9.2456,220.365823802221
"450735",66,"G-3",16985.3,9596.2,84.3643,33.5528,0.9417,1,12.2928,9.0036,155.829005525683
"450736",67,"G-3",16713.2,9620,63.6809,28.9593,0.9542,1,10.438,7.7798,78.2522579448229
"450737",68,"G-3",17007.2,9600.8,58.7679,27.9611,0.9446,1,9.9444,7.9577,322.76443992408
