"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,9439.4,9299.5,9444.39679916874,9299.67888003596
"2",2,10015.3,10168.2,10015.4829457121,10173.1966519657
"3",3,10203.3,9830.1,10204.4961864029,9834.95480566959
"4",4,9701.5,9141.5,9701.36944484688,9146.49829524458
"5",5,9992,9288.7,9991.43257408707,9293.66769844428
"6",6,10473.2,9789.8,10473.0667518285,9794.79822417712
"7",7,10031.4,9327.9,10034.8538113111,9331.51540971779
"8",8,9371,9627.3,9373.0126772946,9631.87702196934
"9",9,9689.5,9966.4,9689.25845414189,9971.3941621518
"10",10,9889.5,9383.8,9893.27671302334,9387.07665053665
"11",11,10374.6,9933.9,10375.8448910158,9938.7425454421
"12",12,9492.6,9125.1,9492.03522386643,9130.06800039442
"13",13,10292.2,9346.1,10291.3047000744,9351.01919079151
"14",14,9630.9,9216.6,9630.13001838273,9211.65964289661
"15",15,9593.7,9210.9,9595.6256581413,9215.51430826049
"16",16,9475.8,9498,9474.66506848378,9502.86948975289
"17",17,9434.3,9697.1,9432.93477989918,9701.91000770024
"18",18,10000.7,9244.7,10005.6699221362,9245.24760748705
"19",19,10021.7,10074.6,10025.8465842289,10071.8061067964
"20",20,9449.5,9928.7,9453.79188994306,9931.26508883212
"21",21,9401.5,9290.8,9403.1640619502,9295.51496530484
"22",22,9469.2,9173.9,9469.79437915991,9178.86454564026
"23",23,10240.6,9182.3,10236.460726055,9185.10471232178
"24",24,10399.1,9306.2,10403.2258103984,9309.02448022768
"25",25,10002.5,8990.6,10002.6729038839,8995.5970095304
"26",26,10281.5,9319.7,10280.6138214793,9324.62084216669
"27",27,9425.3,9702,9426.39891091673,9706.87774484748
"28",28,9480,9140.5,9482.91832573374,9144.55997227969
"29",29,9849.6,9139.5,9854.53561638687,9140.2998067777
"30",30,9418,9289.2,9413.09029368585,9288.25406981823
"31",31,9410.6,9362.5,9407.69476472665,9366.56934982601
"32",32,10445.1,9599.7,10446.204266739,9604.57653513973
"33",33,10043.2,10225,10041.4258453399,10229.6746524194
"34",34,9496.2,10021.4,9496.64966355068,10026.3797392192
"35",35,9509,9222.6,9510.93164901327,9227.21180356146
"36",36,9334.4,9454,9330.93251284682,9457.60229549628
"37",37,10232,8985.3,10234.3533540006,8989.71154450818
"38",38,9461.1,9167.2,9460.97020212375,9172.1983149672
"39",39,10398.7,9643.1,10395.505180323,9639.25381653694
"40",40,9642.8,9192.6,9637.98616078008,9193.95164787012
"41",41,9689.7,9078.5,9687.89635777406,9083.16335444941
"42",42,9530.5,9364.6,9532.09849852147,9369.33759458764
"43",43,9823.4,9403.9,9826.96795141483,9407.40281639562
"44",44,10219.9,9432.6,10222.6738778124,9436.76000022621
"45",45,9949.8,9355.6,9953.42784205228,9359.04075021525
"46",46,10043,9066.5,10039.0181449665,9069.52404207838
"47",47,10219.7,9479.1,10214.9844375767,9480.7623691021
"48",48,9393.5,9278,9397.5803165787,9280.88981255751
"49",49,9636.3,9100.5,9636.33735303244,9105.49986047315
"50",50,9997.8,9129.1,9993.28416882022,9131.2464549275
"51",51,9834,9342.5,9838.66637642396,9344.29580930777
"52",52,10464.5,9312.6,10460.3044278843,9309.8802252627
"53",53,9320.4,9475.2,9317.77504363517,9479.45553804856
"54",54,10278.2,9332.8,10275.3443734975,9336.90431447114
"55",55,10400.8,9133.6,10398.9170118847,9138.23188468743
"56",56,9900.3,9295.5,9905.25064873153,9296.20076896124
"57",57,9922.4,9208.8,9918.46863654952,9211.88939822946
"58",58,9464.6,9381.3,9466.69289018083,9385.84090417109
