"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"364295",1,"H-5",13890.8,7837.1,34.5668,21.3389,0.954,1,7.1781,6.4717,88.6333160234991
"364296",2,"H-5",14191.4,7408.9,71.3068,30.2435,0.9797,1,10.1253,9.1696,100.685920156173
"364297",3,"H-5",14219.9,8250.9,38.0127,22.2471,0.9651,1,7.518,6.449,52.8912670184994
"364298",4,"H-5",14703.2,8126.6,72.1517,30.4008,0.981,1,10.2002,9.0448,61.607972743189
"364299",5,"H-5",14540.9,8452.1,51.1227,26.1688,0.9381,1,9.499,7.025,140.433650263499
"364300",6,"H-5",14366.6,8282.8,50.4761,25.5173,0.9742,1,8.4075,7.6449,87.9506593974523
"364301",7,"H-5",14548.7,8496,38.9763,22.7583,0.9456,1,8.1785,6.165,99.6934489756151
"364302",8,"H-5",14471.1,7488.8,67.6845,29.7174,0.9631,1,10.1484,8.81,55.343272440692
"364303",9,"H-5",14211.3,8063.8,36.1674,21.9219,0.9457,1,7.6902,6.271,80.4671186945586
"364304",10,"H-5",14227.1,7869.8,41.2854,23.1552,0.9676,1,7.6364,7.0117,88.9783426479741
"364305",11,"H-5",14037.9,7437.7,36.4181,21.8621,0.9575,1,7.6089,6.153,82.4150337522462
"364306",12,"H-5",13846.7,7660.8,102.2475,36.6922,0.9544,1,12.6107,10.7134,175.363179651543
"364307",13,"H-5",14715.7,8100.3,61.6814,29.1343,0.9132,1,10.9785,7.5176,49.0090056192856
"364308",14,"H-5",14573.9,7627.7,40.2568,23.131,0.9455,1,7.9388,6.7302,128.587779769888
"364309",15,"H-5",14734.4,8330.2,80.8853,32.943,0.9366,1,11.8096,9.5034,83.6123462133544
"364310",16,"H-5",14469.8,8341.2,32.5557,20.8224,0.9436,1,7.4461,5.6919,90.5546774722536
"364311",17,"H-5",13928.5,8045.5,37.3571,22.205,0.9521,1,7.6752,6.1591,55.7267097967576
"364312",18,"H-5",13983.3,7880.6,33.5345,21.2318,0.9348,1,7.7601,5.7032,86.932268618284
"364313",19,"H-5",14642,8086,45.5775,24.3864,0.9631,1,8.3223,7.1123,113.962353766653
"364314",20,"H-5",13829.7,7610.3,63.0265,28.7457,0.9585,1,9.9434,8.3288,70.1736362640152
"364315",21,"H-5",14144.8,7548.2,46.6637,24.559,0.9722,1,8.2804,7.251,81.3151485546874
"364316",22,"H-5",14656.2,7691.9,52.5713,26.1858,0.9634,1,8.8725,7.6919,90.652643476104
"364317",23,"H-5",14092.9,8047,31.8216,20.6836,0.9347,1,7.3359,5.4537,90.9345110793959
"364318",24,"H-5",14058.3,8439.1,64.6329,28.7327,0.9838,1,9.4396,8.8705,86.0290869659379
"364319",25,"H-5",13840.8,8241.1,49.4471,25.3125,0.9698,1,8.6005,7.4038,66.8019429591376
"364320",26,"H-5",14708.6,8411.8,54.2017,26.5206,0.9684,1,8.817,8.1083,67.6506264440964
"364321",27,"H-5",14172.3,7442,67.4795,30.5112,0.9109,1,11.5439,7.6662,147.721761060685
"364322",28,"H-5",14846.9,8233.8,70.0395,31.343,0.8959,1,12.1943,7.258,83.560536450539
"364323",29,"H-5",14533.3,7717.9,52.9213,26.1471,0.9727,1,8.6442,7.6557,354.047510914128
