"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"323230",1,"I-1",19901,6455.7,50.9983,25.7223,0.9686,1,8.9031,7.3373,42.632813775526
"323231",2,"I-1",19924.3,6488.4,47.3729,24.8812,0.9616,1,8.5971,7.2036,57.6881553446199
"323232",3,"I-1",20054.2,6265.6,60.325,28.2559,0.9495,1,10.229,7.6342,99.7599654169907
"323233",4,"I-1",19915.3,6407.8,37.2815,22.2217,0.9487,1,7.8771,6.2577,84.3397359839007
"323234",5,"I-1",19896.2,6387.1,39.9834,22.8223,0.9646,1,7.7241,6.5973,33.1429813626744
"323235",6,"I-1",19958.1,6413.8,61.8705,28.0778,0.9862,1,9.1123,8.7183,90.8182330273593
"323236",7,"I-1",19900.1,6414.4,57.8184,28.0665,0.9224,1,10.5828,7.0861,60.9832844345401
"323237",8,"I-1",19938,6410.6,58.914,27.8417,0.9551,1,9.9674,7.7051,69.0554593204568
"323238",9,"I-1",19811.6,6619,42.9122,23.6866,0.9611,1,8.1138,6.7422,35.6095620025956
"323239",10,"I-1",20036.2,7171.7,32.2065,21.0658,0.912,1,7.9441,5.2789,96.1611371109151
"323240",11,"I-1",19868,6991,38.2794,22.7037,0.9332,1,7.9411,6.1113,93.6355186587002
"323241",12,"I-1",20200,6172.9,40.823,23.5021,0.9288,1,8.4333,6.038,88.3465511699273
"323242",13,"I-1",20832.9,6999.4,34.8928,21.3707,0.9601,1,7.4059,6.1483,73.2461106854463
"323243",14,"I-1",19984.7,6273.9,55.0737,26.8878,0.9573,1,9.5794,7.5618,50.8491423729357
"323244",15,"I-1",19864,6451.3,44.8317,24.1256,0.9679,1,7.9915,7.3502,89.1497138237779
"323245",16,"I-1",19958.9,6325.9,50.216,25.6105,0.9621,1,8.8847,7.3147,90.8088851347621
"323246",17,"I-1",20073.7,6310.4,34.73,21.3595,0.9566,1,7.3366,6.1787,87.0842586806851
"323247",18,"I-1",20058.9,7027.9,38.6279,22.9309,0.9231,1,8.2812,6.0929,39.4371975768769
"323248",19,"I-1",19795.7,6647.3,35.5671,21.6835,0.9506,1,7.6895,6.0652,70.8552361272781
"323249",20,"I-1",19894.9,6427.5,44.2678,24.0801,0.9594,1,8.4957,6.7296,107.909046933198
