"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,13133.7,6936.9,13130.3342752712,6940.5975528461
"2",2,13084.7,5820,13085.5636007866,5824.92485468633
"3",3,13086.3,5874.1,13085.6559387489,5879.05834499656
"4",4,12667.7,6093.9,12667.6344218283,6098.89956993184
"5",5,12837.9,5896.7,12841.872889739,5899.7358107849
"6",6,12754.3,6017.6,12757.3766870873,6021.54131914042
"7",7,12761.7,6780.3,12759.9120232974,6784.96938318312
"8",8,12989.1,6201.4,12989.4600548714,6206.38701919884
"9",9,13025.8,6114.4,13025.9255510109,6119.39842344581
"10",10,12804.3,6419.1,12803.8457507162,6424.079323005
"11",11,13161.7,6014,13161.7292937998,6018.99991418659
"12",12,12709.9,6802.3,12710.3137688405,6807.28285012283
"13",13,12532.5,6464.7,12533.6193618199,6469.57309235663
"14",14,13149.2,6233.9,13144.4194098389,6235.36490877231
"15",15,13082.6,5786.4,13079.9381260221,5790.63254378901
"16",16,12845.7,6805.1,12844.1795391183,6809.8632130655
"17",17,13116.1,6424.3,13116.3308686832,6429.29466712115
"18",18,12502.5,5959.7,12501.174902158,5964.52121516935
"19",19,12679.4,6402.2,12678.3779903729,6407.09443524037
"20",20,12446.6,6622.5,12444.8292720132,6627.1759514964
"21",21,13098.5,5805.1,13097.0863268245,5809.89599084162
"22",22,12293.4,6201.5,12298.1735204568,6202.98778440921
"23",23,12751.7,6781.9,12749.8647960807,6786.55102425005
"24",24,12942.5,6961.6,12940.818531988,6966.3087859714
"25",25,12438.4,6615.7,12441.1690292591,6619.86322915085
"26",26,13251.4,6138.7,13255.7252110114,6141.20849550666
"27",27,12981.6,5948.8,12981.7954070637,5953.79618014882
"28",28,13171.1,6022.8,13170.8656259892,6027.79450386155
"29",29,12502.6,6442.9,12504.3457194051,6447.58534563919
"30",30,13150.6,6786.4,13149.4651077389,6791.26949890192
"31",31,13181.2,5995.1,13178.2671467057,5999.14949028322
"32",32,12634.2,6534.6,12635.7617909382,6539.34982200353
"33",33,12989,6281.1,12989.0113042109,6286.09998722147
"34",34,12834.7,6587.8,12832.5186753229,6592.29909131416
"35",35,12672.3,6738.1,12670.3954382415,6742.72305575439
"36",36,12470.4,6517.9,12465.4565641808,6518.64996153317
"37",37,12431.5,6452.3,12429.9599385918,6457.05691190365
"38",38,12519,6646.8,12520.654833595,6651.51821213734
"39",39,12566,6321.1,12566.2353876175,6326.09445619357
"40",40,13087.1,6813,13084.4269039608,6817.22546536668
"41",41,12959.5,6024.8,12961.098268921,6029.53767205031
"42",42,12678.4,6085.8,12676.222183906,6090.30079071505
"43",43,12629.5,5871.3,12632.4452321214,5875.34049597839
"44",44,13010.5,6002.8,13009.0187454223,6007.5755507406
"45",45,12651.3,5849.6,12649.4127574189,5854.23015285276
"46",46,12675.4,6722.5,12675.7689534891,6727.48636875119
"47",47,12681.3,6306.5,12683.1808205775,6311.13276526009
"48",48,12780.6,6704.1,12780.8395245671,6709.09425950284
"49",49,12820,6820.2,12824.0244230612,6823.16715672399
"50",50,12591.6,6519.9,12592.9316924683,6524.71939780158
