"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"174286",1,"J-9",8822.3,4810.9,32.1571,20.6461,0.948,1,7.2642,5.8613,87.4925150412817
"174287",2,"J-9",7865.5,4889.8,40.8221,23.0863,0.9625,1,7.7348,6.8909,101.561184730473
"174288",3,"J-9",8252.9,4827.5,31.2447,20.3342,0.9496,1,6.8128,6.1269,32.7901984700461
"174289",4,"J-9",8366.8,4806.5,35.3722,21.7685,0.938,1,7.8265,5.8738,110.316091377622
"174290",5,"J-9",8129.3,5015.8,36.8123,21.9605,0.9592,1,7.528,6.3785,59.609387780579
"174291",6,"J-9",8143,4685.9,34.1124,21.3442,0.9409,1,7.686,5.859,89.4514878760717
"174292",7,"J-9",8718.2,4694.9,37.0484,21.9919,0.9626,1,7.3453,6.7435,83.6318410667299
"174293",8,"J-9",8578.2,4383.1,34.7664,21.6907,0.9286,1,7.9486,5.6943,92.7907302530918
"174294",9,"J-9",8791.7,4590.7,36.4938,21.9133,0.955,1,7.6764,6.0745,83.6627028904349
"174295",10,"J-9",7979.3,4664.7,35.5165,21.8413,0.9356,1,7.9662,5.7841,80.0249994249218
"174296",11,"J-9",8543.5,4813.4,31.3501,20.3504,0.9513,1,7.1306,5.8978,33.827778800093
"174297",12,"J-9",8588.6,4875.6,33.8129,21.1224,0.9524,1,7.3057,6.1829,326.422121099379
"174298",13,"J-9",8431.6,4443.3,32.7428,20.8998,0.942,1,7.4437,5.6873,85.013894439474
"174299",14,"J-9",8116.9,5229.6,40.9171,23.9057,0.8997,1,9.0749,5.9541,95.9773564593293
"174300",15,"J-9",8396.8,5045.9,32.4689,20.7671,0.9461,1,7.2484,6.0722,239.188332054401
"174301",16,"J-9",8462.1,4764.1,35.9145,22.0408,0.929,1,8.0447,5.9668,61.0321695744703
"174302",17,"J-9",8148.1,4680.3,28.4896,19.3947,0.9518,1,6.6339,5.7302,86.7896369348747
"174303",18,"J-9",8446.8,4988.8,34.792,21.9112,0.9107,1,8.2218,5.4408,91.7662590450293
