"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"119271",1,"K-2",19030,3298.7,51.7845,25.9978,0.9628,1,9.0376,7.4965,108.28789215008
"119272",2,"K-2",18440.3,3643.5,40.4196,23.1495,0.9478,1,8.2539,6.3209,96.113570529601
"119273",3,"K-2",18870.5,3240.9,31.5835,20.514,0.9431,1,7.0684,6.0831,148.230690918492
"119274",4,"K-2",19208.4,3304,28.1864,19.4224,0.939,1,6.868,5.4329,130.894008232254
"119275",5,"K-2",19145.3,3542.7,37.9018,22.4081,0.9486,1,7.8046,6.2551,87.5363556362003
"119276",6,"K-2",19037.3,3290,62.4262,28.2589,0.9823,1,9.4873,8.6775,79.7444992654713
"119277",7,"K-2",18616.3,3484.8,26.9144,19.0493,0.9321,1,6.8897,5.3079,247.745103221133
"119278",8,"K-2",18729.2,3608.7,40.8727,23.0839,0.9639,1,7.9834,6.6124,91.288743950908
"119279",9,"K-2",19232.6,3298.4,36.5095,22.0405,0.9444,1,7.4837,6.4265,90.129325582763
"119280",10,"K-2",19074,3689.2,42.1233,23.6449,0.9468,1,8.4944,6.7088,88.8988785653983
"119281",11,"K-2",18719,3664.5,40.4581,23.2067,0.944,1,8.3865,6.0533,110.9849835551
"119282",12,"K-2",19215.5,3221,61.0658,28.1555,0.968,1,9.4563,8.6306,93.3051051593592
"119283",13,"K-2",18532.6,3639.2,46.4248,24.6234,0.9622,1,8.5518,6.9946,111.936123094199
"119284",14,"K-2",18394.6,3861.9,35.6788,22.4553,0.8892,1,8.7986,5.3851,91.4924307844454
"119285",15,"K-2",18884.6,3543.6,32.6685,21.0269,0.9285,1,7.6851,5.4843,89.3115926432472
"119286",16,"K-2",18774.4,3203.6,36.2062,21.829,0.9548,1,7.4792,6.3333,167.311602233347
"119287",17,"K-2",18531.2,3468.3,39.5866,23.1211,0.9306,1,8.3651,5.9495,124.725395244375
"119288",18,"K-2",19184.2,3643.2,32.2735,20.7754,0.9396,1,7.5066,5.6162,79.8993252006186
"119289",19,"K-2",18897.6,3689.6,41.574,23.341,0.9589,1,8.1593,6.6796,67.531119041557
"119290",20,"K-2",19441.2,3675.8,140.7021,42.9465,0.9586,1,15.3843,12.1495,102.024981588951
"119291",21,"K-2",18767.6,3143.6,33.728,21.0514,0.9564,1,7.0107,6.408,35.5201753976181
"119292",22,"K-2",19079.2,3558.3,39.7139,22.9161,0.9503,1,8.0401,6.4314,62.7160458944823
"119293",23,"K-2",18547.1,3712.2,73.5802,30.9213,0.9671,1,10.7712,8.874,61.9216942196352
"119294",24,"K-2",18863.9,3234.3,44.3336,24.7045,0.9128,1,8.8188,6.9023,65.2553943382839
"119295",25,"K-2",18730.5,3470.8,57.8177,28.9398,0.8675,0.9907,11.3107,6.7811,5.21782356410812
"119296",26,"K-2",18551.9,3530.2,26.4287,18.9194,0.9278,1,6.6738,5.0801,95.6166149101539
"119297",27,"K-2",19039.8,3303.9,58.9868,28.0443,0.9425,1,9.806,7.3283,99.4815861706204
"119298",28,"K-2",19055.9,3923.6,46.0981,24.8024,0.9417,1,9.1457,6.6452,110.263780526269
"119299",29,"K-2",18999.5,3369.7,36.5874,22.0149,0.9487,1,7.7609,6.2684,112.541307792265
"119300",30,"K-2",19242.2,3183.6,26.2204,18.6987,0.9424,1,6.472,5.1971,29.4831322238038
"119301",31,"K-2",19376.3,3321.7,35.5068,21.8567,0.934,1,7.5885,6.3925,46.8894504964835
"119302",32,"K-2",19087.7,3269,56.5773,27.8525,0.9165,1,10.3604,6.7957,92.8131851751891
"119303",33,"K-2",18665,3719.6,75.1706,32.2001,0.9111,1,12.3591,7.9816,106.737869738159
"119304",34,"K-2",19127,3534.5,36.9494,22.3993,0.9254,1,8.27,5.9607,93.8776562050687
"119305",35,"K-2",19357.3,3333.5,24.2193,18.1192,0.927,1,6.465,4.7265,81.6220637495457
"119306",36,"K-2",19165.2,3937.9,29.2699,19.9332,0.9257,1,7.3936,5.2546,92.32978511185
"119307",37,"K-2",19273,3529.1,43.835,24.0997,0.9484,1,8.4735,6.7997,114.275250495217
"119308",38,"K-2",19002,3944.4,28.1178,19.5289,0.9265,1,7.0622,5.261,86.4639995745875
"119309",39,"K-2",18876.4,3092.3,40.4846,23.282,0.9386,1,8.3473,6.2308,87.0197556893097
"119310",40,"K-2",18870.6,3961.2,22.5486,17.3163,0.945,1,6.1637,4.9786,66.7290554082053
"119311",41,"K-2",19429.2,3670,63.7208,29.4987,0.9202,1,10.507,8.3261,60.723631166552
"119312",42,"K-2",18953.1,3965.5,45.2842,24.4539,0.9516,1,8.4893,7.1586,112.367121670918
"119313",43,"K-2",18735.6,3190.5,40.2968,23.0826,0.9504,1,8.1785,6.4628,242.643234574353
"119314",44,"K-2",19143.3,3567.2,41.3636,23.33,0.955,1,8.0582,6.5837,11.684022802304
"119315",45,"K-2",18563.2,3189.7,30.3251,20.6247,0.8959,1,7.715,5.0519,95.8580225740594
"119316",46,"K-2",18835.4,3341.2,27.523,19.1025,0.9478,1,6.4958,5.5119,169.275393984487
"119317",47,"K-2",18577.4,3822,60.9861,28.3164,0.9558,1,9.9978,7.8184,155.858817150073
"119318",48,"K-2",18429.5,3494,44.7807,24.4161,0.9439,1,8.4276,7.5212,64.9429031932969
"119319",49,"K-2",19019.1,3175.5,113.0268,38.4056,0.9629,1,13.2638,10.6679,86.1761714405516
"119320",50,"K-2",18864,3514.5,33.5856,21.5814,0.9062,1,7.9977,5.6152,106.178517907008
"119321",51,"K-2",19356.6,3738.8,55.2432,28.5183,0.8536,1,11.2599,6.8082,117.887283998682
"119322",52,"K-2",18655.6,3720.6,46.9839,24.8668,0.9548,1,8.8606,6.7608,57.655323071422
"119323",53,"K-2",19282.7,3632.8,43.4473,23.7757,0.9658,1,7.897,7.2856,30.1323341652012
"119324",54,"K-2",18959.1,3309.2,26.6735,18.8478,0.9436,1,6.6885,5.2983,110.333898413549
"119325",55,"K-2",19393,3666.4,56.4475,27.2015,0.9587,1,9.3279,8.1862,67.0451636203688
"119326",56,"K-2",18589.1,3464.2,30.1624,20.019,0.9458,1,6.9022,5.6114,96.6345952506102
"119327",57,"K-2",18829.7,3538.1,58.7979,27.9562,0.9454,1,9.8718,7.6301,74.1923902544931
"119328",58,"K-2",19225.5,3754.6,27.4789,19.2526,0.9316,1,6.984,5.1001,89.3266478152413
"119329",59,"K-2",19206.3,3683.8,43.4711,23.9741,0.9504,1,8.3505,6.9098,86.8449467318075
"119330",60,"K-2",19308,3673.5,32.2766,20.7421,0.9427,1,7.4229,5.7603,88.691380805228
"119331",61,"K-2",19145.9,3586.3,27.3429,18.9684,0.955,1,6.327,5.7315,104.717490747658
"119332",62,"K-2",18604.7,3449,35.1991,21.5676,0.9509,1,7.526,6.1349,89.2070117051198
"119333",63,"K-2",19148.7,3835.3,30.6308,20.2268,0.9408,1,7.1779,5.5257,123.754512101395
"119334",64,"K-2",19338.7,3742,46.588,25.5634,0.8959,1,9.6607,6.0272,110.824574006957
"119335",65,"K-2",18570.5,3623.4,33.5748,21.9057,0.8792,1,8.6244,5.5614,112.343384073074
"119336",66,"K-2",19045.9,3448.5,22.5748,17.2801,0.95,1,6.0594,4.9361,35.4012680709135
"119337",67,"K-2",19182.1,3963.1,41.8686,23.5158,0.9514,1,8.2005,6.9292,320.113255528224
"119338",68,"K-2",18816.1,4158.5,51.1823,26.2305,0.9348,1,9.4859,6.6692,95.9272501838562
"119339",69,"K-2",19026.7,3874.6,36.2408,21.9784,0.9428,1,7.9652,6.109,95.0154403703447
"119340",70,"K-2",18867.5,3681.1,38.9769,23.1322,0.9153,1,8.676,5.7867,82.1255180584134
"119341",71,"K-2",18404,3888.1,29.2969,19.6966,0.949,1,6.8486,5.6482,192.784403846582
"119342",72,"K-2",19090.9,3283.1,23.4785,17.5587,0.957,1,5.812,5.2872,72.2857428953022
"119343",73,"K-2",19026.3,3861.8,58.1492,28.4048,0.9057,1,10.8201,7.0327,91.3045108054311
"119344",74,"K-2",18883.4,3049.3,40.367,23.0371,0.9558,1,8.026,6.5659,161.437020394241
"119345",75,"K-2",19386.1,3689.6,28.1387,19.3681,0.9426,1,6.739,5.7157,59.890551854109
"119346",76,"K-2",18847.2,3745,16.9041,14.958,0.9494,1,5.0429,4.4349,86.922253449112
