"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,9372.8,3237.6,9370.76559191554,3242.16740448678
"2",2,10225.3,3316.4,10223.4746593134,3321.0549040138
"3",3,9727.6,3291.9,9727.46619736637,3296.89820936489
"4",4,10157.6,3462.1,10160.4803797257,3466.18698087052
"5",5,9846.8,3663,9848.8669320498,3667.55277848149
"6",6,9931.7,2796.1,9932.71497659258,2800.99589854026
"7",7,10175.1,2755.9,10178.8345265329,2759.22465209837
"8",8,10151.6,3345.7,10153.3807887506,3350.37212921758
"9",9,9948.7,3538.7,9945.07944149033,3542.1484135596
"10",10,9704.8,3427.5,9703.95347081641,3432.42781780724
"11",11,9812.5,3687.4,9816.13177900638,3690.836594426
"12",12,10107.3,3145.5,10104.5276986146,3141.33894904757
"13",13,9591.2,2911.2,9591.86933290217,2916.15499681797
"14",14,9937.7,2963.7,9938.1595692308,2968.67883481571
"15",15,9968.2,3236.8,9969.07852474491,3241.72221436678
"16",16,10231.5,3451.9,10233.9783868768,3456.24253364856
"17",17,9637.6,3070.3,9641.84850863538,3072.93631833721
"18",18,9778.7,2864.9,9778.28481261857,2869.88273212588
"19",19,9834,3471.7,9831.36609288789,3475.95000392056
"20",20,10293.7,3524.7,10294.0357077886,3529.68871729813
"21",21,9906,3000.2,9906.46022642501,3005.17877410993
"22",22,9883.2,2810.6,9888.09132291238,2811.63680285825
"23",23,10047.3,3212.2,10051.6293574136,3214.70133252187
"24",24,9931.2,3344.3,9934.74155392527,3347.8295036187
"25",25,10031.1,2888.1,10033.2513677944,2892.61349272882
"26",26,10049.9,2610.7,10050.1238207196,2615.69498791645
"27",27,9529.3,2909.1,9529.46347237162,2914.09732696386
"28",28,9784.6,2844.3,9788.62672191263,2847.26403620732
"29",29,9885.2,3447.5,9884.67004001732,3452.47183491447
"30",30,10035.1,2901,10031.860399223,2904.80854129629
"31",31,9940.4,3193,9939.76142575854,3197.95905464158
"32",32,9593.8,3585.3,9598.73029821598,3586.13196123799
"33",33,9867.2,3006,9863.87298481541,3009.73242146086
"34",34,9913.7,3514.2,9913.25195007294,3519.17988466361
"35",35,9917.5,3300.8,9914.30136861137,3296.95698591732
"36",36,9961.2,3182.7,9965.54257577666,3185.17831306012
"37",37,9865.7,3434.6,9863.49577859442,3439.08791800228
"38",38,9474.1,3211.5,9471.68702614983,3215.8792187886
"39",39,10130.3,2991.1,10134.946726546,2992.94605861403
"40",40,10359.7,2885.4,10361.5257091482,2890.05475951109
"41",41,10106,2625,10109.2207664743,2628.82448209802
"42",42,10226.8,3512.3,10223.7706407907,3516.27781130534
"43",43,9513.2,3296.3,9516.82039061969,3299.74858982207
"44",44,9778.5,3139.3,9782.6063262208,3142.15273289467
"45",45,10004.1,2716.7,10006.1986687408,2721.23823638835
"46",46,9606.9,2850.3,9609.80206957782,2854.37160805647
"47",47,10311.9,3068.9,10311.7882646466,3073.89875136517
"48",48,10201.6,2981.1,10196.8801066763,2982.75003242785
