"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"36432",1,"L-6",13500,1441,288.7475,75.5675,0.6354,0.8957,29.1319,16.3494,177.180645466918
"36433",2,"L-6",13496.3,1375.6,265.1987,62.3755,0.8566,0.9852,23.2527,15.5047,105.342097564631
"36434",3,"L-6",12680.1,1511.2,33.0012,20.8123,0.9574,1,7.1243,6.0835,86.1381677229615
"36435",4,"L-6",12801.6,1228.5,45.714,24.3298,0.9705,1,8.1038,7.1264,110.114113435204
"36436",5,"L-6",12936.2,1538.2,54.5148,26.5619,0.971,1,8.9674,7.8141,76.1104565677549
"36437",6,"L-6",12459.2,1293.7,58.8631,27.6353,0.9686,1,9.3727,7.9829,76.0946968534502
"36438",7,"L-6",12809.9,1412.2,39.0204,22.6931,0.9522,1,7.7838,6.6311,52.7780897216028
"36439",8,"L-6",12395.4,1707.5,91.4068,34.602,0.9594,1,12.4216,9.5378,85.4783496607266
"36440",9,"L-6",13417.2,1499,39.1788,22.8668,0.9416,1,8.1177,6.216,90.3750356353374
"36441",10,"L-6",12910.8,1584.4,38.175,22.2915,0.9654,1,7.4298,6.5404,53.0834022126603
"36442",11,"L-6",12867.6,1904.1,35.7297,21.8986,0.9363,1,7.8191,6.0429,51.5889074528581
"36443",12,"L-6",12619.2,2014.1,31.6515,20.4612,0.95,1,7.223,5.8104,88.4503462528535
"36444",13,"L-6",13172.3,1145,34.4044,21.2037,0.9616,1,7.0343,6.3712,115.024603365076
"36445",14,"L-6",12779.5,1190.3,32.9755,20.9012,0.9485,1,7.0619,6.2281,115.047166903621
"36446",15,"L-6",13151.3,1971,32.1761,20.6227,0.9507,1,7.0323,6.0666,100.409208176218
"36447",16,"L-6",12627.6,1916.7,35.2183,21.4755,0.9596,1,7.3033,6.3115,61.5456104963457
"36448",17,"L-6",12695.9,1667.1,30.6198,20.1011,0.9523,1,6.987,5.8781,157.414365779086
"36449",18,"L-6",13396.7,1598.1,48.316,25.0578,0.967,1,8.3255,7.3925,124.762846378696
"36450",19,"L-6",12898.9,1783.2,60.1315,27.9092,0.9701,1,9.4209,8.3676,198.154320133919
"36451",20,"L-6",13086.3,1608.9,42.5359,23.703,0.9514,1,8.2345,6.6324,107.300862665188
"36452",21,"L-6",13334.4,1915.6,38.031,22.3744,0.9547,1,7.4785,6.8052,74.5540066542987
"36453",22,"L-6",13298,1701,32.0406,20.5225,0.956,1,6.8919,6.0705,138.28275562161
"36454",23,"L-6",13473.6,1551.7,51.5235,25.7794,0.9742,1,8.5294,7.7262,79.9248438168383
"36455",24,"L-6",13025.5,2030.2,33.8959,21.0803,0.9585,1,7.2644,6.1425,74.4550923903887
"36456",25,"L-6",13122.2,1470.9,27.9715,19.2421,0.9493,1,6.4219,5.8076,241.533647297062
"36457",26,"L-6",12496.1,1576.4,34.2045,21.2889,0.9484,1,7.356,6.1286,41.4636126311547
"36458",27,"L-6",12988.8,1643.2,52.2777,26.0455,0.9684,1,9.0691,7.6837,76.7702170555762
"36459",28,"L-6",12808.9,2097.8,35.2652,21.5867,0.951,1,7.4301,6.3536,119.980393170653
"36460",29,"L-6",12794.7,1600.1,49.5412,25.2749,0.9745,1,8.3411,7.5419,85.905203985462
"36461",30,"L-6",12705.3,1142.5,46.0975,24.635,0.9545,1,8.5575,7.0313,89.9214152419513
"36462",31,"L-6",12908.6,1468.9,31.7946,20.4972,0.951,1,6.8248,6.1582,25.4641201545458
"36463",32,"L-6",13394.7,1938.2,35.2629,21.5746,0.952,1,7.5644,6.1295,46.0293310860272
"36464",33,"L-6",13482.3,1760,31.3876,20.3412,0.9533,1,6.9199,5.9276,108.100339109195
"36465",34,"L-6",13408.9,1882.5,34.9556,21.4018,0.959,1,7.1554,6.2567,54.6989173185949
"36466",35,"L-6",12980.1,2003.6,35.3313,21.5922,0.9523,1,7.1186,6.5078,29.9996074269422
"36467",36,"L-6",12705,1682.9,47.6829,24.8834,0.9677,1,8.3526,7.5374,26.7278612587737
"36468",37,"L-6",12937.3,1468,30.7025,20.1946,0.946,1,6.8876,5.945,45.4921286787472
"36469",38,"L-6",12999.9,1985.2,33.6205,21.1167,0.9475,1,7.155,6.2175,23.3388990036059
"36470",39,"L-6",12824.5,1588.9,53.1103,26.435,0.9551,1,9.308,7.4694,79.0931077729797
"36471",40,"L-6",12833.4,1668.7,33.3071,20.9515,0.9535,1,7.3149,5.9843,105.50146815995
"36472",41,"L-6",13376.6,1398.4,36.8947,21.9894,0.9588,1,7.2966,6.5692,145.378726671153
"36473",42,"L-6",13105.4,1076.6,23.0709,17.5061,0.946,1,5.9512,5.2136,226.996294555265
"36474",43,"L-6",13308.1,1784.2,37.1354,22.0244,0.962,1,7.3421,6.6662,89.0769710594153
"36475",44,"L-6",13355.7,1890.5,41.4067,23.4357,0.9474,1,8.0297,6.5359,107.385557237513
"36476",45,"L-6",12667.1,1434.4,37.4794,22.1312,0.9616,1,7.6557,6.4042,98.3454977179455
"36477",46,"L-6",13383,1639,35.9186,21.7291,0.956,1,7.2197,6.5571,39.8707066386466
"36478",47,"L-6",13151.6,1910.5,34.7303,21.3167,0.9605,1,7.1972,6.1511,94.8956805591318
"36479",48,"L-6",12502.8,1535.3,35.5015,21.5903,0.9571,1,7.4563,6.2612,66.1500696855812
"36480",49,"L-6",13075.2,1036.9,30.6319,20.234,0.9402,1,7.0209,5.6918,88.5145127634289
"36481",50,"L-6",13439.7,1768.2,32.1235,20.6272,0.9488,1,7.1467,5.8941,51.2573959708343
"36482",51,"L-6",12881.3,1365.8,35.6278,21.6901,0.9517,1,7.4741,6.3429,96.9036100895341
"36483",52,"L-6",12798.5,1893.5,27.0747,19.0263,0.9399,1,6.5751,5.4015,249.655613967315
"36484",53,"L-6",12574.3,1955.8,28.1705,19.3099,0.9494,1,6.4875,5.6892,21.7608336676455
"36485",54,"L-6",13178.9,1138.8,32.2476,20.6307,0.9521,1,6.8459,6.2943,102.55770285135
"36486",55,"L-6",13311.3,1851.3,32.4202,20.5762,0.9623,1,6.7666,6.2175,98.5790539033555
"36487",56,"L-6",13177.9,1886.1,38.9986,22.6149,0.9582,1,7.5892,6.6928,146.047534899119
"36488",57,"L-6",12840.3,2124.6,38.1931,22.4793,0.9498,1,7.698,6.3481,116.753929324298
"36489",58,"L-6",12612.6,1165.1,50.0238,25.8374,0.9416,1,9.3979,6.6789,95.8800544478294
"36490",59,"L-6",13328.1,1471.5,42.6251,23.5601,0.965,1,7.9248,7.019,79.6723354965634
"36491",60,"L-6",12890.3,1487.4,32.2931,20.6097,0.9554,1,6.8485,6.1446,32.8423986602658
"36492",61,"L-6",12619.9,1273.3,38.8956,22.7141,0.9474,1,8.1041,6.1607,98.9180683291661
"36493",62,"L-6",13012.8,1291.9,27.2523,18.952,0.9535,1,6.5114,5.611,81.1289230846912
"36494",63,"L-6",12816.3,1419.7,40.9163,23.0442,0.9682,1,7.6481,6.8926,39.3269352210127
"36495",64,"L-6",12646.1,1163.9,35.9187,21.7374,0.9552,1,7.3465,6.3962,44.6943762001115
"36496",65,"L-6",13064.4,1875.1,25.3275,18.4321,0.9368,1,6.6339,5.2184,245.78331549267
"36497",66,"L-6",12979.9,1884.1,25.9527,18.4808,0.9549,1,6.1683,5.6171,95.4138836001579
"36498",67,"L-6",13165,1876.1,23.2046,17.5503,0.9467,1,6.0677,4.879,81.6308961753075
"36499",68,"L-6",12734.9,1851.8,29.345,19.6728,0.9528,1,6.8257,5.5243,23.9381863011119
"36500",69,"L-6",12945.1,1122.8,26.6277,18.7124,0.9556,1,6.3589,5.5701,81.0816952022145
"36501",70,"L-6",12648.5,1964.8,41.2589,23.1744,0.9654,1,7.7718,6.9531,86.8537420795873
"36502",71,"L-6",12683.3,1894.2,34.9174,21.4205,0.9563,1,7.2442,6.3251,99.6098086644544
"36503",72,"L-6",12650.4,1749.1,34.0768,21.2226,0.9508,1,7.1067,6.3812,27.4925678657038
"36504",73,"L-6",12811.1,1857.7,40.2987,22.9164,0.9643,1,7.6815,6.6751,86.7321576702657
