"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",13896.10918,1643.56172,1
"2",13894.83344,1644.82838,1
"3",13894.41122,1647.69766,1
"4",13896.0547,1649.54544,1
"5",13898.59256,1649.5636,1
"6",13899.56412,1648.73732,1
"7",13900.13162,1646.49456,1
"8",13899.97726,1645.39134,1
"9",13898.50176,1643.6389,1
"10",13896.10918,1643.56172,1
"11",13667.3749,1831.22262,2
"12",13665.89032,1832.28498,2
"13",13665.13668,1833.89668,2
"14",13665.00048,1835.57194,2
"15",13665.41816,1837.12916,2
"16",13667.49748,1839.6307,2
"17",13669.17728,1840.26176,2
"18",13671.03868,1840.06654,2
"19",13672.50964,1838.9043,2
"20",13673.22696,1837.25174,2
"21",13673.3223,1835.57194,2
"22",13673.05898,1833.96478,2
"23",13672.15552,1832.5937,2
"24",13669.17728,1831.24078,2
"25",13667.3749,1831.22262,2
"26",14020.62322,1601.9163,3
"27",14018.76636,1603.01952,3
"28",14017.39982,1604.77196,3
"29",14016.64618,1606.97386,3
"30",14017.34534,1609.19846,3
"31",14018.30782,1609.92032,3
"32",14021.02274,1611.0644,3
"33",14025.88054,1611.70454,3
"34",14028.93142,1611.12342,3
"35",14030.26618,1610.09738,3
"36",14030.57944,1608.53562,3
"37",14030.15722,1606.97386,3
"38",14027.9644,1604.7992,3
"39",14026.23012,1603.46444,3
"40",14022.7207,1602.03888,3
"41",14020.62322,1601.9163,3
"42",13627.10964,1246.60228,4
"43",13624.6081,1246.61136,4
"44",13622.44706,1248.21852,4
"45",13622.04754,1249.63046,4
"46",13622.25638,1251.12412,4
"47",13624.44012,1253.04908,4
"48",13627.21406,1252.90834,4
"49",13628.3536,1252.12746,4
"50",13629.02098,1250.94252,4
"51",13629.05276,1249.63046,4
"52",13628.7395,1248.43644,4
"53",13627.10964,1246.60228,4
"54",14053.116,1880.79942,5
"55",14051.21374,1881.13084,5
"56",14049.88806,1882.50192,5
"57",14049.2116,1884.11362,5
"58",14049.17982,1887.36426,5
"59",14049.98794,1888.85792,5
"60",14051.29092,1890.14274,5
"61",14053.116,1890.71024,5
"62",14054.91384,1890.0701,5
"63",14056.22136,1888.83522,5
"64",14056.96592,1887.3234,5
"65",14057.10212,1885.72986,5
"66",14056.89328,1884.1681,5
"67",14054.8866,1881.46226,5
"68",14053.116,1880.79942,5
"69",13714.01432,1072.6885,6
"70",13712.75674,1072.7112,6
"71",13710.55484,1074.31836,6
"72",13710.05544,1075.753,6
"73",13710.23704,1077.31476,6
"74",13712.53882,1079.32144,6
"75",13714.01432,1079.74366,6
"76",13715.49436,1079.3169,6
"77",13716.52948,1078.26362,6
"78",13717.37846,1075.753,6
"79",13717.18324,1074.44094,6
"80",13716.23892,1073.5284,6
"81",13714.01432,1072.6885,6
"82",13998.94472,1832.8661,7
"83",13996.87902,1832.87064,7
"84",13995.06756,1833.47446,7
"85",13993.7782,1834.7502,7
"86",13992.9383,1836.22116,7
"87",13992.53424,1839.64886,7
"88",13993.19708,1841.53296,7
"89",13994.74068,1843.00846,7
"90",13996.87902,1843.21276,7
"91",13998.67686,1842.18672,7
"92",14001.0195,1839.56714,7
"93",14002.00014,1837.85102,7
"94",14002.24984,1835.62642,7
"95",14001.0422,1833.68784,7
"96",13998.94472,1832.8661,7
"97",14211.95698,1799.00678,8
"98",14210.43154,1799.37452,8
"99",14208.52474,1801.62636,8
"100",14208.43848,1804.50472,8
"101",14209.08316,1805.9212,8
"102",14210.26356,1807.12884,8
"103",14211.95698,1807.65094,8
"104",14213.70942,1807.28774,8
"105",14215.06234,1806.15728,8
"106",14215.8069,1804.64546,8
"107",14215.97034,1803.04738,8
"108",14215.7161,1801.49016,8
"109",14214.90344,1800.10092,8
"110",14213.5596,1799.17476,8
"111",14211.95698,1799.00678,8
"112",14439.17036,1483.24524,9
"113",14437.59498,1484.69804,9
"114",14436.96846,1486.61392,9
"115",14436.80502,1488.4163,9
"116",14437.14552,1490.1415,9
"117",14438.18972,1491.53982,9
"118",14439.6289,1492.4796,9
"119",14441.31324,1492.78378,9
"120",14443.02482,1492.54316,9
"121",14444.5321,1491.63062,9
"122",14445.60354,1490.19144,9
"123",14446.09386,1488.4163,9
"124",14445.88956,1486.51858,9
"125",14444.72732,1485.00222,9
"126",14441.31324,1483.25886,9
"127",14439.17036,1483.24524,9
"128",14560.63352,1639.00356,10
"129",14559.48944,1639.17154,10
"130",14557.5554,1640.66066,10
"131",14557.40104,1643.27116,10
"132",14559.21704,1645.34594,10
"133",14560.63352,1645.7046,10
"134",14562.06362,1645.3868,10
"135",14563.12144,1644.41978,10
"136",14563.5482,1641.93186,10
"137",14562.21344,1639.56652,10
"138",14560.63352,1639.00356,10
"139",13986.99998,1066.28256,11
"140",13984.6528,1066.29164,11
"141",13982.71876,1067.66726,11
"142",13981.87432,1069.8283,11
"143",13981.85616,1071.95302,11
"144",13982.44182,1073.84166,11
"145",13983.50418,1075.44428,11
"146",13985.02962,1076.7064,11
"147",13986.99998,1077.42372,11
"148",13989.34716,1077.62348,11
"149",13991.49458,1076.44308,11
"150",13992.31632,1074.15492,11
"151",13991.98944,1071.95302,11
"152",13990.47762,1068.47538,11
"153",13989.02028,1067.07252,11
"154",13986.99998,1066.28256,11
"155",14211.19426,1970.48258,12
"156",14209.5871,1970.7686,12
"157",14208.44756,1971.9036,12
"158",14207.8165,1973.25198,12
"159",14207.88914,1976.01684,12
"160",14209.66428,1978.34132,12
"161",14211.19426,1978.72722,12
"162",14212.77872,1978.46844,12
"163",14214.01814,1977.46964,12
"164",14214.513,1976.02138,12
"165",14214.35864,1974.6503,12
"166",14214.04084,1973.4699,12
"167",14212.66976,1971.0864,12
"168",14211.19426,1970.48258,12
"169",14094.6116,1579.08918,13
"170",14091.87852,1579.22084,13
"171",14089.59036,1580.1697,13
"172",14087.847,1581.66336,13
"173",14086.43052,1583.4385,13
"174",14085.51798,1585.69488,13
"175",14085.4408,1588.35986,13
"176",14086.51678,1591.05208,13
"177",14088.982,1592.68194,13
"178",14091.87852,1592.60476,13
"179",14094.17576,1591.24276,13
"180",14097.27658,1587.92856,13
"181",14098.0847,1585.69488,13
"182",14098.41612,1582.9845,13
"183",14097.30836,1580.2605,13
"184",14094.6116,1579.08918,13
"185",14148.05648,2012.91796,14
"186",14145.24168,2013.17674,14
"187",14143.29856,2015.08354,14
"188",14142.89904,2016.45008,14
"189",14143.11696,2017.88926,14
"190",14145.20082,2019.81876,14
"191",14146.5946,2020.06846,14
"192",14147.9339,2019.67348,14
"193",14149.67272,2017.72128,14
"194",14150.15396,2016.45008,14
"195",14150.2039,2014.95188,14
"196",14149.41394,2013.63074,14
"197",14148.05648,2012.91796,14
"198",14405.59252,1547.64514,15
"199",14404.05346,1547.77226,15
"200",14402.84128,1548.73928,15
"201",14402.32826,1550.14214,15
"202",14402.70508,1552.68908,15
"203",14404.34856,1554.50054,15
"204",14407.009,1554.90914,15
"205",14408.2121,1554.1101,15
"206",14408.9385,1551.49506,15
"207",14408.67064,1550.21932,15
"208",14406.99084,1548.12638,15
"209",14405.59252,1547.64514,15
"210",13733.61804,1391.18312,16
"211",13731.49332,1391.4192,16
"212",13729.87254,1392.39076,16
"213",13727.91126,1394.8242,16
"214",13727.2575,1398.06122,16
"215",13728.03838,1399.76372,16
"216",13729.61376,1400.84878,16
"217",13731.49332,1401.07124,16
"218",13733.2049,1400.43564,16
"219",13735.48852,1397.96134,16
"220",13736.02878,1396.30878,16
"221",13736.06964,1394.4156,16
"222",13735.33416,1392.47248,16
"223",13733.61804,1391.18312,16
"224",14131.39468,1493.94148,17
"225",14129.46518,1494.39548,17
"226",14128.15766,1495.8165,17
"227",14125.87404,1499.05352,17
"228",14125.83772,1501.35984,17
"229",14126.51872,1502.31324,17
"230",14128.46184,1503.44824,17
"231",14131.39468,1503.87046,17
"232",14133.23792,1503.50272,17
"233",14135.0176,1502.67644,17
"234",14136.64292,1501.22818,17
"235",14137.14232,1499.05352,17
"236",14136.37052,1496.9969,17
"237",14133.3378,1494.36824,17
"238",14131.39468,1493.94148,17
"239",14416.23428,1354.57256,18
"240",14414.28662,1355.1219,18
"241",14412.8429,1356.4385,18
"242",14411.8668,1358.01842,18
"243",14411.549,1359.82988,18
"244",14411.7306,1362.83536,18
"245",14412.8429,1364.9056,18
"246",14413.93704,1365.37322,18
"247",14416.23428,1365.08266,18
"248",14419.61204,1363.20764,18
"249",14420.67894,1361.66858,18
"250",14420.83784,1359.82988,18
"251",14420.46102,1358.07744,18
"252",14419.64382,1356.42034,18
"253",14418.24096,1354.9857,18
"254",14416.23428,1354.57256,18
"255",13744.41416,1391.37834,19
"256",13742.6481,1392.04572,19
"257",13741.66746,1393.55754,19
"258",13740.56878,1397.90232,19
"259",13740.89566,1399.82728,19
"260",13742.49374,1400.94866,19
"261",13744.41416,1400.85332,19
"262",13747.64664,1399.53672,19
"263",13748.60004,1398.04306,19
"264",13748.76348,1396.30878,19
"265",13747.5967,1393.12624,19
"266",13746.2801,1391.80056,19
"267",13744.41416,1391.37834,19
"268",13635.19084,1611.41398,20
"269",13633.97412,1612.04958,20
"270",13633.26588,1613.23452,20
"271",13633.42932,1615.84502,20
"272",13635.1182,1617.90618,20
"273",13637.73778,1617.57022,20
"274",13639.37218,1615.7633,20
"275",13639.8171,1614.57382,20
"276",13639.83072,1613.19366,20
"277",13638.95904,1612.11314,20
"278",13637.74232,1611.56834,20
"279",13635.19084,1611.41398,20
"280",13774.41902,1548.78014,21
"281",13772.19442,1548.83916,21
"282",13770.49646,1550.33282,21
"283",13770.32394,1552.7254,21
"284",13772.09454,1554.39612,21
"285",13774.38724,1554.12826,21
"286",13775.80826,1551.49506,21
"287",13775.85366,1550.4327,21
"288",13774.41902,1548.78014,21
"289",13919.98504,1104.93158,22
"290",13917.22926,1104.9679,22
"291",13915.16356,1106.852,22
"292",13914.59606,1108.27302,22
