"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",14435.23418,3202.36618,1
"2",14433.114,3203.13344,1
"3",14431.78378,3204.79508,1
"4",14430.98474,3206.48396,1
"5",14430.65786,3208.24548,1
"6",14430.95296,3210.02062,1
"7",14431.90636,3211.5733,1
"8",14433.30014,3212.91714,1
"9",14435.23418,3213.75704,1
"10",14437.38614,3213.44378,1
"11",14439.07502,3212.08632,1
"12",14439.84228,3210.15682,1
"13",14439.9467,3208.24548,1
"14",14439.61528,3206.42948,1
"15",14438.77084,3204.70882,1
"16",14437.36798,3203.10166,1
"17",14435.23418,3202.36618,1
"18",14209.67336,3320.79208,2
"19",14207.93,3320.91466,2
"20",14206.66788,3322.11776,2
"21",14206.17756,3323.67952,2
"22",14206.15486,3326.58512,2
"23",14206.50444,3328.2967,2
"24",14207.76656,3329.74042,2
"25",14209.67336,3329.59514,2
"26",14211.108,3328.5918,2
"27",14212.76964,3326.40806,2
"28",14213.23726,3325.12778,2
"29",14213.2418,3323.64774,2
"30",14212.45184,3322.3493,2
"31",14209.67336,3320.79208,2
"32",14179.27352,2994.32068,3
"33",14177.74808,2994.80646,3
"34",14175.8095,2997.05376,3
"35",14175.6506,2999.99114,3
"36",14176.34522,3001.42124,3
"37",14177.56648,3002.61526,3
"38",14179.27352,3002.92852,3
"39",14180.74448,3002.03868,3
"40",14182.1201,2999.6688,3
"41",14182.38796,2998.4884,3
"42",14181.85678,2995.90968,3
"43",14180.83528,2994.7202,3
"44",14179.27352,2994.32068,3
"45",14043.23696,3371.34952,4
"46",14041.46182,3371.75812,4
"47",14038.79684,3374.20518,4
"48",14038.01142,3376.04842,4
"49",14038.69696,3377.92798,4
"50",14041.62072,3379.94828,4
"51",14043.23696,3380.2343,4
"52",14044.83504,3379.90288,4
"53",14047.21854,3377.69644,4
"54",14047.72248,3376.04842,4
"55",14047.79966,3374.15524,4
"56",14046.9416,3372.34378,4
"57",14045.171,3371.3813,4
"58",14043.23696,3371.34952,4
"59",13729.92248,3064.10956,5
"60",13726.99418,3064.11864,5
"61",13725.90912,3065.09928,5
"62",13725.3507,3066.3614,5
"63",13725.21904,3068.99006,5
"64",13725.76384,3070.34298,5
"65",13726.88522,3071.4462,5
"66",13728.45606,3071.68682,5
"67",13729.84076,3070.9922,5
"68",13730.94398,3069.3124,5
"69",13731.51602,3067.65076,5
"70",13731.67492,3066.316,5
"71",13731.10288,3064.9994,5
"72",13729.92248,3064.10956,5
"73",13869.2006,3200.98602,6
"74",13867.28018,3201.33106,6
"75",13866.10886,3202.87012,6
"76",13865.86824,3204.58624,6
"77",13866.02714,3207.283,6
"78",13867.6116,3209.8027,6
"79",13869.2006,3210.21584,6
"80",13870.77144,3209.75276,6
"81",13871.95638,3208.72218,6
"82",13872.64646,3207.39196,6
"83",13872.75996,3205.9664,6
"84",13872.57382,3204.56808,6
"85",13870.9258,3201.80776,6
"86",13869.2006,3200.98602,6
"87",13887.1563,3054.47568,7
"88",13883.33816,3054.88882,7
"89",13881.69468,3055.81952,7
"90",13878.75276,3058.01234,7
"91",13877.70402,3059.28808,7
"92",13877.58598,3060.79536,7
"93",13878.11716,3062.2073,7
"94",13880.75036,3063.70096,7
"95",13883.17472,3064.08232,7
"96",13887.0201,3063.78268,7
"97",13888.79978,3062.92462,7
"98",13890.10276,3061.33562,7
"99",13890.4478,3059.28808,7
"100",13890.06644,3057.2587,7
"101",13888.9496,3055.50172,7
"102",13887.1563,3054.47568,7
"103",14078.95768,3243.6257,8
"104",14077.60476,3243.7392,8
"105",14076.43344,3244.48376,8
"106",14075.7252,3245.6687,8
"107",14075.2485,3248.54252,8
"108",14075.9068,3250.05888,8
"109",14077.25518,3251.1167,8
"110",14078.95768,3251.38002,8
"111",14080.52852,3250.7989,8
"112",14082.59876,3248.51074,8
"113",14083.0346,3247.00346,8
"114",14082.7168,3245.44624,8
"115",14081.52732,3244.43382,8
"116",14078.95768,3243.6257,8
"117",13980.92092,2830.07256,9
"118",13979.44088,2830.61736,9
"119",13977.73384,2832.86466,9
"120",13977.30708,2835.67946,9
"121",13977.76108,2837.3411,9
"122",13979.07314,2838.63954,9
"123",13980.92092,2838.90286,9
"124",13982.55532,2838.13106,9
"125",13983.53142,2836.7963,9
"126",13984.35316,2834.1858,9
"127",13984.43034,2832.72846,9
"128",13983.91278,2831.1894,9
"129",13982.60072,2830.13158,9
"130",13980.92092,2830.07256,9
"131",13892.40454,2747.01326,10
"132",13890.0846,2747.03142,10
"133",13888.5864,2748.72938,10
"134",13888.541,2750.9449,10
"135",13890.0619,2752.6701,10
"136",13892.35914,2752.52936,10
"137",13894.04802,2750.9903,10
"138",13894.47024,2749.82806,10
"139",13894.31134,2748.55686,10
"140",13892.40454,2747.01326,10
"141",14199.01344,2806.25118,11
"142",14196.1487,2806.56444,11
"143",14194.39626,2808.57112,11
"144",14193.70618,2811.44494,11
"145",14194.09662,2813.28364,11
"146",14195.63568,2814.40502,11
"147",14197.51524,2813.95556,11
"148",14198.82276,2813.02486,11
"149",14200.74772,2809.86502,11
"150",14200.95202,2808.43946,11
"151",14200.34366,2807.0366,11
"152",14199.01344,2806.25118,11
"153",14091.71508,3060.5502,12
"154",14090.19872,3061.40826,12
"155",14089.09096,3062.82474,12
"156",14088.71414,3064.60896,12
"157",14089.22716,3066.3387,12
"158",14091.83766,3068.37716,12
"159",14095.25174,3069.08086,12
"160",14097.0405,3068.25458,12
"161",14098.02114,3066.52484,12
"162",14097.96212,3064.60896,12
"163",14097.37646,3062.96094,12
"164",14096.3822,3061.62164,12
"165",14095.0202,3060.6864,12
"166",14091.71508,3060.5502,12
"167",14171.6781,2856.20026,13
"168",14169.84394,2856.35916,13
"169",14168.49102,2857.59858,13
"170",14167.83272,2859.19212,13
"171",14167.96892,2862.32018,13
"172",14170.17082,2864.41312,13
"173",14171.6781,2864.59018,13
"174",14173.07642,2864.16796,13
"175",14174.94236,2862.13858,13
"176",14175.23746,2860.78566,13
"177",14175.11034,2859.3601,13
"178",14173.2671,2856.94028,13
"179",14171.6781,2856.20026,13
"180",13911.00038,3245.31912,14
"181",13909.27518,3245.87754,14
"182",13907.79968,3248.71958,14
"183",13907.8133,3251.3664,14
"184",13908.27638,3252.76926,14
"185",13909.3796,3253.9542,14
"186",13911.00038,3254.33102,14
"187",13912.54852,3253.77714,14
"188",13913.76524,3252.80558,14
"189",13914.4417,3251.47082,14
"190",13914.36452,3250.04526,14
"191",13912.56668,3246.26344,14
"192",13911.00038,3245.31912,14
"193",14511.99196,3090.84108,15
"194",14510.41658,3091.20428,15
"195",14509.29066,3092.3075,15
"196",14508.67776,3093.63318,15
"197",14508.67322,3096.38442,15
"198",14509.35876,3097.642,15
"199",14510.521,3098.55454,15
"200",14513.699,3099.13112,15
"201",14515.46052,3098.47736,15
"202",14516.423,3096.84296,15
"203",14516.29134,3095.0088,15
"204",14515.68752,3093.47882,15
"205",14513.56734,3091.20882,15
"206",14511.99196,3090.84108,15
"207",13763.48216,2571.9554,16
"208",13760.32232,2571.99172,16
"209",13759.05566,2572.94966,16
"210",13758.34288,2574.3162,16
"211",13758.5835,2577.16278,16
"212",13760.43128,2579.31928,16
"213",13763.58658,2579.87316,16
"214",13765.02122,2578.91522,16
"215",13765.68406,2577.358,16
"216",13765.74762,2575.7917,16
"217",13764.85324,2572.83162,16
"218",13763.48216,2571.9554,16
"219",14069.07864,3278.07976,17
"220",14067.26264,3278.94236,17
"221",14066.1458,3280.39516,17
"222",14065.31498,3283.328,17
"223",14065.61916,3284.7581,17
"224",14067.46694,3287.21424,17
"225",14069.07864,3287.91794,17
"226",14070.8674,3287.64554,17
"227",14072.11136,3286.36072,17
"228",14072.57898,3283.328,17
"229",14072.638,3280.94904,17
"230",14071.92522,3279.06494,17
"231",14071.14434,3278.33854,17
"232",14069.07864,3278.07976,17
"233",13940.09724,2891.07654,18
"234",13938.8215,2891.64404,18
"235",13937.93166,2892.78812,18
"236",13937.61386,2895.7936,18
"237",13938.46738,2897.1556,18
"238",13939.86116,2897.93648,18
"239",13941.40022,2898.00458,18
"240",13942.72136,2897.40984,18
"241",13944.51012,2895.51212,18
"242",13944.83246,2894.22276,18
"243",13944.5419,2892.92432,18
"244",13943.5658,2892.05718,18
"245",13941.40022,2891.14464,18
"246",13940.09724,2891.07654,18
