"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",6943.57588,5327.67638,1
"2",6941.59644,5329.49238,1
"3",6941.33766,5332.33442,1
"4",6942.17302,5333.58746,1
"5",6943.44876,5334.3638,1
"6",6946.31804,5334.28662,1
"7",6947.48936,5333.4558,1
"8",6948.46546,5330.86346,1
"9",6948.20214,5329.49238,1
"10",6946.18184,5327.7581,1
"11",6943.57588,5327.67638,1
"12",6076.48582,5540.04396,2
"13",6074.52,5542.0915,2
"14",6074.54724,5544.89722,2
"15",6076.563,5546.77224,2
"16",6079.20982,5546.61334,2
"17",6080.9441,5544.75194,2
"18",6081.0576,5543.4989,2
"19",6080.84876,5542.28672,2
"20",6079.2189,5540.36176,2
"21",6076.48582,5540.04396,2
"22",6271.56054,5878.39654,3
"23",6269.34502,5879.62688,3
"24",6268.23272,5881.8424,3
"25",6268.07382,5883.28612,3
"26",6268.87286,5884.52554,3
"27",6270.24394,5885.0204,3
"28",6272.69554,5884.5891,3
"29",6273.53998,5883.82184,3
"30",6274.27546,5881.8424,3
"31",6274.2119,5880.74372,3
"32",6272.82266,5878.78698,3
"33",6271.56054,5878.39654,3
"34",6081.72044,5516.56308,4
"35",6080.09058,5516.77192,4
"36",6078.86024,5517.84336,4
"37",6078.18378,5519.23714,4
"38",6078.11114,5522.19722,4
"39",6078.6741,5523.74536,4
"40",6079.84996,5525.20724,4
"41",6081.72044,5525.64762,4
"42",6083.33668,5524.6125,4
"43",6084.77586,5521.96568,4
"44",6084.86212,5520.69902,4
"45",6084.7123,5519.4596,4
"46",6083.18686,5517.16236,4
"47",6081.72044,5516.56308,4
"48",6347.75536,6044.329,5
"49",6346.6703,6045.10988,5
"50",6346.11188,6046.29028,5
"51",6346.35704,6048.64654,5
"52",6347.87794,6050.42168,5
"53",6350.35678,6050.61236,5
"54",6351.40098,6049.8451,5
"55",6352.2772,6047.52062,5
"56",6352.0502,6046.28574,5
"57",6350.24328,6044.70582,5
"58",6347.75536,6044.329,5
"59",6693.49452,4921.95928,6
"60",6692.12798,4922.74924,6
"61",6691.13372,4924.02952,6
"62",6690.88856,4925.64122,6
"63",6691.24722,4927.20298,6
"64",6693.51722,4929.27322,6
"65",6695.01996,4929.58648,6
"66",6696.5454,4929.31862,6
"67",6697.80752,4928.42878,6
"68",6698.50214,4927.08494,6
"69",6698.57932,4925.64122,6
"70",6698.24336,4924.30646,6
"71",6696.3865,4922.34064,6
"72",6693.49452,4921.95928,6
"73",6866.77724,5352.46478,7
"74",6865.34714,5353.25474,7
"75",6863.87164,5355.4975,7
"76",6863.90342,5357.89008,7
"77",6865.4561,5359.88314,7
"78",6866.77724,5360.32806,7
"79",6868.2028,5360.151,7
"80",6869.32418,5359.25208,7
"81",6870.03696,5356.7006,7
"82",6869.43768,5354.04016,7
"83",6868.4298,5352.70994,7
"84",6866.77724,5352.46478,7
"85",6806.21364,5050.977,8
"86",6804.5066,5052.8384,8
"87",6804.5974,5055.27638,8
"88",6806.1864,5057.2422,8
"89",6809.01936,5057.75068,8
"90",6810.41768,5056.99704,8
"91",6811.16224,5055.59418,8
"92",6811.06236,5054.07782,8
"93",6810.51756,5052.82932,8
"94",6808.68794,5051.20854,8
"95",6806.21364,5050.977,8
"96",6569.1303,5786.71578,9
"97",6567.30522,5788.45914,9
"98",6567.337,5790.997,9
"99",6569.18024,5792.63594,9
"100",6571.5365,5792.52244,9
"101",6573.04832,5790.8381,9
