"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",3706.90546,7741.20848,1
"2",3703.80464,7741.62162,1
"3",3701.94778,7743.77812,1
"4",3701.29856,7746.79722,1
"5",3702.27466,7748.15014,1
"6",3703.79102,7748.72218,1
"7",3706.55588,7748.25456,1
"8",3708.2039,7747.11502,1
"9",3709.4524,7745.15374,1
"10",3709.46602,7743.41492,1
"11",3708.48538,7741.93942,1
"12",3706.90546,7741.20848,1
"13",4045.58492,7695.54516,2
"14",4043.54646,7696.67108,2
"15",4043.10608,7699.06366,2
"16",4044.49078,7700.6799,2
"17",4046.69268,7700.71168,2
"18",4048.30438,7699.159,2
"19",4048.78562,7698.03308,2
"20",4048.64942,7696.76642,2
"21",4047.66424,7695.95376,2
"22",4045.58492,7695.54516,2
"23",4074.02802,7151.76666,3
"24",4072.29374,7153.43738,3
"25",4072.50712,7155.78002,3
"26",4074.02348,7157.55516,3
"27",4076.51594,7157.77308,3
"28",4077.7145,7157.14202,3
"29",4078.45452,7155.9934,3
"30",4078.34556,7154.6541,3
"31",4077.83254,7153.57358,3
"32",4076.22992,7152.22974,3
"33",4074.02802,7151.76666,3
"34",3652.82952,7487.44518,4
"35",3650.33252,7488.22152,4
"36",3649.56072,7489.36106,4
"37",3649.7514,7491.98972,4
"38",3651.5901,7493.71038,4
"39",3654.00084,7493.53786,4
"40",3655.85316,7491.96702,4
"41",3656.31624,7490.71398,4
"42",3656.1755,7489.32928,4
"43",3655.2221,7488.3214,4
"44",3652.82952,7487.44518,4
"45",3877.9318,7002.37796,5
"46",3876.6606,7003.04988,5
"47",3875.73898,7004.21666,5
"48",3875.60278,7005.6967,5
"49",3876.0704,7007.036,5
"50",3878.00444,7008.83384,5
"51",3880.61948,7008.87016,5
"52",3881.97694,7006.80446,5
"53",3881.9497,7005.6967,5
"54",3881.61374,7004.1531,5
"55",3880.53776,7002.723,5
"56",3877.9318,7002.37796,5
"57",4012.906,7118.17066,6
"58",4011.4532,7118.46576,6
"59",4009.94592,7120.74938,6
"60",4009.77794,7123.26908,6
"61",4010.29096,7124.58568,6
"62",4011.48044,7125.42104,6
"63",4014.24076,7125.19858,6
"64",4015.23502,7124.3042,6
"65",4015.74804,7121.97518,6
"66",4015.21232,7119.66886,6
"67",4014.29524,7118.62466,6
"68",4012.906,7118.17066,6
"69",4012.906,7735.3882,7
"70",4011.76192,7735.55618,7
"71",4010.05034,7737.13156,7
"72",4010.07758,7739.48782,7
"73",4011.4759,7741.77144,7
"74",4012.906,7742.30262,7
"75",4014.38604,7741.88494,7
"76",4015.30312,7740.71362,7
"77",4015.61638,7738.3165,7
"78",4015.4711,7737.25414,7
"79",4014.46776,7735.9784,7
"80",4012.906,7735.3882,7
"81",3748.13774,7483.5771,8
"82",3746.0448,7483.68606,8
"83",3744.99606,7484.77112,8
