"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",16338.6882,8742.07418,1
"2",16337.01748,8743.17286,1
"3",16336.15488,8744.94346,1
"4",16336.02776,8746.80486,1
"5",16336.40458,8748.56638,1
"6",16337.5532,8749.90114,1
"7",16338.98784,8750.81822,1
"8",16342.63346,8751.59456,1
"9",16345.1123,8751.27222,1
"10",16346.14742,8749.08394,1
"11",16345.3393,8746.80486,1
"12",16344.46762,8745.22494,1
"13",16342.23394,8742.98218,1
"14",16340.64948,8742.30572,1
"15",16338.6882,8742.07418,1
"16",16294.29154,9720.9118,2
"17",16293.00218,9721.17512,2
"18",16291.37232,9723.08192,2
"19",16291.4722,9725.45634,2
"20",16292.57542,9726.85466,2
"21",16294.29154,9727.60376,2
"22",16295.66262,9727.59922,2
"23",16296.68866,9726.68668,2
"24",16296.96106,9724.28956,2
"25",16296.62056,9722.73234,2
"26",16295.53096,9721.29316,2
"27",16294.29154,9720.9118,2
"28",16113.4134,9450.63198,3
"29",16112.01508,9450.97248,3
"30",16110.36706,9453.08358,3
"31",16110.31712,9455.62598,3
"32",16110.8483,9456.9108,3
"33",16111.9379,9457.9096,3
"34",16113.4134,9458.0685,3
"35",16114.74362,9457.55094,3
"36",16116.76392,9455.73494,3
"37",16117.33596,9454.3457,3
"38",16117.19976,9452.7794,3
"39",16116.19188,9451.56722,3
"40",16113.4134,9450.63198,3
"41",16190.17118,9589.13376,4
"42",16188.25984,9589.7058,4
"43",16187.82854,9590.82264,4
"44",16187.22926,9595.54878,4
"45",16187.71958,9596.7882,4
"46",16188.76378,9597.73252,4
"47",16190.17118,9598.08664,4
"48",16191.61036,9597.80516,4
"49",16192.65456,9596.8109,4
"50",16192.98598,9594.33206,4
"51",16192.85886,9593.21976,4
"52",16191.66484,9590.73638,4
"53",16190.17118,9589.13376,4
"54",16437.90082,8860.63628,5
"55",16436.01672,8862.63842,5
"56",16435.57634,8865.5304,5
"57",16436.44348,8866.84246,5
"58",16439.29006,8868.21354,5
"59",16440.9971,8868.11366,5
"60",16442.3364,8867.03768,5
"61",16442.80856,8863.99588,5
"62",16442.54524,8862.6475,5
"63",16440.64298,8860.73616,5
"64",16437.90082,8860.63628,5
"65",16584.25226,8643.86036,6
"66",16582.65872,8644.70026,6
"67",16581.75072,8646.26202,6
"68",16581.7371,8649.76236,6
"69",16582.7132,8651.2651,6
"70",16584.25226,8652.15494,6
"71",16587.64818,8652.06414,6
"72",16589.25534,8651.29688,6
"73",16590.59918,8649.9258,6
"74",16591.09858,8648.00992,6
"75",16590.5447,8646.1122,6
"76",16589.10098,8644.87732,6
"77",16585.96838,8643.92846,6
"78",16584.25226,8643.86036,6
"79",16725.04674,9723.15002,7
"80",16723.12632,9723.4542,7
"81",16721.61904,9724.66638,7
"82",16720.78822,9726.32802,7
"83",16720.46134,9728.08954,7
"84",16720.60208,9729.93278,7
"85",16721.37842,9731.75786,7
"86",16722.97196,9733.09716,7
"87",16725.04674,9733.56932,7
"88",16727.09428,9733.0336,7
"89",16728.4926,9731.5354,7
