"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",8376.09116,9727.1316,1
"2",8374.54302,9727.39492,1
"3",8373.45796,9728.49814,1
"4",8372.9631,9729.8329,1
"5",8373.09022,9732.37076,1
"6",8374.72008,9734.43646,1
"7",8377.4804,9734.4864,1
"8",8378.59724,9733.63742,1
"9",8379.251,9731.13134,1
"10",8379.02854,9729.91008,1
"11",8377.53488,9727.64916,1
"12",8376.09116,9727.1316,1
"13",7761.87456,10361.3923,2
"14",7759.96776,10361.869,2
"15",7758.4287,10363.02216,2
"16",7757.3164,10364.57938,2
"17",7756.76706,10366.46802,2
"18",7756.63086,10368.63814,2
"19",7757.35726,10370.98532,2
"20",7759.37302,10372.50168,2
"21",7761.87456,10372.41996,2
"22",7763.90394,10371.37576,2
"23",7765.41576,10370.00922,2
"24",7766.44634,10368.3612,2
"25",7766.70058,10366.46802,2
"26",7766.4191,10364.58392,2
"27",7765.37944,10362.96314,2
"28",7763.80406,10361.80998,2
"29",7761.87456,10361.3923,2
"30",7626.75508,10421.2749,3
"31",7625.04804,10421.63356,3
"32",7623.8858,10422.87752,3
"33",7622.98234,10425.7468,3
"34",7623.28198,10427.18598,3
"35",7625.3613,10429.11094,3
"36",7626.75508,10429.43328,3
"37",7629.36558,10428.3573,3
"38",7630.11014,10427.13604,3
"39",7630.23726,10425.7468,3
"40",7629.98756,10424.4075,3
"41",7628.35316,10421.88326,3
"42",7626.75508,10421.2749,3
"43",7941.75844,10532.0736,4
"44",7939.20242,10532.12808,4
"45",7937.25476,10533.85328,4
"46",7937.17758,10536.55004,4
"47",7939.12978,10538.42052,4
"48",7941.89918,10538.63844,4
"49",7943.17492,10537.88934,4
"50",7943.97396,10536.6363,4
"51",7944.1374,10535.1835,4
"52",7943.78782,10533.81242,4
"53",7941.75844,10532.0736,4
"54",8383.69112,10533.69438,5
"55",8382.01132,10534.16654,5
"56",8380.90356,10535.43774,5
"57",8380.39054,10536.85876,5
"58",8380.30428,10539.62816,5
"59",8380.9989,10540.91752,5
"60",8382.17022,10541.89362,5
"61",8383.69112,10542.2659,5
"62",8385.27104,10542.0389,5
"63",8386.56948,10541.10366,5
"64",8387.37306,10539.75074,5
"65",8387.64092,10538.2253,5
"66",8387.47748,10536.65446,5
"67",8386.69206,10535.22436,5
"68",8385.39362,10534.1166,5
"69",8383.69112,10533.69438,5
"70",8556.8104,9844.70398,6
"71",8554.9263,9844.97638,6
