"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",14756.53906,12161.525,1
"2",14754.21458,12161.71568,1
"3",14752.2987,12163.16394,1
"4",14752.03538,12165.78806,1
"5",14754.01028,12167.62676,1
"6",14756.64802,12167.5859,1
"7",14758.75912,12165.838,1
"8",14759.20404,12164.42152,1
"9",14758.89532,12162.95056,1
"10",14756.53906,12161.525,1
"11",14980.89678,12444.21718,2
"12",14979.5257,12444.73928,2
"13",14977.94578,12446.82314,2
"14",14977.65976,12449.3837,2
"15",14978.18186,12450.75478,2
"16",14979.4122,12451.62646,2
"17",14982.1362,12451.03626,2
"18",14983.82962,12449.26112,2
"19",14984.41528,12448.0444,2
"20",14984.46976,12446.56436,2
"21",14983.71612,12445.22506,2
"22",14982.44492,12444.30798,2
"23",14980.89678,12444.21718,2
"24",14664.89916,12189.77742,3
"25",14662.9742,12190.61732,3
"26",14662.33406,12191.47992,3
"27",14662.32044,12193.60918,3
"28",14663.75054,12195.31622,3
"29",14666.1068,12195.4615,3
"30",14667.86832,12193.77262,3
"31",14667.98636,12192.54228,3
"32",14667.66402,12191.39366,3
"33",14665.97968,12189.92724,3
"34",14664.89916,12189.77742,3
"35",15482.62126,11801.46668,4
"36",15479.88818,11802.14768,4
"37",15478.75318,11803.52784,4
"38",15478.3809,11806.23822,4
"39",15479.84278,11808.17226,4
"40",15481.11398,11808.56724,4
"41",15482.3988,11808.20404,4
"42",15484.13308,11805.10322,4
"43",15484.40094,11803.74122,4
"44",15483.88792,11802.33382,4
"45",15482.62126,11801.46668,4
"46",15047.13084,12555.81038,5
"47",15043.9937,12556.13726,5
"48",15041.6102,12558.15302,5
"49",15041.02454,12559.76472,5
"50",15041.2697,12561.51262,5
"51",15042.37292,12562.8837,5
"52",15043.8802,12563.66458,5
"53",15046.96286,12563.31046,5
"54",15048.06154,12562.32982,5
"55",15048.89236,12559.76472,5
"56",15048.40204,12556.85458,5
"57",15047.13084,12555.81038,5
"58",14804.3044,11663.25092,6
"59",14802.24778,11663.54602,6
"60",14800.70418,11664.83992,6
"61",14800.33644,11667.06906,6
"62",14802.10704,11668.55818,6
"63",14804.61766,11667.97252,6
"64",14805.94334,11665.87958,6
"65",14805.9388,11664.74912,6
"66",14804.3044,11663.25092,6
"67",14827.5719,12124.63296,7
"68",14825.2565,12124.8645,7
"69",14823.7583,12126.60332,7
"70",14822.21924,12128.96412,7
"71",14822.02856,12131.561,7
"72",14823.74922,12133.8537,7
"73",14825.2565,12134.2623,7
"74",14826.65936,12133.61308,7
"75",14827.55828,12132.52348,7
"76",14828.41634,12130.2217,7
"77",14828.61156,12126.86664,7
"78",14827.5719,12124.63296,7
"79",14705.93622,12197.0278,8
"80",14703.60266,12197.80868,8
"81",14702.83086,12198.85288,8
"82",14703.23038,12201.26362,8
"83",14704.86932,12202.71642,8
"84",14707.103,12202.9525,8
"85",14708.01554,12202.22156,8
"86",14708.8509,12200.14224,8
"87",14708.7828,12198.96184,8
"88",14707.12116,12197.29112,8
"89",14705.93622,12197.0278,8
"90",15013.59386,12008.86296,9
"91",15010.66556,12009.2307,9
"92",15008.59532,12011.15112,9
"93",15008.05052,12012.58122,9
"94",15008.19126,12014.18384,9
"95",15009.27632,12015.3597,9
"96",15010.65648,12015.96352,9
"97",15013.3941,12015.81824,9
"98",15015.6868,12014.08396,9
"99",15016.1181,12012.58122,9
