"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",14572.03346,13863.97506,1
"2",14569.42296,13865.20994,1
"3",14568.00194,13868.59678,1
"4",14567.95654,13874.24454,1
"5",14566.22226,13877.1683,1
"6",14566.21318,13879.47916,1
"7",14567.12572,13880.35538,1
"8",14567.1802,13881.56302,1
"9",14568.07458,13882.2758,1
"10",14568.2244,13884.01916,1
"11",14569.52284,13884.37328,1
"12",14572.03346,13886.03038,1
"13",14573.59068,13886.17112,1
"14",14576.5553,13885.0906,1
"15",14579.27022,13883.15656,1
"16",14579.51084,13881.42228,1
"17",14578.4167,13878.32146,1
"18",14577.8719,13877.15922,1
"19",14577.70392,13874.53056,1
"20",14577.15458,13873.20034,1
"21",14577.1909,13870.59892,1
"22",14576.41002,13867.75688,1
"23",14574.74384,13864.69238,1
"24",14572.03346,13863.97506,1
"25",14820.6938,13779.75806,2
"26",14817.3796,13780.49354,2
"27",14814.52394,13782.32316,2
"28",14812.5899,13785.13796,2
"29",14811.47306,13788.49302,2
"30",14812.27664,13791.97974,2
"31",14814.52848,13794.66288,2
"32",14817.51126,13796.17924,2
"33",14820.6938,13796.72858,2
"34",14823.85818,13796.12476,2
"35",14826.89544,13794.69466,2
"36",14829.1609,13791.9979,2
"37",14829.82374,13788.49302,2
"38",14828.58432,13785.22876,2
"39",14826.5277,13782.65912,2
"40",14823.92174,13780.70238,2
"41",14820.6938,13779.75806,2
"42",15026.49654,13206.86908,3
"43",15023.18688,13207.63634,3
"44",15021.73862,13208.50348,3
"45",15019.5458,13210.97778,3
"46",15018.00674,13215.6222,3
"47",15018.71044,13218.8456,3
"48",15019.58212,13220.23938,3
"49",15022.07458,13222.23698,3
"50",15026.49654,13223.61714,3
"51",15029.6473,13223.24032,3
"52",15032.37584,13221.5015,3
"53",15033.7787,13218.6413,3
"54",15034.13736,13215.6222,3
"55",15033.71968,13212.63034,3
"56",15032.29866,13209.82008,3
"57",15029.8062,13207.6318,3
"58",15026.49654,13206.86908,3
"59",14581.9125,13842.20576,4
"60",14576.2148,13845.12952,4
"61",14573.05496,13852.3799,4
"62",14572.50108,13859.68022,4
"63",14572.46022,13864.08856,4
"64",14574.74384,13864.69238,4
"65",14576.41002,13867.75688,4
"66",14577.1909,13870.59892,4
"67",14577.15458,13873.20034,4
"68",14577.70392,13874.53056,4
"69",14577.8719,13877.15922,4
"70",14579.51084,13881.42228,4
"71",14579.27022,13883.15656,4
"72",14576.5553,13885.0906,4
"73",14573.96296,13886.03492,4
"74",14576.11038,13887.7692,4
"75",14579.01598,13888.31854,4
"76",14581.9125,13887.65116,4
"77",14584.16888,13885.10876,4
"78",14585.658,13882.80698,4
"79",14588.43648,13876.4646,4
"80",14589.17196,13873.7633,4
"81",14589.60326,13872.23332,4
"82",14589.03122,13869.00538,4
"83",14588.9722,13866.69906,4
"84",14589.6078,13862.24532,4
"85",14589.65774,13855.06304,4
"86",14587.34234,13846.45974,4
"87",14581.9125,13842.20576,4
"88",14564.4335,13626.39232,5
"89",14561.93196,13627.42744,5
"90",14560.31118,13629.33878,5
"91",14559.1898,13631.28644,5
"92",14558.59052,13633.45656,5
"93",14558.60868,13635.8673,5
"94",14559.02182,13637.07494,5
"95",14560.7107,13639.0226,5
"96",14564.4335,13640.19392,5
"97",14567.00314,13639.66274,5
"98",14569.20504,13638.23264,5
"99",14570.53526,13635.98534,5
"100",14570.87576,13633.45656,5
"101",14570.34458,13631.0095,5
"102",14569.01436,13628.87116,5
"103",14567.09848,13627.0143,5
"104",14564.4335,13626.39232,5
"105",15391.48076,13059.37356,6
"106",15388.3981,13060.29518,6
"107",15386.09632,13063.30974,6
"108",15384.71162,13065.97472,6
"109",15382.30542,13072.35342,6
"110",15381.10686,13077.89676,6
"111",15381.0206,13079.80356,6
"112",15381.39288,13081.87834,6
"113",15382.5869,13083.57176,6
"114",15384.4937,13084.29816,6
"115",15388.3981,13083.45826,6
"116",15391.10848,13081.42888,6
"117",15393.03344,13079.513,6
"118",15393.99592,13077.19306,6
"119",15394.5952,13074.87766,6
"120",15395.19902,13070.32858,6
"121",15395.89364,13067.37758,6
"122",15395.67572,13063.98166,6
"123",15394.2547,13060.73556,6
"124",15391.48076,13059.37356,6
"125",14780.41492,13037.07308,7
"126",14778.83046,13037.61334,7
"127",14777.46392,13040.21476,7
"128",14777.19152,13042.77078,7
"129",14777.66822,13044.18726,7
"130",14778.90764,13045.08164,7
"131",14780.41492,13045.03624,7
"132",14782.8983,13043.9194,7
"133",14783.81084,13042.84342,7
"134",14784.22398,13041.43602,7
"135",14784.00152,13039.95144,7
"136",14782.03116,13037.53616,7
"137",14780.41492,13037.07308,7
"138",15551.03452,13416.09498,8
"139",15549.53632,13416.4491,8
"140",15547.8429,13418.73726,8
"141",15547.6386,13421.4658,8
"142",15548.31052,13422.7824,8
"143",15549.47276,13423.8266,8
"144",15551.03452,13424.23066,8
"145",15552.53726,13423.6904,8
"146",15553.4725,13422.50092,8
"147",15553.84478,13420.0584,8
"148",15553.71312,13418.9461,8
"149",15552.4283,13416.68972,8
"150",15551.03452,13416.09498,8
"151",15249.29704,14129.5469,9
"152",15247.24496,14131.49002,9
"153",15247.33122,14134.30936,9
"154",15249.40146,14136.02548,9
"155",15250.69082,14136.04364,9
"156",15252.27982,14135.29908,9
"157",15253.6055,14132.91558,9
"158",15253.44206,14131.77604,9
"159",15251.9257,14129.93734,9
"160",15249.29704,14129.5469,9
"161",14568.43778,13867.55712,10
"162",14567.47076,13867.74326,10
"163",14565.2734,13870.73512,10
"164",14564.8875,13873.45912,10
"165",14564.0476,13876.04238,10
"166",14563.4347,13876.84596,10
"167",14564.25644,13878.1898,10
"168",14564.1157,13881.06816,10
"169",14564.54246,13883.11116,10
"170",14565.73194,13884.77734,10
"171",14567.47076,13884.48678,10
"172",14568.07458,13882.2758,10
"173",14567.1802,13881.56302,10
"174",14567.12572,13880.35538,10
"175",14566.21318,13879.47916,10
"176",14566.22226,13877.1683,10
"177",14567.95654,13874.24454,10
"178",14568.00194,13868.59678,10
"179",14568.43778,13867.55712,10
"180",15107.72168,12954.70386,11
"181",15106.36422,12955.63002,11
"182",15105.76948,12957.12368,11
"183",15105.99648,12959.97934,11
"184",15106.57306,12961.3595,11
"185",15107.70352,12962.53082,11
"186",15109.33338,12962.85316,11
"187",15112.1618,12961.4276,11
"188",15113.1606,12960.18364,11
"189",15113.24686,12958.59918,11
"190",15112.6612,12957.21902,11
"191",15110.6863,12955.33492,11
"192",15109.33338,12954.74018,11
"193",15107.72168,12954.70386,11
"194",14991.31154,13485.32998,12
"195",14988.75098,13485.40262,12
"196",14987.23916,13487.30942,12
"197",14987.36174,13489.55672,12
"198",14988.41048,13490.85516,12
"199",14990.0131,13491.41812,12
"200",14991.19804,13491.30916,12
"201",14992.0788,13490.52374,12
"202",14992.5555,13488.45804,12
"203",14992.12874,13486.3424,12
"204",14991.31154,13485.32998,12
"205",15002.17576,13842.82774,13
"206",15000.18724,13844.26692,13
"207",14998.64818,13847.71278,13
"208",14999.00684,13849.41982,13
"209",15000.50504,13850.28242,13
"210",15003.48328,13849.4062,13
"211",15004.25508,13848.33022,13
"212",15004.80896,13846.2509,13
"213",15004.54564,13843.88102,13
"214",15003.53322,13842.97302,13
"215",15002.17576,13842.82774,13
"216",14784.19674,13763.59112,14
"217",14781.23666,13763.691,14
"218",14779.20728,13765.77032,14
"219",14778.54898,13767.21404,14
"220",14778.59892,13768.912,14
"221",14779.74754,13770.16504,14
"222",14781.20942,13770.80064,14
"223",14784.24214,13770.94592,14
"224",14785.77666,13770.29216,14
"225",14786.94344,13768.97556,14
"226",14787.22492,13767.21404,14
"227",14786.65742,13765.5751,14
"228",14784.19674,13763.59112,14
"229",14707.45712,13699.09588,15
"230",14705.84088,13699.4727,15
"231",14704.15654,13702.01056,15
"232",14704.0612,13704.77996,15
"233",14705.96346,13706.9864,15
"234",14707.45712,13707.42678,15
"235",14708.99618,13707.08628,15
"236",14710.19928,13706.11926,15
"237",14711.16176,13703.3771,15
"238",14710.9847,13701.91522,15
"239",14709.04158,13699.55442,15
"240",14707.45712,13699.09588,15
"241",15197.7408,13173.037,16
"242",15195.86124,13174.79852,16
"243",15195.8567,13177.40902,16
"244",15197.6046,13179.49288,16
"245",15199.012,13179.847,16
"246",15200.43756,13179.54282,16
"247",15201.54532,13178.63936,16
"248",15202.09012,13177.37724,16
"249",15201.93576,13176.1015,16
"250",15200.18786,13173.264,16
"251",15197.7408,13173.037,16
"252",15211.93284,13871.95638,17
"253",15210.3393,13872.13798,17
"254",15209.27694,13873.4228,17
"255",15209.19522,13875.65648,17
"256",15210.7025,13877.49064,17
"257",15211.93284,13877.90378,17
"258",15213.23582,13877.67678,17
"259",15214.0848,13876.67798,17
"260",15214.27548,13874.52148,17
"261",15213.21766,13872.60106,17
"262",15211.93284,13871.95638,17
"263",15076.65446,13180.64604,18
"264",15072.95436,13181.60852,18
"265",15070.16226,13184.05558,18
"266",15068.70492,13187.25174,18
"267",15068.35988,13190.54324,18
"268",15069.20432,13193.6259,18
"269",15069.95342,13195.01968,18
"270",15072.10992,13197.34416,18
"271",15073.46738,13198.23854,18
"272",15076.65446,13199.18286,18
"273",15079.7462,13198.01608,18
"274",15082.2205,13196.10928,18
"275",15083.97748,13193.57596,18
"276",15084.70842,13190.54324,18
"277",15084.30436,13187.37432,18
"278",15082.7199,13184.47326,18
"279",15080.19566,13181.99442,18
"280",15076.65446,13180.64604,18
"281",15321.51936,14079.96556,19
"282",15318.91794,14080.33784,19
"283",15316.77506,14081.945,19
"284",15314.45966,14086.33972,19
"285",15312.92968,14089.84006,19
"286",15312.02622,14093.39942,19
"287",15312.23506,14097.2448,19
"288",15313.71964,14101.1946,19
"289",15315.01354,14103.13318,19
"290",15316.88856,14104.5769,19
"291",15319.11316,14105.49398,19
"292",15321.51936,14105.65742,19
"293",15323.78936,14104.80844,19
"294",15325.71886,14103.54178,19
"295",15328.39746,14100.27752,19
"296",15329.51884,14096.71362,19
"297",15329.7867,14093.39942,19
"298",15329.55516,14090.06706,19
"299",15328.0161,14086.89814,19
"300",15325.71886,14083.2616,19
"301",15323.92556,14081.30032,19
"302",15321.51936,14079.96556,19
"303",14692.2572,13150.73198,20
"304",14689.95542,13151.7671,20
"305",14689.12006,13153.30162,20
"306",14689.2154,13154.56374,20
"307",14691.12674,13156.0347,20
"308",14693.40582,13156.07556,20
"309",14694.35922,13155.40818,20
"310",14694.94034,13153.30162,20
"311",14694.74966,13152.27104,20
"312",14693.71908,13151.11788,20
"313",14692.2572,13150.73198,20
"314",14862.1667,14072.28388,21
"315",14859.79682,14072.3202,21
"316",14858.33494,14074.06356,21
"317",14858.285,14076.27,21
"318",14859.7832,14078.0406,21
"319",14862.08044,14077.82722,21
"320",14863.07016,14076.55602,21
"321",14863.46968,14075.1577,21
"322",14863.3244,14073.58686,21
"323",14862.1667,14072.28388,21
"324",14931.68318,13699.0187,22
"325",14930.46646,13699.91308,22
"326",14929.95798,13701.28416,22
"327",14930.23492,13703.8311,22
"328",14931.84208,13705.83324,22
"329",14933.1723,13706.33264,22
"330",14934.59786,13706.0557,22
"331",14935.6239,13705.06598,22
"332",14936.06428,13702.61438,22
"333",14935.77826,13701.5384,22
"334",14934.31184,13699.86768,22
"335",14931.68318,13699.0187,22
"336",14597.2577,13622.8602,23
"337",14595.92748,13624.1541,23
"338",14594.76978,13626.34692,23
