"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",8258.23276,14893.17036,1
"2",8255.37256,14893.3111,1
"3",8253.57926,14895.37226,1
"4",8253.6292,14897.99638,1
"5",8255.40434,14900.00306,1
"6",8256.77542,14900.49338,1
"7",8258.26454,14900.28908,1
"8",8259.35868,14899.27666,1
"9",8260.13048,14896.6934,1
"10",8260.05784,14895.3314,1
"11",8259.38138,14894.0829,1
"12",8258.23276,14893.17036,1
"13",7812.03248,14255.26858,2
"14",7810.53882,14255.30944,2
"15",7809.28578,14256.1675,2
"16",7808.62294,14257.5068,2
"17",7808.76822,14260.26712,2
"18",7810.63416,14262.29196,2
"19",7812.03248,14262.64608,2
"20",7813.48074,14262.41,2
"21",7814.64752,14261.53378,2
"22",7815.53736,14258.91874,2
"23",7815.31036,14257.56128,2
"24",7814.47046,14256.48076,2
"25",7812.03248,14255.26858,2
"26",8111.618,14563.12144,3
"27",8110.04262,14563.67078,3
"28",8108.7578,14566.28582,3
"29",8108.73056,14568.66478,3
"30",8110.26054,14570.74864,3
"31",8113.0481,14570.92116,3
"32",8114.16948,14570.02224,3
"33",8114.96398,14567.47076,3
"34",8114.2966,14564.78762,3
"35",8113.23424,14563.56636,3
"36",8111.618,14563.12144,3
"37",8327.45414,14827.89878,4
"38",8325.81066,14828.13032,4
"39",8324.58032,14829.21992,4
"40",8323.67686,14832.09374,4
"41",8323.96742,14833.53746,4
"42",8326.08306,14835.4034,4
"43",8328.80252,14835.35346,4
"44",8330.76834,14833.46936,4
"45",8331.07706,14832.09374,4
"46",8330.98626,14830.63186,4
"47",8329.00228,14828.35278,4
"48",8327.45414,14827.89878,4
"49",8256.0127,15016.731,5
"50",8254.54628,15016.87174,5
"51",8253.36134,15017.76158,5
"52",8252.6985,15019.04186,5
"53",8252.89372,15021.70684,5
"54",8254.7188,15023.53646,5
"55",8256.0127,15023.87242,5
"56",8257.28844,15023.49106,5
"57",8258.11472,15022.5195,5
"58",8258.84566,15020.41294,5
"59",8258.93192,15019.2053,5
"60",8257.33838,15017.21224,5
"61",8256.0127,15016.731,5
"62",7670.80216,14739.05552,6
"63",7668.89082,14741.04858,6
"64",7669.1269,14743.68632,6
"65",7671.00192,14745.30256,6
"66",7673.55794,14745.70662,6
"67",7674.91994,14745.14366,6
"68",7675.8461,14743.92694,6
"69",7675.88696,14742.41512,6
"70",7675.3467,14741.11214,6
"71",7673.4399,14739.40964,6
"72",7670.80216,14739.05552,6
"73",8070.5764,14600.64454,7
"74",8069.2371,14600.867,7
"75",8067.59362,14602.8646,7
"76",8067.52098,14605.36614,7
"77",8069.19624,14607.43184,7
"78",8071.89754,14607.28656,7
"79",8072.8691,14606.39218,7
"80",8073.53194,14604.09948,7
"81",8073.40482,14602.92816,7
"82",8071.84306,14601.03952,7
"83",8070.5764,14600.64454,7
"84",8192.80228,15248.85666,8
"85",8190.05104,15248.91568,8
"86",8188.00804,15250.79978,8
"87",8188.03982,15253.6055,8
"88",8189.933,15255.7847,8
"89",8191.41304,15256.1706,8
"90",8192.91578,15255.8301,8
"91",8194.86344,15253.63728,8
"92",8195.11314,15252.21172,8
"93",8194.89976,15250.768,8
"94",8194.03716,15249.5876,8
"95",8192.80228,15248.85666,8
"96",8247.65456,14900.33902,9
"97",8246.19268,14900.77032,9
"98",8244.31766,14902.9132,9
"99",8244.28134,14905.69168,9
"100",8246.13366,14907.96168,9
"101",8247.65456,14908.53372,9
"102",8249.14368,14907.89358,9
"103",8249.96996,14906.60876,9
"104",8250.6101,14904.29336,9
"105",8250.2015,14901.74642,9
"106",8249.16184,14900.64774,9
"107",8247.65456,14900.33902,9
"108",8310.5381,14759.73068,10
"109",8307.88674,14759.73522,10
"110",8306.17062,14761.67834,10
"111",8305.83466,14764.33878,10
"112",8306.41124,14765.7371,10
"113",8307.67336,14766.65418,10
"114",8309.21242,14766.74952,10
"115",8311.55052,14765.27402,10
"116",8312.49938,14762.93592,10
"117",8312.34502,14761.64202,10
"118",8310.5381,14759.73068,10
"119",7833.31146,14486.26378,11
"120",7831.9086,14486.56342,11
"121",7829.85652,14488.52016,11
"122",7829.96548,14491.3395,11
"123",7831.96762,14493.2009,11
"124",7834.77334,14493.4733,11
"125",7835.94466,14492.58346,11
"126",7836.55302,14489.9548,11
"127",7836.35326,14488.69268,11
