"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",6234.31892,16469.63088,1
"2",6232.96146,16470.20746,1
"3",6231.23172,16472.21414,1
"4",6230.80496,16474.94722,1
"5",6231.604,16476.2048,1
"6",6232.93422,16476.8404,1
"7",6235.60374,16476.58616,1
"8",6236.60708,16475.77804,1
"9",6237.31078,16473.48988,1
"10",6236.76144,16471.04736,1
"11",6235.80804,16469.8942,1
"12",6234.31892,16469.63088,1
"13",6773.29864,16497.48832,2
"14",6771.4327,16497.86514,2
"15",6770.06616,16499.14088,2
"16",6768.51348,16502.36882,2
"17",6768.63152,16504.30286,2
"18",6770.5474,16506.4866,2
"19",6773.29864,16507.24478,2
"20",6775.20998,16506.99054,2
"21",6776.80806,16505.87824,2
"22",6777.74784,16504.21206,2
"23",6777.96576,16502.36882,2
"24",6777.6525,16500.56644,2
"25",6776.631,16499.041,2
"26",6775.1555,16497.8833,2
"27",6773.29864,16497.48832,2
"28",6573.52048,16661.0963,3
"29",6570.54224,16661.71828,3
"30",6568.6082,16663.64324,3
"31",6568.12242,16665.00524,3
"32",6568.2677,16666.51252,3
"33",6569.25288,16667.6566,3
"34",6570.54224,16668.29674,3
"35",6573.13912,16667.99256,3
"36",6575.09586,16666.33092,3
"37",6575.79048,16665.00524,3
"38",6575.93576,16663.33452,3
"39",6575.08678,16661.8227,3
"40",6573.52048,16661.0963,3
"41",6256.36062,16419.8407,4
"42",6254.5083,16420.39004,4
"43",6251.83878,16422.97784,4
"44",6251.10784,16424.85286,4
"45",6251.37116,16426.91856,4
"46",6252.61512,16428.59382,4
"47",6254.40842,16429.56538,4
"48",6256.36062,16429.72428,4
"49",6258.18116,16429.24758,4
"50",6259.67482,16428.16706,4
"51",6260.81436,16426.6961,4
"52",6261.2729,16424.85286,4
"53",6261.19118,16422.85072,4
"54",6260.2287,16420.98024,4
"55",6258.40816,16419.9088,4
"56",6256.36062,16419.8407,4
"57",6674.55364,16422.70544,5
"58",6671.4619,16422.90066,5
"59",6668.84686,16423.86768,5
"60",6666.763,16425.47484,5
"61",6664.96062,16427.48152,5
"62",6662.99026,16430.17374,5
"63",6662.84952,16433.73764,5
"64",6663.67126,16435.37658,5
"65",6664.97878,16436.65232,5
"66",6666.55416,16437.51492,5
"67",6668.2839,16437.83726,5
"68",6671.4619,16437.65112,5
"69",6674.14958,16436.66594,5
"70",6676.5013,16435.21314,5
"71",6678.27644,16432.99308,5
"72",6679.23438,16430.17374,5
"73",6679.248,16426.9458,5
"74",6678.67142,16425.35226,5
"75",6677.64538,16423.98572,5
"76",6674.55364,16422.70544,5
"77",6262.27624,16485.41646,6
"78",6259.6839,16485.70702,6
"79",6257.76348,16487.38228,6
"80",6257.5728,16490.07904,6
"81",6259.44782,16492.24462,6
"82",6260.91878,16492.59874,6
"83",6262.44422,16492.37628,6
"84",6263.6791,16491.45012,6
"85",6264.51446,16488.6898,6
"86",6264.26476,16487.3051,6
"87",6262.27624,16485.41646,6
"88",7012.9834,16156.60696,7
"89",7010.47278,16157.3379,7
"90",7008.66586,16159.3128,7
"91",7007.36288,16161.44206,7
"92",7006.4458,16165.8731,7
"93",7006.56838,16169.65492,7
"94",7006.97244,16171.3665,7
"95",7007.86228,16177.36838,7
"96",7008.62954,16180.05152,7
"97",7010.22762,16182.57122,7
"98",7012.68376,16184.19654,7
"99",7015.57574,16184.77312,7
"100",7018.42232,16183.95138,7
"101",7020.96018,16182.65294,7
"102",7022.94416,16180.67804,7
"103",7024.44236,16178.517,7
"104",7025.21416,16176.09264,7
"105",7025.49564,16173.76362,7
"106",7024.97354,16169.65492,7
"107",7023.84308,16166.23176,7
"108",7022.01346,16163.2172,7
"109",7019.60272,16159.93024,7
"110",7017.8412,16158.27314,7
"111",7015.57574,16156.79764,7
"112",7012.9834,16156.60696,7
"113",6260.0471,16495.92656,8
"114",6257.28224,16496.05368,8
"115",6255.22562,16497.91508,8
"116",6255.37998,16500.67994,8
"117",6257.36396,16502.40968,8
"118",6258.6397,16502.42784,8
"119",6260.17876,16501.63334,8
"120",6261.64518,16499.33156,8
"121",6261.8177,16498.01496,8
"122",6261.21842,16496.7483,8
"123",6260.0471,16495.92656,8
"124",6263.19786,16457.84958,9
"125",6261.71328,16458.50788,9
"126",6260.1379,16460.82328,9
"127",6259.90636,16463.45648,9
"128",6260.51926,16464.76854,9
"129",6261.70874,16465.68562,9
"130",6263.19786,16465.92624,9
"131",6264.59164,16465.45862,9
"132",6265.50418,16464.39626,9
"133",6265.86738,16462.08994,9
"134",6265.6313,16459.6565,9
"135",6264.78686,16458.25818,9
"136",6263.19786,16457.84958,9
"137",6571.8997,16650.3365,10
"138",6570.31978,16650.54988,10
"139",6569.0622,16651.52598,10
"140",6568.24046,16652.85166,10
"141",6568.08156,16654.36802,10
"142",6568.49016,16655.77996,10
"143",6570.57402,16657.57326,10
"144",6571.8997,16657.92738,10
"145",6573.22992,16657.57326,10
"146",6574.83254,16655.5802,10
"147",6574.93696,16654.36802,10
"148",6574.828,16653.15584,10
"149",6573.3298,16650.91762,10
"150",6571.8997,16650.3365,10
"151",7133.26162,15924.65382,11
"152",7131.8406,15925.53912,11
"153",7130.92352,15926.94652,11
"154",7130.6829,15928.59,11
"155",7131.00524,15930.2017,11
"156",7131.90416,15931.58186,11
"157",7133.22984,15932.60336,11
"158",7134.89602,15933.08914,11
"159",7136.68478,15932.91662,11
"160",7138.26924,15931.96322,11
"161",7139.13638,15930.34698,11
"162",7139.18632,15928.59,11
"163",7138.63698,15927.03732,11
"164",7136.37606,15925.01248,11
"165",7133.26162,15924.65382,11
"166",6531.47554,16616.29558,12
"167",6529.67316,16616.5816,12
"168",6528.31116,16617.76654,12
"169",6527.46672,16619.26928,12
"170",6527.40316,16622.61526,12
"171",6528.20674,16624.19518,12
"172",6529.53242,16625.61166,12
"173",6531.47554,16626.14738,12
"174",6533.25068,16625.21668,12
"175",6534.9895,16622.38372,12
"176",6535.22558,16620.92638,12
"177",6535.18472,16619.39186,12
"178",6534.51734,16617.88458,12
"179",6533.20074,16616.75412,12
"180",6531.47554,16616.29558,12
"181",6799.8985,16018.12334,13
"182",6798.09612,16018.47746,13
"183",6796.71142,16019.6397,13
"184",6795.9033,16021.17422,13
"185",6796.14846,16024.37946,13
"186",6798.27772,16026.73118,13
"187",6799.8985,16027.21242,13
"188",6801.70088,16027.1761,13
"189",6803.45332,16026.38614,13
"190",6804.59286,16024.7699,13
"191",6804.73814,16022.82678,13
"192",6804.19334,16021.0471,13
"193",6803.15368,16019.56706,13
"194",6801.68726,16018.50924,13
"195",6799.8985,16018.12334,13
"196",6325.51844,16420.85312,14
"197",6324.15644,16421.5659,14
"198",6322.95334,16423.7905,14
"199",6322.66278,16426.03326,14
"200",6323.993,16428.5348,14
"201",6325.51844,16429.13408,14
"202",6327.18916,16428.88892,14
"203",6328.3287,16427.66312,14
"204",6328.76,16424.85286,14
"205",6328.07446,16422.2923,14
"206",6327.06204,16421.12552,14
"207",6325.51844,16420.85312,14
"208",6246.44526,15691.68372,15
"209",6243.73488,15692.31932,15
"210",6241.95066,15694.02636,15
"211",6241.3196,15696.78214,15
"212",6242.0233,15698.21224,15
"213",6243.41254,15699.01128,15
"214",6246.4044,15698.76158,15
"215",6247.64382,15697.958,15
"216",6248.93772,15695.27486,15
"217",6248.76974,15693.69494,15
"218",6247.85266,15692.38288,15
"219",6246.44526,15691.68372,15
"220",6753.54056,16324.5234,16
"221",6751.69732,16324.80942,16
"222",6750.22182,16325.9308,16
"223",6749.19124,16327.44716,16
"224",6748.7781,16329.24954,16
"225",6749.0732,16331.10186,16
"226",6750.13556,16332.65454,16
"227",6751.72002,16333.63972,16
"228",6753.54056,16333.8531,16
"229",6755.21582,16333.29468,16
"230",6756.5415,16332.25048,16
"231",6757.45858,16330.87486,16
"232",6757.73098,16329.24954,16
"233",6757.55392,16327.5879,16
"234",6756.6777,16326.10786,16
"235",6755.293,16325.00918,16
"236",6753.54056,16324.5234,16
"237",7225.33282,16010.79578,17
"238",7223.93904,16011.09996,17
"239",7222.38636,16013.24738,17
"240",7222.51348,16015.63542,17
"241",7224.01622,16017.6421,17
"242",7225.33282,16018.1642,17
"243",7226.772,16017.9372,17
"244",7227.70724,16016.84306,17
"245",7228.1113,16014.46864,17
"246",7228.07044,16013.33364,17
"247",7227.20784,16011.65838,17
"248",7225.33282,16010.79578,17
"249",6996.57584,15788.90328,18
"250",6994.79616,15789.01224,18
"251",6993.22986,15789.96564,18
"252",6992.19474,15791.49562,18
"253",6991.85878,15793.31162,18
"254",6992.01314,15795.20026,18
"255",6992.83942,15797.04804,18
"256",6994.54192,15798.22844,18
"257",6996.57584,15798.41458,18
"258",6998.44632,15797.82438,18
"259",7000.01716,15796.7484,18
"260",7000.9524,15795.12308,18
"261",7000.98872,15793.31162,18
"262",7000.45754,15791.70446,18
"263",6998.21024,15789.3709,18
"264",6996.57584,15788.90328,18
"265",6018.46916,15758.1357,19
"266",6015.92222,15758.50344,19
"267",6014.365,15760.25134,19
"268",6013.5705,15762.86184,19
"269",6014.05174,15764.45992,19
"270",6015.44552,15765.43602,19
"271",6017.12078,15765.50412,19
"272",6018.5418,15764.81858,19
"273",6019.46796,15763.73806,19
"274",6020.25792,15761.39088,19
"275",6020.2216,15760.10606,19
"276",6018.46916,15758.1357,19
"277",6477.4677,16567.96728,20
"278",6474.55302,16568.04446,20
"279",6472.24216,16569.97396,20
"280",6471.77454,16571.53118,20
"281",6471.93344,16573.21098,20
"282",6472.92316,16574.60022,20
"283",6474.3805,16575.4265,20
"284",6475.99674,16575.4719,20
"285",6477.34966,16574.79998,20
"286",6479.04762,16572.7933,20
"287",6479.52432,16571.53118,20
"288",6479.5334,16570.06022,20
"289",6478.76614,16568.75724,20
"290",6477.4677,16567.96728,20
"291",6983.655,16379.19408,21
"292",6981.5666,16379.67986,21
"293",6979.80962,16380.88296,21
"294",6978.58382,16382.62632,21
"295",6978.10258,16384.72834,21
"296",6978.42038,16386.89846,21
"297",6979.7279,16388.65998,21
"298",6981.59838,16389.6951,21
"299",6983.655,16390.08554,21
"300",6985.72978,16389.73596,21
"301",6987.70922,16388.78256,21
"302",6989.37994,16387.09822,21
"303",6990.17898,16384.72834,21
"304",6989.47528,16382.3176,21
"305",6987.75462,16380.63326,21
"306",6985.80242,16379.55274,21
"307",6983.655,16379.19408,21
"308",6866.01452,15719.7273,22
"309",6864.26662,15719.92706,22
"310",6862.72302,15720.85776,22
"311",6861.54716,15722.30148,22
"312",6861.10224,15724.1538,22
"313",6861.78324,15725.90624,22
"314",6864.39828,15728.0582,22
"315",6866.01452,15728.62116,22
"316",6867.83506,15728.53944,22
"317",6869.50578,15727.64506,22
"318",6870.70888,15726.09692,22
"319",6870.98582,15724.1538,22
"320",6870.44556,15722.31964,22
"321",6869.21976,15720.94856,22
"322",6867.71248,15720.05418,22
"323",6866.01452,15719.7273,22
"324",6379.80322,16429.25666,23
"325",6378.39128,16430.60504,23
"326",6378.10526,16432.4619,23
"327",6378.62282,16435.26762,23
"328",6380.30716,16437.46952,23
"329",6383.3535,16437.82364,23
"330",6384.88802,16437.10178,23
"331",6385.83234,16435.65806,23
"332",6385.8051,16433.97372,23
"333",6385.2376,16432.53,23
"334",6383.36258,16430.09202,23
"335",6381.75542,16429.26574,23
"336",6379.80322,16429.25666,23
"337",6676.02006,15919.86412,24
"338",6674.2313,15920.47248,24
"339",6673.05544,15921.8254,24
"340",6672.19284,15924.79002,24
"341",6673.10084,15927.70924,24
"342",6674.3221,15928.8851,24
"343",6676.02006,15929.43444,24
"344",6677.8406,15929.18474,24
"345",6679.26616,15928.03612,24
"346",6680.11514,15926.48344,24
"347",6680.383,15924.79002,24
"348",6680.32852,15923.0058,24
"349",6679.59758,15921.2125,24
"350",6677.98588,15920.04572,24
"351",6676.02006,15919.86412,24
"352",6227.58156,16464.75038,25
"353",6226.51466,16465.68562,25
"354",6226.06066,16466.95228,25
"355",6226.18324,16469.33578,25
"356",6227.49984,16471.79192,25
"357",6228.99804,16472.4593,25
"358",6230.56888,16471.96444,25
"359",6231.58584,16470.7568,25
"360",6232.05346,16468.169,25
"361",6231.831,16466.99768,25
"362",6230.25562,16465.13628,25
"363",6227.58156,16464.75038,25
"364",6422.79702,15991.6279,26
"365",6420.97648,15991.83674,26
"366",6419.53276,15992.9672,26
"367",6418.86992,15994.6016,26
"368",6419.4011,15999.62284,26
"369",6420.64052,16001.42522,26
"370",6422.79702,16001.37982,26
"371",6424.49044,16000.322,26
"372",6426.28374,15998.56048,26
"373",6426.96928,15996.22692,26
"374",6426.81946,15994.56074,26
"375",6425.97956,15993.04438,26
"376",6424.54038,15992.01834,26
"377",6422.79702,15991.6279,26
"378",6760.3778,16296.87934,27
"379",6758.33026,16296.9429,27
"380",6756.47794,16297.99164,27
"381",6755.42466,16299.83942,27
"382",6755.30208,16301.8915,27
"383",6755.99216,16303.7075,27
"384",6758.72524,16305.88216,27
"385",6760.3778,16306.23628,27
"386",6762.11662,16306.091,27
"387",6763.7601,16305.26926,27
"388",6764.97228,16303.79376,27
"389",6765.26738,16301.8915,27
"390",6764.85878,16300.03464,27
"391",6763.71016,16298.55914,27
"392",6762.19834,16297.49678,27
"393",6760.3778,16296.87934,27
"394",6305.75582,15845.44898,28
"395",6303.87626,15845.77132,28
"396",6302.39168,15846.94264,28
"397",6301.21582,15848.43176,28
"398",6300.33052,15850.31132,28
"399",6300.37138,15852.54046,28
"400",6300.90256,15853.55742,28
"401",6302.66862,15854.93304,28
"402",6305.75582,15855.51416,28
"403",6307.75342,15855.1328,28
"404",6309.5104,15854.06136,28
"405",6310.60908,15852.32254,28
"406",6310.76344,15850.31132,28
"407",6310.24134,15848.45446,28
"408",6309.11542,15846.95172,28
"409",6307.61268,15845.83942,28
"410",6305.75582,15845.44898,28
"411",6324.63768,15752.11566,29
"412",6323.37556,15753.17348,29
"413",6322.83984,15754.64898,29
"414",6322.98058,15757.43654,29
"415",6324.66492,15759.96078,29
"416",6326.27662,15760.49196,29
"417",6327.99728,15760.22864,29
"418",6329.29572,15759.09364,29
"419",6330.04936,15757.6363,29
"420",6330.27182,15756.07454,29
"421",6330.19918,15754.44922,29
"422",6329.3956,15752.95556,29
"423",6327.88832,15752.18376,29
"424",6324.63768,15752.11566,29
"425",6916.17698,16083.44032,30
"426",6914.61522,16083.80806,30
"427",6912.50866,16086.05536,30
"428",6912.20902,16087.57626,30
"429",6912.54498,16089.079,30
"430",6914.6697,16091.20372,30
"431",6917.85678,16091.63048,30
"432",6919.187,16090.58628,30
"433",6920.06322,16087.57626,30
"434",6919.97242,16086.00088,30
"435",6919.22332,16084.52538,30
"436",6917.82046,16083.60376,30
"437",6916.17698,16083.44032,30
"438",6367.63148,16428.02632,31
"439",6365.85634,16429.69704,31
"440",6365.69744,16432.23036,31
"441",6367.41356,16434.3687,31
"442",6368.83458,16434.75914,31
"443",6370.20112,16434.22796,31
"444",6371.09096,16433.1883,31
"445",6371.74926,16430.93192,31
"446",6371.59944,16429.78784,31
"447",6369.99682,16428.1262,31
"448",6367.63148,16428.02632,31
"449",6329.31842,16191.90092,32
"450",6327.45702,16192.5229,32
"451",6324.94186,16195.2015,32
"452",6324.33804,16197.01296,32
"453",6324.69216,16198.92884,32
"454",6325.84078,16200.4906,32
"455",6327.40708,16201.63014,32
"456",6329.31842,16202.0796,32
"457",6331.20706,16201.57112,32
"458",6332.6871,16200.38164,32
"459",6333.78124,16198.86074,32
"460",6334.25794,16197.01296,32
"461",6334.1626,16195.00628,32
"462",6333.13656,16193.19028,32
"463",6331.36142,16192.08252,32
"464",6329.31842,16191.90092,32
"465",6339.19746,16506.1915,33
"466",6337.17716,16506.61372,33
"467",6335.79246,16508.08468,33
"468",6335.19318,16509.83258,33
"469",6335.37478,16513.07414,33
"470",6337.386,16515.8617,33
"471",6339.19746,16516.58356,33
"472",6341.14058,16516.18404,33
"473",6342.60246,16514.89922,33
"474",6343.30616,16513.19218,33
"475",6343.4469,16511.48968,33
"476",6343.29708,16509.79172,33
"477",6342.52074,16508.1664,33
"478",6341.12696,16506.83164,33
"479",6339.19746,16506.1915,33
"480",7049.01738,15566.89728,34
"481",7047.65084,15567.49656,34
"482",7046.1027,15569.58496,34
"483",7046.08908,15572.00478,34
"484",7047.7371,15573.88434,34
"485",7049.01738,15573.96152,34
"486",7050.62454,15573.1988,34
"487",7052.04102,15570.7926,34
"488",7052.1636,15569.48962,34
"489",7051.66874,15568.14124,34
"490",7050.56552,15567.05164,34
"491",7049.01738,15566.89728,34
"492",6818.11752,15813.91414,35
"493",6816.76006,15814.73588,35
"494",6815.95194,15816.09788,35
"495",6816.02912,15819.13514,35
"496",6818.12206,15821.33704,35
"497",6819.65658,15821.73656,35
"498",6821.26828,15821.51864,35
"499",6822.60758,15820.5834,35
"500",6823.22048,15819.1079,35
"501",6823.20232,15817.6324,35
"502",6822.78464,15816.3385,35
"503",6820.90508,15814.62238,35
"504",6818.11752,15813.91414,35
"505",6914.65608,16093.06058,36
"506",6912.55406,16093.14684,36
"507",6910.73352,16094.29092,36
"508",6909.71202,16096.16594,36
"509",6909.46686,16098.21348,36
"510",6909.95718,16100.16114,36
"511",6910.96506,16101.90904,36
"512",6912.50866,16103.39362,36
"513",6914.65608,16104.1064,36
"514",6916.88976,16103.607,36
"515",6918.55594,16102.11788,36
"516",6919.54112,16100.23832,36
"517",6919.85438,16098.21348,36
"518",6919.90886,16096.03882,36
"519",6918.81926,16094.0503,36
"520",6917.78868,16093.52366,36
"521",6914.65608,16093.06058,36
"522",7155.29878,16105.6727,37
"523",7153.95948,16106.64426,37
"524",7153.27394,16108.09706,37
"525",7153.52364,16111.0299,37
"526",7155.58934,16112.85952,37
"527",7158.34966,16113.0275,37
"528",7159.60724,16112.29202,37
"529",7160.28824,16111.00266,37
"530",7160.24284,16109.61342,37
"531",7159.85694,16108.40578,37
"532",7158.24524,16106.44904,37
"533",7156.93318,16105.80436,37
"534",7155.29878,16105.6727,37
"535",6507.15476,16441.30582,38
"536",6505.31152,16441.68264,38
"537",6503.34116,16443.5849,38
"538",6502.86446,16446.13184,38
"539",6503.40018,16447.68452,38
"540",6505.71104,16449.61402,38
"541",6508.76646,16450.02716,38
"542",6510.43264,16449.40972,38
"543",6511.75378,16448.03864,38
"544",6512.0852,16446.13184,38
"545",6511.6539,16444.27044,38
"546",6510.60062,16442.68144,38
"547",6509.02978,16441.60092,38
"548",6507.15476,16441.30582,38
"549",6969.97598,15682.14064,39
"550",6968.45054,15682.47206,39
"551",6966.38938,15684.66942,39
"552",6966.176,15686.154,39
"553",6966.52104,15687.5841,39
"554",6968.64576,15689.37286,39
"555",6971.27896,15689.29114,39
"556",6972.2142,15688.38768,39
"557",6972.8725,15686.154,39
"558",6972.40034,15683.72964,39
"559",6971.46964,15682.55378,39
"560",6969.97598,15682.14064,39
"561",7179.73306,15943.19518,40
"562",7177.92614,15943.22696,40
"563",7176.24634,15944.10318,40
"564",7175.30202,15945.7512,40
"565",7175.4473,15947.5899,40
"566",7176.02842,15949.12442,40
"567",7178.09412,15951.54878,40
"568",7179.73306,15952.22524,40
"569",7181.76698,15952.49764,40
"570",7183.67832,15951.53062,40
"571",7184.53184,15949.57842,40
"572",7184.38202,15947.5899,40
"573",7183.93256,15945.84654,40
"574",7182.19828,15943.89888,40
"575",7179.73306,15943.19518,40
"576",6671.4619,15700.72286,41
"577",6670.2134,15701.38116,41
"578",6668.6244,15703.21986,41
"579",6667.8299,15705.89846,41
"580",6668.72428,15707.1288,41
"581",6670.1226,15707.62366,41
"582",6672.72402,15707.44206,41
"583",6673.84994,15706.78376,41
"584",6674.99402,15704.39572,41
"585",6674.81242,15703.00648,41
"586",6672.94194,15700.8182,41
"587",6671.4619,15700.72286,41
"588",6388.88776,16387.19356,42
"589",6387.0763,16387.2889,42
"590",6385.66436,16388.16058,42
"591",6384.08898,16390.3307,42
"592",6383.47608,16393.05924,42
"593",6383.55326,16395.08862,42
"594",6384.9879,16396.60952,42
"595",6387.0763,16396.20546,42
"596",6389.62778,16394.1216,42
"597",6390.70376,16391.57012,42
"598",6390.21344,16388.42844,42
"599",6388.88776,16387.19356,42
"600",6856.13548,15966.1358,43
"601",6853.86548,15966.42636,43
"602",6852.28102,15968.05168,43
"603",6851.00982,15971.90614,43
"604",6850.95534,15974.05356,43
"605",6851.9496,15976.09202,43
"606",6853.72474,15977.73096,43
"607",6856.13548,15978.58902,43
"608",6858.49174,15977.59476,43
"609",6859.8719,15975.64256,43
"610",6860.80714,15971.90614,43
"611",6860.90702,15969.93124,43
"612",6860.06712,15967.97904,43
"613",6858.2602,15966.78048,43
"614",6856.13548,15966.1358,43
"615",6378.91792,16420.90306,44
"616",6377.20634,16422.8371,44
"617",6377.0656,16425.40674,44
"618",6378.8362,16427.4679,44
"619",6380.23452,16427.763,44
"620",6381.52842,16427.20458,44
"621",6382.90404,16425.1979,44
"622",6383.03116,16424.09014,44
"623",6382.55446,16422.542,44
"624",6381.38314,16421.32528,44
"625",6378.91792,16420.90306,44
"626",7221.53284,16152.7525,45
"627",7219.73954,16153.16564,45
"628",7217.58304,16155.85786,45
"629",7217.27432,16157.49226,45
"630",7217.50586,16159.16298,45
