"","Centroid.X.µm","Centroid.Y.µm","Cell.ID"
"1",6402.99808,17091.55186,1
"2",6401.57252,17092.32366,1
"3",6400.55556,17093.64934,1
"4",6400.34218,17095.30644,1
"5",6400.88698,17096.82734,1
"6",6403.2387,17098.48444,1
"7",6405.83558,17098.39364,1
"8",6407.96938,17096.72292,1
"9",6408.23724,17095.30644,1
"10",6407.89674,17093.92174,1
"11",6405.92638,17091.99678,1
"12",6402.99808,17091.55186,1
"13",6425.36212,17127.74474,2
"14",6423.31912,17127.85824,2
"15",6421.49858,17129.09766,2
"16",6421.31698,17131.5084,2
"17",6423.11482,17133.16096,2
"18",6425.56642,17133.29262,2
"19",6427.45506,17131.56742,2
"20",6427.5958,17130.26898,2
"21",6427.24168,17129.0568,2
"22",6425.36212,17127.74474,2
"23",6465.0281,17108.3317,3
"24",6463.3483,17109.25786,3
"25",6462.9397,17111.15558,3
"26",6464.03384,17113.9613,3
"27",6465.7091,17115.5957,3
"28",6468.2061,17116.0043,3
"29",6469.42736,17115.34146,3
"30",6470.19008,17114.16106,3
"31",6470.19916,17112.78544,3
"32",6469.75878,17111.59142,3
"33",6468.15162,17109.69824,3
"34",6466.87588,17108.84926,3
"35",6465.0281,17108.3317,3
"36",6491.95484,17097.59006,4
"37",6490.73358,17098.4345,4
"38",6489.80742,17099.9554,4
"39",6489.2717,17102.4978,4
"40",6489.60312,17103.74176,4
"41",6490.5656,17104.7451,4
"42",6493.31684,17104.677,4
"43",6494.1522,17103.5874,4
"44",6494.42006,17101.3855,4
"45",6494.02962,17098.28014,4
"46",6491.95484,17097.59006,4
"47",6406.94334,17105.58046,5
"48",6405.38612,17106.0163,5
"49",6404.0332,17107.1967,5
"50",6403.73356,17108.98546,5
"51",6404.52352,17110.57446,5
"52",6406.99328,17112.2815,5
"53",6408.35528,17112.59022,5
"54",6410.52994,17112.24064,5
"55",6412.12348,17110.54722,5
"56",6412.24152,17108.98546,5
"57",6411.76028,17107.57806,5
"58",6409.63102,17105.90734,5
"59",6406.94334,17105.58046,5
"60",6390.87628,17115.11446,6
"61",6389.19648,17115.573,6
"62",6387.95252,17116.70346,6
"63",6387.20796,17118.10632,6
"64",6387.09446,17119.62722,6
"65",6388.14774,17122.35576,6
"66",6389.2328,17123.59064,6
"67",6390.87628,17124.2217,6
"68",6392.65142,17123.91752,6
"69",6394.10422,17122.85516,6
"70",6394.94412,17121.31156,6
"71",6395.01676,17119.62722,6
"72",6394.18594,17116.31756,6
"73",6392.69228,17115.24612,6
"74",6390.87628,17115.11446,6
"75",6489.67576,17068.85186,7
"76",6488.23658,17069.038,7
"77",6486.64304,17071.25352,7
"78",6486.9109,17073.65064,7
"79",6488.54984,17075.22148,7
"80",6489.67576,17075.50296,7
"81",6491.18304,17074.76294,7
"82",6492.1092,17072.50656,7
"83",6491.39188,17069.94146,7
"84",6489.67576,17068.85186,7
"85",6430.53772,17113.26214,8
"86",6428.66724,17115.24158,8
"87",6428.05434,17118.18804,8
"88",6428.96234,17119.54096,8
"89",6430.3879,17120.2719,8
"90",6433.5659,17120.567,8
"91",6435.1322,17119.80428,8
"92",6436.02204,17118.28792,8
"93",6436.09014,17116.58542,8
"94",6435.4954,17115.10538,8
"95",6433.2708,17113.31208,8
"96",6430.53772,17113.26214,8
"97",6390.1181,17104.37736,9
"98",6388.461,17104.9948,9
"99",6387.43042,17106.30232,9
"100",6386.4634,17110.50182,9
"101",6386.99458,17112.10898,9
"102",6388.40652,17113.1214,9
"103",6390.1181,17113.3938,9
"104",6391.80244,17113.0533,9
"105",6393.1599,17111.01938,9
"106",6393.25524,17108.98546,9
"107",6393.39144,17105.71212,9
"108",6391.99312,17104.45454,9
"109",6390.1181,17104.37736,9
"110",6439.33624,17081.4322,10
"111",6436.79384,17081.76362,10
"112",6434.97784,17083.42072,10
"113",6434.46936,17086.12656,10
"114",6434.6555,17088.00612,10
"115",6436.0402,17089.39082,10
"116",6437.99694,17088.90504,10
"117",6441.20218,17085.99944,10
"118",6441.83778,17084.66922,10
"119",6441.92404,17083.03936,10
"120",6440.96156,17081.70006,10
"121",6439.33624,17081.4322,10
"122",6409.72182,17088.22404,11
"123",6408.07834,17088.95044,11
"124",6407.32924,17090.58484,11
"125",6407.7333,17092.26918,11
"126",6409.05444,17094.60728,11
"127",6410.05778,17095.49712,11
"128",6412.76362,17095.5743,11
"129",6415.09718,17093.79916,11
"130",6415.58296,17092.26918,11
"131",6415.4059,17090.60754,11
"132",6414.3844,17089.27732,11
"133",6412.977,17088.4465,11
"134",6409.72182,17088.22404,11
"135",6417.47614,17099.85552,12
"136",6415.43314,17100.25958,12
"137",6414.32992,17102.0438,12
"138",6414.0439,17103.76446,12
"139",6414.23458,17106.52932,12
"140",6415.86444,17109.07172,12
"141",6417.47614,17109.671,12
"142",6419.11054,17109.13074,12
"143",6420.12296,17107.83684,12
"144",6420.50886,17105.18548,12
"145",6420.4453,17103.95968,12
"146",6419.19226,17101.04954,12
"147",6417.47614,17099.85552,12
"148",6478.81154,17096.732,13
"149",6477.4223,17097.52196,13
"150",6476.59148,17099.10642,13
"151",6476.79578,17100.35038,13
"152",6478.64356,17101.8849,13
"153",6481.43112,17103.06076,13
"154",6483.19264,17102.50688,13
"155",6483.58762,17100.67726,13
"156",6482.92478,17099.10642,13
"157",6481.96684,17097.65362,13
"158",6480.75012,17096.80464,13
"159",6478.81154,17096.732,13
"160",6524.63376,17085.609,14
"161",6523.26722,17085.9268,14
"162",6521.64644,17087.98796,14
"163",6521.54656,17090.50766,14
"164",6523.17642,17092.74134,14
"165",6524.63376,17093.29522,14
"166",6526.15466,17092.8957,14
"167",6528.22036,17090.71196,14
"168",6528.3838,17089.22738,14
"169",6527.9298,17087.86538,14
"170",6525.97306,17085.9949,14
"171",6524.63376,17085.609,14
"172",6471.63834,17104.2911,15
"173",6469.43644,17106.01176,15
"174",6469.07778,17107.4691,15
"175",6469.48638,17108.90374,15
"176",6470.54874,17109.87076,15
"177",6472.95494,17110.55176,15
"178",6474.80272,17110.23396,15
"179",6476.09208,17108.76754,15
"180",6476.16018,17107.4691,15
"181",6475.75158,17106.3114,15
"182",6474.11718,17104.65884,15
"183",6471.63834,17104.2911,15
"184",6506.14688,17069.7644,16
"185",6505.10722,17071.22174,16
"186",6505.366,17075.08528,16
"187",6506.51008,17077.4143,16
"188",6507.91294,17078.21788,16
"189",6509.62452,17078.15886,16
"190",6510.86848,17076.983,16
"191",6511.25892,17075.41216,16
"192",6511.02284,17074.02746,16
"193",6509.59274,17071.5123,16
"194",6507.91294,17070.17754,16
"195",6506.14688,17069.7644,16
"196",6501.83388,17068.05282,17
"197",6500.39016,17068.26166,17
"198",6499.2143,17070.66332,17
"199",6499.55026,17072.6927,17
"200",6501.83388,17075.86616,17
"201",6503.58178,17075.97058,17
"202",6504.3899,17074.3044,17
"203",6504.31272,17071.74838,17
"204",6504.07664,17070.25018,17
"205",6503.13686,17068.6067,17
"206",6501.83388,17068.05282,17
"207",6456.61548,17110.04328,18
"208",6454.57702,17111.47338,18
"209",6454.09124,17112.78544,18
"210",6454.43628,17114.16106,18
"211",6455.66662,17114.87384,18
"212",6459.09432,17116.01338,18
"213",6461.11916,17116.15412,18
"214",6462.43576,17114.72856,18
"215",6461.90912,17112.78544,18
"216",6459.88428,17110.65618,18
"217",6456.61548,17110.04328,18
"218",6444.83418,17082.35382,19
"219",6443.24064,17083.09384,19
"220",6442.06478,17086.9483,19
"221",6441.92404,17088.15594,19
"222",6442.4643,17089.31818,19
"223",6443.64924,17089.81304,19
"224",6445.86022,17089.4226,19
"225",6446.92712,17088.34662,19
"226",6447.04062,17086.9483,19
"227",6446.24612,17083.5433,19
"228",6444.83418,17082.35382,19
"229",6488.38186,17076.22482,20
"230",6487.2968,17076.96938,20
"231",6486.78832,17078.15432,20
"232",6487.0698,17079.34834,20
"233",6488.42272,17081.21882,20
"234",6489.67576,17082.03148,20
"235",6491.32378,17081.8181,20
"236",6492.25902,17080.41978,20
"237",6492.19546,17079.34834,20
"238",6490.71542,17076.83772,20
"239",6488.38186,17076.22482,20
"240",6416.71796,17110.46096,21
"241",6415.35596,17111.02392,21
"242",6414.09838,17113.22128,21
"243",6414.14378,17115.37324,21
"244",6415.57842,17117.05304,21
"245",6417.79848,17116.92138,21
"246",6419.01066,17115.84086,21
"247",6419.51914,17114.30634,21
"248",6419.0606,17111.9637,21
"249",6418.15714,17110.8287,21
"250",6416.71796,17110.46096,21
"251",6390.33148,17133.19274,22
