Image,Name,Centroid X µm,Centroid Y µm
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-1,3820.5,374.56
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-2,5368.1,946.78
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-3,6860.2,1149.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-4,8436.6,825.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-5,9924.9,1201.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-6,11261.7,1123.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-7,12784.9,1148.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-8,14283.1,1448.3
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-9,15681.5,1673
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,A-10,17104.8,2097.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-1,4003.6,2622.2
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-2,5322.6,2409.2
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-3,6841.9,2547
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-4,8246.1,2588.3
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-5,9679.9,2579.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-6,11118.8,2671.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-7,12660,2671.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-8,14133.3,2921.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-9,15633,3138.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,B-10,16979.9,3470.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,C-1,3464.2,3951.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,C-2,5193.9,3970.3
