"","TMA.core","P63","uv-GATA3","Her2Neu","CV","Mean"
"69","I-6",0.0848125704568,0.1040019288336,0.1048665030072,0.115807359332075,0.0978936674325333
"70","I-7",0.082210294122,0.1025799757728,0.1151645942688,0.166322069664719,0.0999849547212
"79","J-7",0.0909570533096,0.0869037821696,0.0861998341948,0.0291706667085068,0.0880202232246667
"81","K-10",0.0925582036208,0.1039085788972,0.1257874006768,0.157238920551025,0.107418061064933
"80","J-9",0.1660708972212,0.1771896187252,0.1792760485468,0.0407556336541874,0.174178854831067
"48","F-9",0.1553920272612,0.1644799290404,0.1643116147148,0.0322129613731239,0.161394523672133
"49","G-1",0.104608404552,0.1643589801716,0.1471036700576,0.221723768592564,0.138690351593733
"42","F-2",0.0847243528088,0.0813443183596,0.0935661726956,0.0729222265118257,0.0865449479546667
"9","B-10",0.1291152053316,0.1353237490372,0.1308305232952,0.0243341066759616,0.131756492554667
"37","E-6",0.1113019804288,0.1073762538696,0.1098222942764,0.0181057907224789,0.1095001761916
"61","H-7",0.153163047614,0.1795409282184,0.1739495988748,0.0823003656235567,0.1688845249024
"12","B-4",0.160447187054,0.1650136458108,0.165314101104,0.0166715162667383,0.163591644656267
"40","F-1",0.1806718660988,0.2022467286132,0.2116964051956,0.080231425993681,0.1982049999692
"10","B-2",0.1351560942828,0.1370168270844,0.145224489874,0.0385046575297204,0.139132470413733
"19","C-5",0.1954460754744,0.208692862232,0.2150972779724,0.0485541978893707,0.206412071892933
"8","A-9",0.2133619461452,0.2116089707884,0.20682555433,0.0160649197689143,0.210598823754533
"11","B-3",0.1420536425532,0.1347363390488,0.1320906340728,0.0378654597335793,0.136293538558267
"22","C-8",0.2365150594832,0.242472698182,0.2406540748792,0.0127280115363134,0.239880610848133
"71","I-8",0.188577486502,0.215045666526,0.2293833428252,0.0981092002579056,0.2110021652844
"30","D-9",0.2300306501232,0.2327139712692,0.2310352595072,0.00586223149950509,0.231259960299867
"4","A-5",0.1884954935572,0.190660288682,0.2054826261436,0.047445617059047,0.194879469460933
"50","G-10",0.1978052173756,0.2001527137228,0.1981725779224,0.00635453512060629,0.1987101696736
"38","E-8",0.200165328022,0.1879966722256,0.195212360542,0.0314684187833964,0.1944581202632
"90","L-10",0.1497449641512,0.1471652369068,0.2514935504264,0.32550794142892,0.1828012504948
"20","C-6",0.1499502969104,0.1403963462436,0.1499902834144,0.037659039634968,0.1467789755228
"78","J-5",0.1628608878604,0.1655636251336,0.1690930112364,0.0188446775664399,0.165839174743467
"41","F-10",0.1874020481772,0.1937083939248,0.1669045127716,0.0767173344866645,0.182671651624533
"91","L-2",0.1321327435716,0.1179186750376,0.130620140694,0.0615220675142276,0.126890519767733
"7","A-8",0.209886686104,0.2121182215896,0.2160309628408,0.0146241149106977,0.212678623511467
"43","F-3",0.2152148259272,0.1805784749392,0.2061911086704,0.0895442435088879,0.2006614698456
"88","K-8",0.1877762723868,0.1869172633452,0.189525929276,0.00706869523632918,0.188073155002667
"54","G-7",0.2018236136884,0.2128774910988,0.2130501132488,0.0307400594380269,0.209250406012
"24","D-2",0.2309434554408,0.2278863635404,0.2288065271992,0.00684250139489376,0.229212115393467
"86","K-6",0.2009389638164,0.1974940852736,0.2051325999524,0.0190138494739852,0.2011885496808
"68","I-4",0.211855506136,0.223376463014,0.2244324777284,0.0317274136856477,0.219888148959467
"29","D-8",0.174139369876,0.1989022285624,0.1994032759468,0.0756945682260936,0.1908149581284
"72","I-9",0.1886798024844,0.2150828292408,0.21813204751,0.0781287315981554,0.207298226411733
"74","J-10",0.2201101015388,0.2340953400896,0.2238193856864,0.0320563877171532,0.2260082757716
"84","K-4",0.192674454234,0.207893132152,0.219381522702,0.0648289468040814,0.206649703029333
"87","K-7",0.1808574941684,0.1772665412164,0.186698017756,0.0262117238844142,0.181607351046933
"25","D-3",0.2370388414624,0.2317972497476,0.2336971445892,0.0113317330904258,0.2341777452664
