"","x"
"1","I-6"
"2","I-7"
"3","J-7"
"4","K-10"
"5","J-9"
"6","F-9"
"7","G-1"
"8","F-2"
"9","B-10"
"10","E-6"
"11","H-7"
"12","B-4"
"13","F-1"
"14","B-2"
"15","C-5"
"16","A-9"
"17","B-3"
"18","C-8"
"19","I-8"
"20","D-9"
"21","A-5"
"22","G-10"
"23","E-8"
"24","L-10"
"25","C-6"
"26","J-5"
"27","F-10"
"28","L-2"
"29","A-8"
"30","F-3"
"31","K-8"
"32","G-7"
"33","D-2"
"34","K-6"
"35","I-4"
"36","D-8"
"37","I-9"
"38","J-10"
"39","K-4"
"40","K-7"
"41","D-3"
"42","I-1"
"43","L-4"
"44","G-8"
"45","K-9"
"46","H-6"
"47","H-5"
"48","L-7"
"49","J-1"
"50","G-4"
"51","G-3"
"52","E-1"
"53","L-8"
"54","A-3"
"55","E-2"
"56","K-5"
"57","B-6"
"58","H-9"
"59","K-2"
"60","B-8"
"61","D-1"
"62","L-6"
"63","E-3"
"64","I-2"
"65","I-3"
"66","B-7"
"67","A-2"
"68","J-4"
"69","A-4"
"70","L-3"
"71","G-2"
"72","E-10"
"73","F-7"
"74","H-1"
"75","H-4"
"76","E-5"
"77","J-3"
"78","K-3"
"79","E-9"
"80","F-6"
"81","H-8"
"82","D-4"
"83","J-2"
"84","C-3"
"85","C-7"
"86","I-10"
"87","C-2"
"88","D-5"
"89","E-4"
"90","D-6"
"91","F-8"
"92","A-6"
"93","H-3"
"94","C-4"
"95","A-7"
"96","F-4"
