"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"48362",1,"A-8",13897.6,1646.6,27.4389,19.0961,0.9456,1,6.4956,5.4839,65.9926381967037
"48363",2,"A-8",13669.5,1835.7,58.3409,27.5205,0.968,1,9.5731,8.0811,52.1089601138802
"48364",3,"A-8",14023.7,1607.2,99.0646,37.2565,0.8969,1,14.0261,9.0011,17.6851621577945
"48365",4,"A-8",13625.9,1249.9,35.6531,21.6015,0.9602,1,7.1661,6.421,186.412982551394
"48366",5,"A-8",14053.3,1885.8,60.5587,28.103,0.9636,1,9.9138,7.9053,81.2387862421365
"48367",6,"A-8",13714,1076.1,38.2298,22.3484,0.9619,1,7.5213,6.7268,88.1934036555353
"48368",7,"A-8",13997.5,1837.8,75.2527,31.5525,0.9499,1,11.2547,8.6087,118.352535464131
"48369",8,"A-8",14212.5,1803.3,51.1506,25.6923,0.9738,1,8.6875,7.4848,98.3420895616723
"48370",9,"A-8",14441.6,1488.1,68.8677,29.8251,0.9729,1,10.0684,8.9783,52.0111710513645
"48371",10,"A-8",14560.8,1642.4,31.1576,20.2467,0.9551,1,6.7835,6.012,81.4143126195052
"48372",11,"A-8",13987.3,1072,91.1736,34.5912,0.9575,1,12.4154,9.5093,68.1467820716016
"48373",12,"A-8",14211.4,1974.7,42.4285,23.6723,0.9515,1,8.3352,6.582,72.0798876396167
"48374",13,"A-8",14092.1,1585.8,132.5497,41.8293,0.952,1,15.262,11.1663,126.791832942258
"48375",14,"A-8",14146.9,2016.4,39.1697,22.6262,0.9615,1,7.6871,6.514,137.594899290568
"48376",15,"A-8",14405.9,1551.3,36.4658,21.9258,0.9532,1,7.7246,6.1986,65.9479381152838
"48377",16,"A-8",13732,1396.2,64.4737,29.1833,0.9513,1,10.4622,7.8687,118.049556224083
"48378",17,"A-8",14131.7,1499.2,82.6012,33.0172,0.9522,1,11.5793,9.7294,145.659652312984
"48379",18,"A-8",14416.3,1360,77.23,31.8183,0.9586,1,11.2944,9.255,110.686849149599
