"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"71483",1,"B-6",11463.6,2759.9,83.2543,32.6484,0.9815,1,10.688,9.9891,73.9108194288448
"71484",2,"B-6",11128.3,3245.7,66.0158,29.1116,0.9789,1,9.7016,8.7855,49.514004207346
"71485",3,"B-6",11017,2471.2,75.4903,31.3689,0.9641,1,11.159,8.788,123.523568810446
"71486",4,"B-6",11463.3,2711.3,37.8095,22.2648,0.9585,1,7.755,6.2591,118.24311050658
"71487",5,"B-6",11200.4,2810.6,58.4556,27.8155,0.9494,1,9.9656,7.3579,90.8652822844721
"71488",6,"B-6",11538,2475.1,39.4618,22.9832,0.9388,1,8.1624,6.3794,154.407673401067
"71489",7,"B-6",10847.5,2505.2,73.2729,30.6846,0.9779,1,10.2017,9.2735,143.708397877901
"71490",8,"B-6",10676.6,2318.5,44.7891,24.4385,0.9424,1,8.8169,6.6943,89.6891484218988
"71491",9,"B-6",11467.3,2887.9,110.1136,37.7122,0.9729,1,12.6601,11.5132,105.846345121551
"71492",10,"B-6",10885.7,2136.1,65.1765,28.9903,0.9745,1,9.6163,8.9378,94.2020735215489
"71493",11,"B-6",10786.6,2479.8,35.4344,21.622,0.9525,1,7.4237,6.3135,254.941536977986
"71494",12,"B-6",10812.7,2541.2,49.9733,25.5032,0.9655,1,8.5556,7.5611,136.024850451198
"71495",13,"B-6",10666.4,2329.1,34.36,21.285,0.9531,1,7.4172,5.8491,99.642096360024
"71496",14,"B-6",11626.5,2654.9,79.5518,32.4629,0.9486,1,11.6409,9.1606,87.420619304446
"71497",15,"B-6",11194.7,2636.2,69.7734,30.1373,0.9654,1,10.502,8.5805,129.78270756409
"71498",16,"B-6",11559.7,2548.6,25.7251,18.6068,0.9337,1,6.682,5,79.6597767219463
"71499",17,"B-6",10654.3,2320.7,44.623,24.1394,0.9623,1,8.1494,7.1841,87.4504313490061
"71500",18,"B-6",10707.8,2365.3,41.2599,23.2624,0.9581,1,7.8124,6.9891,95.8658769655658
"71501",19,"B-6",11504.2,2776.9,45.2571,24.45,0.9514,1,8.5999,6.9752,49.0995820804714
"71502",20,"B-6",10637.8,2322.2,44.0746,24.1078,0.953,1,8.5217,6.4656,107.082624192014
"71503",21,"B-6",11019,3136.7,97.4822,36.3404,0.9276,1,13.6853,9.2899,165.521535945021
"71504",22,"B-6",11434.8,2273,35.0728,21.6933,0.9365,1,7.8881,5.6208,95.0202205375714
"71505",23,"B-6",11173.4,2194.6,53.4581,26.2862,0.9722,1,8.9702,7.6758,97.473194491613
"71506",24,"B-6",11196.1,2342.8,34.1418,21.1674,0.9575,1,7.3,6.158,83.7784226602479
"71507",25,"B-6",11313.5,2840.9,46.7491,24.5895,0.9716,1,8.0949,7.5555,40.3938927775881
"71508",26,"B-6",10855.1,2303.7,48.0927,24.8792,0.9764,1,8.2159,7.6517,87.0245980903317
"71509",27,"B-6",11274,3238.6,72.1616,30.532,0.9728,1,10.2462,9.1253,114.956474031355
"71510",28,"B-6",11094.6,2636.7,70.2647,30.1275,0.9728,1,10.3704,8.6784,116.038524794424
"71511",29,"B-6",10849.1,2591.8,69.5454,29.9796,0.9724,1,10.2827,8.5106,86.7760465542108
"71512",30,"B-6",11328.5,2585.7,64.2912,28.9382,0.9648,1,9.7524,8.7801,66.1842478096241
"71513",31,"B-6",11420.9,2476.7,58.2561,27.3869,0.976,1,9.2372,8.1434,99.0357547035172
"71514",32,"B-6",11292.5,2829.1,68.2169,29.7349,0.9696,1,10.3247,8.4689,58.545390549228
"71515",33,"B-6",10642.4,2601.7,61.1653,28.1297,0.9714,1,9.6991,8.1809,94.0640398897731
"71516",34,"B-6",11312.8,2648.2,54.6006,26.8415,0.9523,1,9.6704,7.261,77.2255282816778
