"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,14435.7,3208.2,14436.1220183298,3213.18215822002
"2",2,14209.7,3325.2,14208.9817625814,3330.14814460283
"3",3,14179.3,2998.6,14178.2401215692,3003.48637470032
"4",4,14043.4,3375.8,14046.8461165719,3372.17725510523
"5",5,13728.6,3067.7,13726.7302427423,3072.33724139952
"6",6,13869.5,3205.7,13870.8176509483,3210.52325574466
"7",7,13884.6,3059.6,13879.7628756483,3060.86579145445
"8",8,14079.3,3247.5,14077.4897538753,3252.16079488584
"9",9,13981.2,2834.5,13979.819971953,2839.30578012289
"10",10,13891.7,2749.8,13887.4696381797,2752.46534029143
"11",11,14197.5,2810.2,14194.7578738348,2814.38099797826
"12",12,14093.8,3064.8,14098.2094929833,3067.1571957131
"13",13,14171.7,2860.4,14172.8496626175,2865.26603286732
"14",14,13911.2,3250.1,13911.584127722,3255.08522275261
"15",15,14512.7,3095.2,14515.3007623851,3099.47036708215
"16",16,13762.4,2575.8,13764.9569990568,2580.0967145383
"17",17,14069.5,3283,14069.202175842,3287.99112219555
"18",18,13941.3,2894.6,13940.8204166411,2899.57694683535
"19",19,14322.5,3117.9,14321.2076638508,3122.73010013119
"20",20,13821.6,3151.3,13825.3458323913,3154.61190876932
"21",21,14060.9,2876.8,14061.5476912002,2881.75787213522
"22",22,14092.7,2824.2,14095.8240774592,2828.10386219393
"23",23,13600.3,2753.9,13596.6492591429,2757.31644423262
"24",24,13764.4,2520.3,13760.0565843525,2522.77684083313
"25",25,13922.7,3032.4,13925.5173746024,3036.53066584822
"26",26,14035.1,3121.9,14037.4989079208,3126.28693979759
"27",27,14333.6,3416.1,14333.7355671747,3421.09816181622
"28",28,13829.1,3124.5,13826.4269282286,3128.72548071879
"29",29,13990.8,3062.8,13991.1751025769,3067.78590995274
"30",30,14045.2,2630.4,14046.3831868519,2635.25799020928
"31",31,13983.5,3037,13983.537546997,3041.99985902031
"32",32,14312.4,3005.8,14307.550718552,3007.01838804913
"33",33,14330.6,2927,14331.1419795942,2931.97053901699
"34",34,13985.1,2851.1,13983.8863891274,2855.95047921859
"35",35,13880.2,2880.5,13879.0519260509,2885.36640793681
"36",36,14070.6,2771.3,14066.6266426164,2774.33519869238
"37",37,13890.2,2608.7,13891.5241056277,2613.52148776695
"38",38,13640.3,3289.7,13638.1445490255,3285.18845579691
"39",39,13997.2,3005.8,13993.859571607,3009.52042177063
"40",40,14155.8,2749.4,14157.3048648436,2754.16816335736
"41",41,14361.8,3144.2,14366.6446381919,3145.43672179162
"42",42,13754,2854.2,13757.789088639,2857.46233157205
"43",43,14456,3237.8,14455.7518791091,3242.79383980755
"44",44,14094,3293.7,14098.6441814655,3295.55245202774
"45",45,14200.6,3155,14203.0111036557,3159.38024875564
"46",46,13705,3100,13700.9732235544,3102.96396212142
"47",47,14475.8,2970.9,14473.1496692876,2975.13978149377
"48",48,14423.4,3146.9,14426.2412716416,3151.01426487463
"49",49,13998.8,3216.3,13999.149057473,3221.28780100651
"50",50,13972.3,3183.8,13972.6512134004,3188.78764966165
"51",51,14123.6,3330.8,14123.163132362,3335.78087810199
"52",52,13962.3,2903.2,13960.1310602469,2907.70507495471
"53",53,14073.4,3166.7,14077.2412663683,3169.90073002422
"54",54,14068.3,3186.3,14064.6397445754,3182.89375129701
"55",55,13569.8,3235.1,13566.1146435307,3238.47907497607
"56",56,14080,3226.9,14079.1616441367,3231.8292148915
"57",57,13847.1,2964,13847.2624381829,2968.99736068707
"58",58,14080.6,3294.3,14082.058242905,3299.08262769093
"59",59,14383.6,2868.4,14382.8427390413,2873.34232291948
"60",60,14263.7,2887.1,14264.4054988135,2892.04997691148
"61",61,13968.4,2615.6,13971.2413023365,2619.71424367687
"62",62,14080.8,2864.8,14080.6991859648,2869.79898354971
"63",63,14143.7,3218.9,14140.5885519029,3222.81393545415
"64",64,14083.8,2848.9,14086.9213114126,2852.80607412441
"65",65,14193.6,2966.7,14197.841903056,2969.3469337853
