"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,13830.6,4474.8,13826.6145583544,4477.81931364546
"2",2,13811.7,4471.1,13809.9680101587,4475.79043827267
"3",3,13911.3,4530.6,13908.8361208096,4534.95078146258
"4",4,13821.8,4472.5,13817.2755173527,4474.6281580708
"5",5,13837.9,4495.5,13833.2441078199,4497.32281869835
"6",6,13904.8,4523.3,13908.3923348093,4526.77780543127
"7",7,13911.9,4465.9,13909.9685183937,4470.51187367611
"8",8,13788.6,4506,13787.7131084091,4510.92071369884
"9",9,13857.6,4533.1,13857.5355750915,4538.09958492589
"10",10,13862.1,4475.1,13862.1903081889,4480.09918437658
"11",11,13851.7,4493,13856.1670026894,4495.24630518245
"12",12,13829,4519.6,13833.1200190421,4522.43292130008
"13",13,13840.7,4487.5,13835.725600967,4488.00532589492
"14",14,13898.9,4509.8,13903.4134360333,4511.9514867356
"15",15,13767.3,4539.2,13769.7288678218,4543.57042344681
"16",16,13851.3,4519.2,13846.5391813487,4520.72794167739
"17",17,13778.8,4501.7,13778.8175510352,4506.69996919602
"18",18,13871.1,4530.8,13872.0651083215,4535.70597247524
"19",19,13838.5,4520.1,13836.3636341532,4524.62061289748
"20",20,13849.2,4485.2,13853.894042768,4483.47780300426
"21",21,13906.6,4504.5,13908.0548864217,4509.28364980952
"22",22,13916.4,4524.9,13920.8626223731,4527.15499480153
"23",23,13801.1,4520.2,13804.4985866665,4523.86737081163
"24",24,13889.2,4466.9,13892.012407303,4471.03404948712
"25",25,13886.1,4524.3,13888.2393028326,4528.81922375974
"26",26,13781,4518.5,13782.0065421635,4523.39763952054
"27",27,13856.9,4503,13854.5991466885,4507.43915240094
"28",28,13880,4494,13882.1047989101,4498.53539651495
"29",29,13872.6,4521,13868.0503166646,4523.07373613261
"30",30,13784.7,4556.6,13779.815876041,4557.67020238868
"31",31,13873.5,4497.2,13875.6436601657,4501.71715851989
"32",32,13877,4459.9,13880.8024088095,4463.14679645888
"33",33,13872,4475.4,13874.4073605636,4479.78230705413
"34",34,13821.5,4484.7,13825.8876688936,4482.30242587602
"35",35,13810.1,4519.8,13813.1102846763,4523.79226579371
"36",36,13894.9,4520.4,13896.0109172578,4525.27502439443
"37",37,13881.8,4525.6,13879.9420171483,4520.95802846595
"38",38,13765.6,4519.2,13766.1272102595,4524.17212724519
"39",39,13921.9,4520.5,13920.5357156743,4525.31027320208
"40",40,13789.3,4485.5,13786.2296958291,4489.44629348859
"41",41,13783,4552.3,13787.6534855338,4554.12895390495
"42",42,13874.5,4470.2,13877.89792393,4473.8679848645
"43",43,13907.4,4492.5,13909.4719907486,4497.05047847348
"44",44,13759.4,4524.9,13760.1553163918,4529.84262047383
"45",45,13800.1,4490.3,13796.7687506443,4494.02864288045
"46",46,13772.6,4511.5,13771.3555710047,4516.3426641919
"47",47,13844.8,4510.6,13840.1204466094,4512.36118711808
"48",48,13777.2,4556.4,13772.2150923477,4556.01180456256
"49",49,13850.1,4508.5,13846.7893672855,4512.24696023862
"50",50,13761.9,4508.2,13760.3849140519,4512.96492545269
"51",51,13881.9,4468.5,13885.0624988774,4472.37280271253
"52",52,13894.6,4461,13892.3191598239,4456.55053170692
"53",53,13878,4537.2,13876.0201193097,4532.60869599655
"54",54,13766.8,4508.6,13765.6745812607,4513.47169710278
"55",55,13880.2,4516.7,13884.5898150363,4519.09364240174
"56",56,13918.3,4468.1,13919.3235880684,4463.20589462044
"57",57,13872.2,4451.4,13873.7380347351,4456.15756756689
"58",58,13923.4,4526.4,13923.8186453273,4531.38244278341
"59",59,13795.6,4495.2,13793.9720213395,4499.92754539703
"60",60,13862.5,4503.3,13860.51418821,4507.88874182481
"61",61,13776.4,4526.7,13775.3515379962,4531.58883702188
"62",62,13865.3,4492.5,13862.9548748967,4488.08407560642
"63",63,13879,4529.2,13876.9487146174,4524.64015041047
"64",64,13778.8,4512.3,13778.8963981417,4517.29907065346
"65",65,13837.7,4515.4,13842.2968233227,4517.36703211456
"66",66,13879.1,4452.1,13882.0163090659,4456.16142110995
"67",67,13813.8,4509,13811.165663618,4513.24973785386
"68",68,13870.2,4445.1,13870.6034015654,4450.08370014919
"69",69,13883.8,4511.2,13888.4776605986,4512.96620817685
"70",70,13857.8,4517.9,13862.7431735059,4517.14831144073
"71",71,13842.7,4472.1,13840.7039576221,4476.68430090915
"72",72,14026.2,3978.9,14025.6610548771,3983.87086895367
"73",73,14458.5,4403.6,14459.5544988584,4408.48753845587
"74",74,14310.6,4747.1,14314.3684807377,4750.38611517288
"75",75,13786.5,3948.2,13783.7122752196,3952.35073373616
"76",76,14157.3,4589,14156.6121070446,4593.95245426853
"77",77,13963.7,4034.1,13964.7417175109,4038.99027858384
"78",78,14487.9,4713.5,14488.3701118642,4718.47785042314
"79",79,13886.1,4367.2,13884.1664943229,4371.8110254604
"80",80,14448.6,4399.5,14443.9125086702,4401.23994972131
"81",81,14106.3,3892.3,14101.9460127949,3894.75820979938
"82",82,14031.2,3946.2,14026.2418406205,3946.84548862725
"83",83,13851.1,4270.4,13848.857452456,4274.86889029993
"84",84,14111,4168.8,14108.8069174348,4173.29337165858
"85",85,13890.3,3868.7,13885.4941767924,3870.07987800092
"86",86,14404.7,4732.5,14405.8111572112,4737.3749697078
"87",87,14501.8,4648.7,14500.6975356452,4653.57694293039
"88",88,13961.1,4295.6,13958.9032551046,4291.10841766585
"89",89,14422.4,4264.8,14419.8041589545,4269.07336041853
"90",90,14496.9,4640.9,14499.7976979486,4644.97472043194
"91",91,14483.5,4653.3,14485.5844022606,4657.84480662032
"92",92,14279.4,3863.3,14281.9850962303,3867.57986886252
"93",93,13910.8,4211.9,13908.5846193893,4216.38241996577
"94",94,14458.3,4393.9,14463.2024288324,4394.88295042768
"95",95,13914.6,4354.9,13914.5783168597,4359.89995298392
"96",96,14364.3,4729.2,14363.7637274785,4734.17115799213
"97",97,13802.6,4136.6,13807.0455633692,4138.88844190015
"98",98,14643,4483,14645.7500178381,4487.17581152473
"99",99,14426.5,4737.6,14426.4809089241,4742.59996355295
"100",100,13756.3,4212.9,13752.9520838178,4216.61368512891
"101",101,14007.7,3834.9,14004.2586447017,3838.52726807819
"102",102,14434.4,4253.2,14432.6700987822,4257.89120898881
"103",103,14364.3,4790.6,14367.7857879207,4794.18458959607
"104",104,13776.5,4005.4,13777.4842234842,4010.30217340912
"105",105,14102.7,4232.1,14102.1356690305,4237.06805098171
"106",106,14373,4632.9,14373.8822154858,4637.82155420945
"107",107,13868.4,4097.6,13870.559992879,4102.10937143766
"108",108,14480.7,4524.8,14482.8864878329,4529.29658436556
"109",109,14471.5,4503.6,14469.7907434619,4508.29877027389
"110",110,13827.4,4281.1,13823.3669890579,4284.05547335315
"111",111,14538.3,4262.2,14541.9544622803,4265.61246325138
"112",112,13939,3906.7,13942.1348700983,3910.59520082495
"113",113,14382.4,4642.9,14383.7521733947,4647.71369163021
"114",114,14438.1,4585.4,14437.6095860698,4590.37589129473
"115",115,13998.3,3842,13993.4963268851,3843.38734444352
"116",116,14295.1,4669.1,14295.0230120293,4674.0994072501
"117",117,14175.1,3930.6,14178.2262961146,3934.50208567359
"118",118,13600.6,4259.1,13601.2819688398,4264.0532735137
"119",119,14496.4,4259.1,14492.4023909035,4262.10318522769
"120",120,14503,4345.5,14503.7133880299,4350.44884607953
"121",121,13690.6,4219.8,13694.0763151356,4223.3937769934
"122",122,14056.4,4350.1,14051.7712383131,4351.99065206893
"123",123,14627.6,4406.8,14630.9589567612,4410.50370213116
"124",124,14465.3,4765.5,14460.3486818083,4764.80397689375
"125",125,14315.6,4642.9,14315.8191206594,4647.89519630611
"126",126,14316.1,4418.4,14318.2273159023,4422.92487867813
"127",127,14413,4502.6,14408.5656182747,4504.91003435359
"128",128,14035.6,4393.4,14035.8009479502,4398.39596036026
"129",129,14361.7,4442.1,14363.990075597,4446.54472201155
"130",130,13842.5,4285.6,13840.759449743,4290.28726837325
"131",131,14615.2,4508.6,14617.5300381912,4513.02390348309
"132",132,13871,4284.4,13874.9929437201,4281.39061460627
"133",133,14005.9,4476.1,14007.8441167991,4480.70656161053
"134",134,13747.5,3967.9,13746.6133744122,3972.82076163486
"135",135,13817.6,4057.7,13817.2771529151,4062.68956608933
"136",136,14317.3,4683.1,14315.9630861775,4687.91795199552
"137",137,14532.2,4223.6,14529.4029425151,4227.7444504372
"138",138,13824.8,4291.6,13822.5950256751,4296.08754813085
"139",139,14446.7,4649.1,14446.5963313982,4654.09892516657
"140",140,14392.1,4418.6,14396.5253558597,4420.92727856419
"141",141,13795.5,4003.8,13796.8499491774,4008.61431586194
"142",142,14172.9,4590,14175.0772919915,4594.50104427703
"143",143,14606.3,4646.4,14603.6763497544,4650.65634342938
"144",144,14326.7,4654.9,14327.7378143289,4659.79110840391
"145",145,14087.2,4475.6,14082.7931270598,4477.96209036422
"146",146,14324,4664.1,14326.7807063111,4668.25543889519
"147",147,13958,4162.2,13958.9114361239,4167.11622662131
"148",148,13926,4144,13928.9953498608,4148.0034833847
"149",149,14322.1,4400.7,14327.0247262492,4399.83566709494
"150",150,14076.1,4293.9,14073.5969793985,4298.22838166851
"151",151,14558.1,4226.6,14560.0255812385,4231.21434035308
"152",152,14237.2,4328.4,14241.6301846555,4326.08192667966
"153",153,14607.3,4635.2,14607.6281671024,4640.18921901232
"154",154,14429.9,4582.6,14431.1071358135,4587.45209471547
"155",155,13607.2,4239.7,13608.7250387336,4244.46174934884
"156",156,14558.7,4382,14554.4284345778,4384.59879372864
"157",157,14379.1,4478.4,14377.1808058496,4473.78299947878
"158",158,14305.5,4650.2,14304.3208212758,4655.05896465684
