"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"187920",1,"D-8",14050.5,5515.9,44.064,24.2419,0.9422,1,8.5461,6.8998,80.8328098948885
"187921",2,"D-8",14053.2,6250.8,62.7917,28.9191,0.9435,1,10.489,7.8106,127.100255941609
"187922",3,"D-8",14274.4,5805.1,40.1263,23.2498,0.9328,1,8.4585,6.1798,94.2763978943172
"187923",4,"D-8",14147.7,6084.3,54.6651,26.8082,0.9558,1,9.4036,7.4519,98.3442190561696
"187924",5,"D-8",13308.1,6184.3,34.3596,21.5717,0.9279,1,7.9587,5.7611,80.4704789870059
"187925",6,"D-8",13944,6182.2,30.1017,20.2212,0.9251,1,7.3916,5.3167,86.1896494825062
"187926",7,"D-8",14110.2,6168.9,60.3474,28.4515,0.9368,1,10.4831,7.5662,46.9029585408412
"187927",8,"D-8",13614.3,5776.8,39.0817,22.6953,0.9535,1,7.7896,6.6056,92.3751275510008
"187928",9,"D-8",13982.7,6121.9,33.2743,21.3256,0.9194,1,7.8767,5.4077,91.345146568545
"187929",10,"D-8",14424.4,6116.9,40.6054,23.3133,0.9388,1,8.5191,6.1262,128.702279041035
"187930",11,"D-8",14278.9,5748.1,23.2275,17.4557,0.9579,1,5.7788,5.2779,162.215829882073
"187931",12,"D-8",14368.2,6123.6,57.4129,27.4308,0.9588,1,9.5292,7.8154,65.8797241818151
"187932",13,"D-8",14005.6,6096.2,43.1337,24.4319,0.9081,1,9.3979,6.1408,88.277676241301
"187933",14,"D-8",14492.4,5752.7,49.1521,26.7077,0.8659,0.9845,10.0458,6.7013,100.248268450364
"187934",15,"D-8",13857,5810.2,36.3923,22.8474,0.8761,1,8.7141,5.4087,101.789022314022
"187935",16,"D-8",13797.5,6138.3,37.162,23.0436,0.8794,1,8.6678,5.5506,78.9881612653654
"187936",17,"D-8",13778.2,6092.6,40.4613,23.0761,0.9548,1,7.999,6.6263,102.43596706547
"187937",18,"D-8",13984.5,6142,31.4489,20.4547,0.9446,1,7.0467,6.0464,107.468338631277
"187938",19,"D-8",14417.3,6182.2,33.6252,21.5526,0.9097,1,8.0952,5.3831,84.8711677640759
"187939",20,"D-8",13922,5913.2,34.9622,22.7525,0.8487,1,8.6659,5.6431,283.477862792911
"187940",21,"D-8",13678.6,5675.6,34.4772,21.662,0.9233,1,7.8199,5.7726,70.4108013787287
"187941",22,"D-8",14159.3,6180.8,37.2693,22.3517,0.9374,1,7.7923,6.4177,154.900888329767
"187942",23,"D-8",14152.1,5824.2,31.6743,20.622,0.936,1,7.4146,5.6891,121.942279315506
"187943",24,"D-8",14363.1,5829.3,92.4026,35.8661,0.9027,1,13.6769,9.14,69.7677715710264
"187944",25,"D-8",14396.5,6094.9,47.5523,25.4972,0.9192,1,9.4698,6.224,117.944548338652
"187945",26,"D-8",14567.6,6020.1,50.2597,25.995,0.9347,1,9.4799,6.9467,48.2489940571589
"187946",27,"D-8",13722.9,5936.8,44.6518,24.8073,0.9118,1,9.052,6.5038,82.8445783918344
"187947",28,"D-8",14344.3,6066.9,42.8815,25.0437,0.8592,1,9.9883,5.4575,91.0676394004021
"187948",29,"D-8",14418.9,6027.9,32.1155,20.7182,0.9402,1,7.2361,5.9123,20.1369724110046
"187949",30,"D-8",13541.3,6353.9,42.1183,23.7831,0.9357,1,8.7671,6.2755,70.9718140444425
"187950",31,"D-8",14414.3,6222.4,30.5689,20.3426,0.9283,1,7.3892,5.3545,122.501421150496
"187951",32,"D-8",13403.3,6024.8,31.5464,20.3854,0.9539,1,6.9135,5.9635,86.9759686094955
"187952",33,"D-8",13601,5887.2,35.1084,21.622,0.9437,1,7.8188,5.8084,99.8782146085636
"187953",34,"D-8",14178.3,6098,30.6868,20.1624,0.9486,1,6.9537,5.8815,73.0986907715976
"187954",35,"D-8",14304,6189.3,32.8968,21.6286,0.8837,1,8.522,5.0912,90.3387717897904
"187955",36,"D-8",13735.5,5576.2,48.5117,27.237,0.8217,1,11.1161,5.685,116.295407057279
"187956",37,"D-8",13851.3,6340.9,46.2075,24.6955,0.9521,1,8.6719,7.0448,78.2493988840893
"187957",38,"D-8",14163.5,6191.4,52.905,26.281,0.9625,1,8.7949,7.9248,97.2401679479247
"187958",39,"D-8",14482.8,6077.2,43.3917,23.8363,0.9597,1,8.0707,7.0758,173.536510137731
"187959",40,"D-8",13877.1,5866.7,44.5123,24.4139,0.9385,1,8.7728,6.69,119.954434935317
"187960",41,"D-8",13740.9,6119,86.7046,33.9883,0.9432,1,11.9152,9.8943,126.858856481093
"187961",42,"D-8",14134.9,6016.8,126.7539,40.4248,0.9747,1,13.9023,11.81,30.1132405244057
"187962",43,"D-8",13876.2,5704.7,50.7795,26.008,0.9434,1,9.3936,6.7829,90.901728475306
"187963",44,"D-8",13959.2,5696.2,49.4885,25.551,0.9526,1,8.7048,7.4197,44.9523370366343
"187964",45,"D-8",13347.5,6143,39.9874,23.2886,0.9265,1,8.1005,6.7123,104.553571857958
"187965",46,"D-8",14145.1,6180.1,27.499,19.5752,0.9018,1,7.252,4.9561,86.8943820992196
"187966",47,"D-8",13722.8,6637.5,51.7054,26.6955,0.9117,1,10.0332,6.7232,112.881973932844
"187967",48,"D-8",13497.6,6017.1,32.1764,20.617,0.9513,1,6.991,6.078,29.4300321547914
"187968",49,"D-8",14346.5,5533.5,21.4505,16.9431,0.939,1,5.7378,4.902,148.429080995928
"187969",50,"D-8",14409.4,6206.4,35.193,22.3325,0.8867,1,8.5885,5.1555,95.3209342639192
"187970",51,"D-8",13700.2,6028,48.0325,25.4404,0.9326,1,9.1652,6.9464,160.941765312045
"187971",52,"D-8",14168.7,6071.8,43.4778,24.8506,0.8847,1,9.6479,5.6631,92.7635868924605
"187972",53,"D-8",13906.5,6305.3,64.7763,29.7203,0.9216,1,10.7505,7.7625,93.6934927295504
"187973",54,"D-8",14064.9,6136.3,41.0155,23.3545,0.945,1,8.151,6.8807,100.525008154904
"187974",55,"D-8",13959,6013.6,26.1527,18.6725,0.9426,1,6.3608,5.4124,244.941475124262
"187975",56,"D-8",14343.1,6230.3,36.4524,21.8724,0.9575,1,7.2697,6.6524,69.1972151917476
